age_in_months,variable,value,CI_95_lower,CI_95_upper,medically_attended,RSV_assoc,disease_type,metric_per_popul,period,region
<1,rate,206,188,226,medically_attended,no,ARI,1000,2010-2018,Kenya
1,rate,402,368,441,medically_attended,no,ARI,1000,2010-2018,Kenya
2,rate,715,646,784,medically_attended,no,ARI,1000,2010-2018,Kenya
3,rate,1005,920,1105,medically_attended,no,ARI,1000,2010-2018,Kenya
4,rate,1203,1105,1319,medically_attended,no,ARI,1000,2010-2018,Kenya
5,rate,1395,1271,1536,medically_attended,no,ARI,1000,2010-2018,Kenya
6,rate,1484,1362,1625,medically_attended,no,ARI,1000,2010-2018,Kenya
7,rate,1513,1387,1658,medically_attended,no,ARI,1000,2010-2018,Kenya
8,rate,1368,1250,1501,medically_attended,no,ARI,1000,2010-2018,Kenya
9,rate,1145,1048,1256,medically_attended,no,ARI,1000,2010-2018,Kenya
10,rate,1323,1210,1458,medically_attended,no,ARI,1000,2010-2018,Kenya
11,rate,1095,1002,1209,medically_attended,no,ARI,1000,2010-2018,Kenya
<12,rate,1057,968,1157,medically_attended,no,ARI,1000,2010-2018,Kenya
12-14,rate,1096,1002,1210,medically_attended,no,ARI,1000,2010-2018,Kenya
15-17,rate,1216,1115,1335,medically_attended,no,ARI,1000,2010-2018,Kenya
18-20,rate,1179,1072,1296,medically_attended,no,ARI,1000,2010-2018,Kenya
21-23,rate,1096,1003,1206,medically_attended,no,ARI,1000,2010-2018,Kenya
12-23,rate,1134,1036,1246,medically_attended,no,ARI,1000,2010-2018,Kenya
<24,rate,1092,999,1200,medically_attended,no,ARI,1000,2010-2018,Kenya
24-35,rate,1102,1010,1216,medically_attended,no,ARI,1000,2010-2018,Kenya
36-47,rate,1038,950,1144,medically_attended,no,ARI,1000,2010-2018,Kenya
48-59,rate,990,905,1094,medically_attended,no,ARI,1000,2010-2018,Kenya
24-59,rate,1038,945,1145,medically_attended,no,ARI,1000,2010-2018,Kenya
<60,rate,1015,928,1118,medically_attended,no,ARI,1000,2010-2018,Kenya
<1,rate,20,14,27,medically_attended,yes,ARI,1000,2010-2018,Kenya
1,rate,53,42,66,medically_attended,yes,ARI,1000,2010-2018,Kenya
2,rate,94,73,117,medically_attended,yes,ARI,1000,2010-2018,Kenya
3,rate,208,172,247,medically_attended,yes,ARI,1000,2010-2018,Kenya
4,rate,249,208,297,medically_attended,yes,ARI,1000,2010-2018,Kenya
5,rate,244,202,290,medically_attended,yes,ARI,1000,2010-2018,Kenya
6,rate,176,139,218,medically_attended,yes,ARI,1000,2010-2018,Kenya
7,rate,132,100,169,medically_attended,yes,ARI,1000,2010-2018,Kenya
8,rate,141,106,182,medically_attended,yes,ARI,1000,2010-2018,Kenya
9,rate,197,160,241,medically_attended,yes,ARI,1000,2010-2018,Kenya
10,rate,207,168,257,medically_attended,yes,ARI,1000,2010-2018,Kenya
11,rate,170,132,211,medically_attended,yes,ARI,1000,2010-2018,Kenya
<12,rate,181,164,202,medically_attended,yes,ARI,1000,2010-2018,Kenya
12-14,rate,137,114,164,medically_attended,yes,ARI,1000,2010-2018,Kenya
15-17,rate,114,89,141,medically_attended,yes,ARI,1000,2010-2018,Kenya
18-20,rate,97,73,122,medically_attended,yes,ARI,1000,2010-2018,Kenya
21-23,rate,104,78,133,medically_attended,yes,ARI,1000,2010-2018,Kenya
12-23,rate,112,99,129,medically_attended,yes,ARI,1000,2010-2018,Kenya
<24,rate,161,146,179,medically_attended,yes,ARI,1000,2010-2018,Kenya
24-35,rate,83,67,99,medically_attended,yes,ARI,1000,2010-2018,Kenya
36-47,rate,74,58,93,medically_attended,yes,ARI,1000,2010-2018,Kenya
48-59,rate,34,22,49,medically_attended,yes,ARI,1000,2010-2018,Kenya
24-59,rate,69,58,80,medically_attended,yes,ARI,1000,2010-2018,Kenya
<60,rate,121,109,135,medically_attended,yes,ARI,1000,2010-2018,Kenya
<1,rate,110,99,123,non_medically_attended,no,ARI,1000,2010-2018,Kenya
1,rate,214,193,239,non_medically_attended,no,ARI,1000,2010-2018,Kenya
2,rate,379,341,425,non_medically_attended,no,ARI,1000,2010-2018,Kenya
3,rate,534,482,596,non_medically_attended,no,ARI,1000,2010-2018,Kenya
4,rate,640,574,713,non_medically_attended,no,ARI,1000,2010-2018,Kenya
5,rate,743,668,826,non_medically_attended,no,ARI,1000,2010-2018,Kenya
6,rate,789,713,870,non_medically_attended,no,ARI,1000,2010-2018,Kenya
7,rate,805,727,893,non_medically_attended,no,ARI,1000,2010-2018,Kenya
8,rate,726,651,815,non_medically_attended,no,ARI,1000,2010-2018,Kenya
9,rate,610,547,678,non_medically_attended,no,ARI,1000,2010-2018,Kenya
10,rate,703,632,788,non_medically_attended,no,ARI,1000,2010-2018,Kenya
11,rate,582,524,651,non_medically_attended,no,ARI,1000,2010-2018,Kenya
