age_in_months,variable,value,CI_95_lower,CI_95_upper,in_hospital,metric_per_popul,period,region
<1,rate,30,17,47,yes,100000,2010-2018,Kenya
1,rate,49,29,76,yes,100000,2010-2018,Kenya
2,rate,37,20,58,yes,100000,2010-2018,Kenya
3,rate,24,13,36,yes,100000,2010-2018,Kenya
4,rate,23,13,36,yes,100000,2010-2018,Kenya
5,rate,26,14,39,yes,100000,2010-2018,Kenya
6,rate,34,18,55,yes,100000,2010-2018,Kenya
7,rate,29,16,47,yes,100000,2010-2018,Kenya
8,rate,28,15,45,yes,100000,2010-2018,Kenya
9,rate,17,9,27,yes,100000,2010-2018,Kenya
10,rate,19,10,31,yes,100000,2010-2018,Kenya
11,rate,15,8,24,yes,100000,2010-2018,Kenya
<12,rate,26,18,37,yes,100000,2010-2018,Kenya
12-14,rate,6,2,11,yes,100000,2010-2018,Kenya
15-17,rate,4,1,9,yes,100000,2010-2018,Kenya
18-20,rate,5,1,10,yes,100000,2010-2018,Kenya
21-23,rate,3,1,5,yes,100000,2010-2018,Kenya
12-23,rate,4,1,9,yes,100000,2010-2018,Kenya
<24,rate,15,11,21,yes,100000,2010-2018,Kenya
24-35,rate,2,1,5,yes,100000,2010-2018,Kenya
36-47,rate,1,0,2,yes,100000,2010-2018,Kenya
48-59,rate,0,0,1,yes,100000,2010-2018,Kenya
24-59,rate,1,0,2,yes,100000,2010-2018,Kenya
<60,rate,7,5,9,yes,100000,2010-2018,Kenya
<1,number,38,22,60,yes,100000,2010-2018,Kenya
1,number,56,33,86,yes,100000,2010-2018,Kenya
2,number,46,26,72,yes,100000,2010-2018,Kenya
3,number,27,14,40,yes,100000,2010-2018,Kenya
4,number,25,14,40,yes,100000,2010-2018,Kenya
5,number,29,16,44,yes,100000,2010-2018,Kenya
6,number,38,21,62,yes,100000,2010-2018,Kenya
7,number,31,17,49,yes,100000,2010-2018,Kenya
8,number,32,17,51,yes,100000,2010-2018,Kenya
9,number,23,12,37,yes,100000,2010-2018,Kenya
10,number,21,11,35,yes,100000,2010-2018,Kenya
11,number,17,9,28,yes,100000,2010-2018,Kenya
<12,number,366,245,513,yes,100000,2010-2018,Kenya
12-14,number,18,6,37,yes,100000,2010-2018,Kenya
15-17,number,13,4,26,yes,100000,2010-2018,Kenya
18-20,number,14,3,28,yes,100000,2010-2018,Kenya
21-23,number,8,3,16,yes,100000,2010-2018,Kenya
12-23,number,53,18,105,yes,100000,2010-2018,Kenya
<24,number,394,275,554,yes,100000,2010-2018,Kenya
24-35,number,33,7,70,yes,100000,2010-2018,Kenya
36-47,number,15,3,33,yes,100000,2010-2018,Kenya
48-59,number,3,1,8,yes,100000,2010-2018,Kenya
24-59,number,50,11,101,yes,100000,2010-2018,Kenya
<60,number,456,319,613,yes,100000,2010-2018,Kenya
<1,rate,93,53,146,no,100000,2010-2018,Kenya
1,rate,152,89,233,no,100000,2010-2018,Kenya
2,rate,115,63,179,no,100000,2010-2018,Kenya
3,rate,73,40,112,no,100000,2010-2018,Kenya
4,rate,70,40,110,no,100000,2010-2018,Kenya
5,rate,79,44,121,no,100000,2010-2018,Kenya
6,rate,105,57,170,no,100000,2010-2018,Kenya
7,rate,90,51,144,no,100000,2010-2018,Kenya
8,rate,86,45,138,no,100000,2010-2018,Kenya
9,rate,52,28,84,no,100000,2010-2018,Kenya
10,rate,59,31,96,no,100000,2010-2018,Kenya
11,rate,46,24,75,no,100000,2010-2018,Kenya
<12,rate,81,54,114,no,100000,2010-2018,Kenya
12-14,rate,18,6,35,no,100000,2010-2018,Kenya
15-17,rate,13,4,28,no,100000,2010-2018,Kenya
18-20,rate,15,4,30,no,100000,2010-2018,Kenya
21-23,rate,8,3,17,no,100000,2010-2018,Kenya
12-23,rate,13,4,27,no,100000,2010-2018,Kenya
<24,rate,47,33,66,no,100000,2010-2018,Kenya
24-35,rate,7,2,15,no,100000,2010-2018,Kenya
36-47,rate,3,1,7,no,100000,2010-2018,Kenya
48-59,rate,1,0,2,no,100000,2010-2018,Kenya
24-59,rate,4,1,7,no,100000,2010-2018,Kenya
<60,rate,21,15,28,no,100000,2010-2018,Kenya
<1,number,119,67,185,no,100000,2010-2018,Kenya
1,number,173,101,265,no,100000,2010-2018,Kenya
2,number,143,79,223,no,100000,2010-2018,Kenya
3,number,82,45,125,no,100000,2010-2018,Kenya
4,number,78,45,124,no,100000,2010-2018,Kenya
5,number,89,49,136,no,100000,2010-2018,Kenya
6,number,118,64,190,no,100000,2010-2018,Kenya
7,number,96,54,152,no,100000,2010-2018,Kenya
8,number,98,52,157,no,100000,2010-2018,Kenya
9,number,70,38,113,no,100000,2010-2018,Kenya
10,number,66,35,107,no,100000,2010-2018,Kenya
11,number,52,27,85,no,100000,2010-2018,Kenya
<12,number,1130,755,1581,no,100000,2010-2018,Kenya
12-14,number,56,18,113,no,100000,2010-2018,Kenya
15-17,number,39,13,81,no,100000,2010-2018,Kenya
18-20,number,43,11,87,no,100000,2010-2018,Kenya
21-23,number,25,8,51,no,100000,2010-2018,Kenya
12-23,number,163,54,325,no,100000,2010-2018,Kenya
<24,number,1216,848,1710,no,100000,2010-2018,Kenya
24-35,number,102,23,217,no,100000,2010-2018,Kenya
36-47,number,46,10,101,no,100000,2010-2018,Kenya
48-59,number,10,2,26,no,100000,2010-2018,Kenya
24-59,number,154,33,313,no,100000,2010-2018,Kenya
<60,number,1407,983,1891,no,100000,2010-2018,Kenya
