age_in_months,variable,value,CI_95_lower,CI_95_upper,in_hospital,metric_per_popul,period,region
<1,rate,51,28,78,yes,100000,2010-2018,Kenya
1,rate,74,42,112,yes,100000,2010-2018,Kenya
2,rate,54,30,83,yes,100000,2010-2018,Kenya
3,rate,33,18,50,yes,100000,2010-2018,Kenya
4,rate,29,17,44,yes,100000,2010-2018,Kenya
5,rate,32,18,51,yes,100000,2010-2018,Kenya
6,rate,43,24,69,yes,100000,2010-2018,Kenya
7,rate,37,20,58,yes,100000,2010-2018,Kenya
8,rate,34,20,57,yes,100000,2010-2018,Kenya
9,rate,21,11,35,yes,100000,2010-2018,Kenya
10,rate,23,13,38,yes,100000,2010-2018,Kenya
11,rate,19,10,31,yes,100000,2010-2018,Kenya
<12,rate,35,24,51,yes,100000,2010-2018,Kenya
12-14,rate,8,3,15,yes,100000,2010-2018,Kenya
15-17,rate,6,2,12,yes,100000,2010-2018,Kenya
18-20,rate,7,2,13,yes,100000,2010-2018,Kenya
21-23,rate,4,1,8,yes,100000,2010-2018,Kenya
12-23,rate,6,2,12,yes,100000,2010-2018,Kenya
<24,rate,21,14,29,yes,100000,2010-2018,Kenya
24-35,rate,3,1,7,yes,100000,2010-2018,Kenya
36-47,rate,1,0,3,yes,100000,2010-2018,Kenya
48-59,rate,0,0,1,yes,100000,2010-2018,Kenya
24-59 ,rate,2,0,3,yes,100000,2010-2018,Kenya
<60,rate,9,7,13,yes,100000,2010-2018,Kenya
<1,rate,78,43,119,no,100000,2010-2018,Kenya
1,rate,112,64,170,no,100000,2010-2018,Kenya
2,rate,82,46,126,no,100000,2010-2018,Kenya
3,rate,50,27,76,no,100000,2010-2018,Kenya
4,rate,44,26,67,no,100000,2010-2018,Kenya
5,rate,49,27,78,no,100000,2010-2018,Kenya
6,rate,196,109,314,no,100000,2010-2018,Kenya
7,rate,168,91,264,no,100000,2010-2018,Kenya
8,rate,155,91,259,no,100000,2010-2018,Kenya
9,rate,96,50,159,no,100000,2010-2018,Kenya
10,rate,105,59,173,no,100000,2010-2018,Kenya
11,rate,86,46,141,no,100000,2010-2018,Kenya
<12,rate,NA,NA,NA,no,100000,2010-2018,Kenya
12-14,rate,20,8,38,no,100000,2010-2018,Kenya
15-17,rate,15,5,30,no,100000,2010-2018,Kenya
18-20,rate,18,5,33,no,100000,2010-2018,Kenya
21-23,rate,10,3,20,no,100000,2010-2018,Kenya
12-23,rate,NA,NA,NA,no,100000,2010-2018,Kenya
<24,rate,NA,NA,NA,no,100000,2010-2018,Kenya
24-35,rate,8,3,18,no,100000,2010-2018,Kenya
36-47,rate,3,0,8,no,100000,2010-2018,Kenya
48-59,rate,0,0,3,no,100000,2010-2018,Kenya
24-59 ,rate,NA,NA,NA,no,100000,2010-2018,Kenya
<60,rate,NA,NA,NA,no,100000,2010-2018,Kenya
