agegroup,rate,rate_CI_lower,rate_CI_upper,hospitalisation,popul_denom,disease_type,Province
0m,2252.6,0,7861.9,TRUE,100000,ILI,South Africa
1m,2061.9,913.6,3550.2,TRUE,100000,ILI,South Africa
2m,3444.7,1792.5,5143.1,TRUE,100000,ILI,South Africa
3m,1746.2,819.3,2766.4,TRUE,100000,ILI,South Africa
4m,2337.5,1176.8,3780.6,TRUE,100000,ILI,South Africa
5m,1075.7,414.9,1898.6,TRUE,100000,ILI,South Africa
6m,1232.6,515.6,2048.5,TRUE,100000,ILI,South Africa
7m,1471.4,692.3,2403.4,TRUE,100000,ILI,South Africa
8m,948.3,349.6,1694.7,TRUE,100000,ILI,South Africa
9m,1630.5,881.4,2388.2,TRUE,100000,ILI,South Africa
10m,928,422.5,1608.6,TRUE,100000,ILI,South Africa
11m,989.5,406.6,1628.1,TRUE,100000,ILI,South Africa
12-14m,2366,1412.9,3440.1,TRUE,100000,ILI,South Africa
15-17m,1558.8,776.4,2442.5,TRUE,100000,ILI,South Africa
18-20m,1677,926,2520.8,TRUE,100000,ILI,South Africa
21-23m,2033.4,850.6,3380.8,TRUE,100000,ILI,South Africa
24-35m,567.9,404.6,741.4,TRUE,100000,ILI,South Africa
36-47m,348.6,230.7,469.9,TRUE,100000,ILI,South Africa
48-59m,255,148.9,373.3,TRUE,100000,ILI,South Africa
0-5m,2154.4,849.8,4183.2,TRUE,100000,ILI,South Africa
6-11m,1200.4,544.8,1962.6,TRUE,100000,ILI,South Africa
12-23m,1908.8,991.5,2946,TRUE,100000,ILI,South Africa
24-59m,392.1,262.7,530.2,TRUE,100000,ILI,South Africa
<1y,1680.5,698.3,3080.2,TRUE,100000,ILI,South Africa
<5y,959.3,498.2,1534.2,TRUE,100000,ILI,South Africa
0m,7652.3,0,25940.6,FALSE,100000,ILI,South Africa
1m,7008,2809.8,12695.1,FALSE,100000,ILI,South Africa
2m,11704.2,5910.6,18343,FALSE,100000,ILI,South Africa
3m,5934.4,2754.6,9872.2,FALSE,100000,ILI,South Africa
4m,7944.4,3903.3,13361.2,FALSE,100000,ILI,South Africa
5m,3656,1370.9,6752.7,FALSE,100000,ILI,South Africa
6m,4190.3,1779.8,7176.9,FALSE,100000,ILI,South Africa
7m,5007.4,2385.7,8469.3,FALSE,100000,ILI,South Africa
8m,3219.7,1173.8,5813.8,FALSE,100000,ILI,South Africa
9m,5541,2953.3,8637.4,FALSE,100000,ILI,South Africa
10m,3156.9,1331.1,5678.5,FALSE,100000,ILI,South Africa
11m,3365.4,1359.4,5752.1,FALSE,100000,ILI,South Africa
12-14m,8039.5,4648.3,12274.3,FALSE,100000,ILI,South Africa
15-17m,5298.6,2722.3,8896.7,FALSE,100000,ILI,South Africa
18-20m,5699.1,3028.3,9073.6,FALSE,100000,ILI,South Africa
21-23m,6912.1,2902.8,11882.2,FALSE,100000,ILI,South Africa
24-35m,1930.7,1291.2,2719.4,FALSE,100000,ILI,South Africa
36-47m,1186.7,757.1,1682.9,FALSE,100000,ILI,South Africa
48-59m,867.9,504.5,1355.3,FALSE,100000,ILI,South Africa
0-5m,7320.9,2781.5,14545.7,FALSE,100000,ILI,South Africa
6-11m,4081.4,1831.2,6923.5,FALSE,100000,ILI,South Africa
12-23m,6487.3,3325.4,10531.7,FALSE,100000,ILI,South Africa
24-59m,1333.9,855,1926.4,FALSE,100000,ILI,South Africa
<1y,5711.8,2309.5,10759.7,FALSE,100000,ILI,South Africa
<5y,3261.3,1648.9,5452.2,FALSE,100000,ILI,South Africa
