agegroup,rate,rate_CI_lower,rate_CI_upper,hospitalisation,popul_denom,disease_type,Province
0m,2730.2,0,9528.6,TRUE,100000,ILI,South Africa
1m,2499,1107.3,4302.8,TRUE,100000,ILI,South Africa
2m,4175,2172.5,6233.4,TRUE,100000,ILI,South Africa
3m,2116.4,993,3352.9,TRUE,100000,ILI,South Africa
4m,2833.1,3352.9,4582.1,TRUE,100000,ILI,South Africa
5m,1303.7,502.9,2301.1,TRUE,100000,ILI,South Africa
6m,1379.3,577,2292.3,TRUE,100000,ILI,South Africa
7m,1646.5,774.7,2689.4,TRUE,100000,ILI,South Africa
8m,1061.1,391.2,1896.4,TRUE,100000,ILI,South Africa
9m,1824.5,986.3,2672.4,TRUE,100000,ILI,South Africa
10m,1038.4,472.8,1800,TRUE,100000,ILI,South Africa
11m,1107.3,455,1821.8,TRUE,100000,ILI,South Africa
12-14m,2713.8,1581,3945.8,TRUE,100000,ILI,South Africa
15-17m,1787.9,890.5,2801.5,TRUE,100000,ILI,South Africa
18-20m,1923.5,1062.1,2891.4,TRUE,100000,ILI,South Africa
21-23m,2332.3,975.6,3877.8,TRUE,100000,ILI,South Africa
24-35m,650.2,463.3,848.9,TRUE,100000,ILI,South Africa
36-47m,408.6,270.4,550.7,TRUE,100000,ILI,South Africa
48-59m,298.9,174.5,437.5,TRUE,100000,ILI,South Africa
0m,9274.6,0,31440,FALSE,100000,ILI,South Africa
1m,8493.7,3405.5,15386.5,FALSE,100000,ILI,South Africa
2m,14185.5,7163.6, 22231.7,FALSE,100000,ILI,South Africa
3m,7192.5,3338.6,11965.1,FALSE,100000,ILI,South Africa
4m,9628.6,4730.8,16193.8,FALSE,100000,ILI,South Africa
5m,4431.1,1661.5,8184.3,FALSE,100000,ILI,South Africa
6m,4688.9,1991.6,8031,FALSE,100000,ILI,South Africa
7m,5603.3,2669.6,9477.1,FALSE,100000,ILI,South Africa
8m,3602.8,1313.5,6505.6,FALSE,100000,ILI,South Africa
9m,6200.4,3304.7,9665.3,FALSE,100000,ILI,South Africa
10m,3532.6,1489.5,6354.2,FALSE,100000,ILI,South Africa
11m,3765.9,1521.2,6436.6,FALSE,100000,ILI,South Africa
12-14m,9221.3,5331.6,14078.6,FALSE,100000,ILI,South Africa
15-17m,6077.5,3122.5,10204.5,FALSE,100000,ILI,South Africa
18-20m,6536.9,3473.5,10407.4,FALSE,100000,ILI,South Africa
21-23m,7928.2,3329.5,13628.9,FALSE,100000,ILI,South Africa
24-35m,2214.5,1481,3119.2,FALSE,100000,ILI,South Africa
36-47m,1390.8,887.3,1972.4,FALSE,100000,ILI,South Africa
48-59m,1017.2,887.3,1588.4,FALSE,100000,ILI,South Africa
