Province,year,age_inf,rate,rate_CI_lower,rate_CI_upper,disease_type,hospitalisation,popul_denom,age
Base,2011-2016,0,7042.2,5278.5,8785.4,SARI,TRUE,100000,0m
Base,2011-2016,1,7071.8,6117.7,8045.8,SARI,TRUE,100000,1m
Base,2011-2016,2,5027.3,4190.4,5925.5,SARI,TRUE,100000,2m
Base,2011-2016,3,4458.4,3613.2,5345.8,SARI,TRUE,100000,3m
Base,2011-2016,4,4232.5,3287.9,5243.6,SARI,TRUE,100000,4m
Base,2011-2016,5,2694.6,2004.3,3524.9,SARI,TRUE,100000,5m
Base,2011-2016,6,2939.6,2201.6,3695.6,SARI,TRUE,100000,6m
Base,2011-2016,7,1987.7,1337.9,2697.1,SARI,TRUE,100000,7m
Base,2011-2016,8,1338.1,836,1814.5,SARI,TRUE,100000,8m
Base,2011-2016,9,1128.3,641.8,1723.5,SARI,TRUE,100000,9m
Base,2011-2016,10,1109.9,653.5,1629.2,SARI,TRUE,100000,10m
Base,2011-2016,11,1036,599.3,1541.4,SARI,TRUE,100000,11m
Base,2011-2016,12,715.1,522,946.2,SARI,TRUE,100000,12-14m
Base,2011-2016,13,715.1,522,946.2,SARI,TRUE,100000,12-14m
Base,2011-2016,14,715.1,522,946.2,SARI,TRUE,100000,12-14m
Base,2011-2016,15,500,337.8,670.5,SARI,TRUE,100000,15-17m
Base,2011-2016,16,500,337.8,670.5,SARI,TRUE,100000,15-17m
Base,2011-2016,17,500,337.8,670.5,SARI,TRUE,100000,15-17m
Base,2011-2016,18,362.4,204,535.5,SARI,TRUE,100000,18-20m
Base,2011-2016,19,362.4,204,535.5,SARI,TRUE,100000,18-20m
Base,2011-2016,20,362.4,204,535.5,SARI,TRUE,100000,18-20m
Base,2011-2016,21,501.4,231.6,809.8,SARI,TRUE,100000,21-23m
Base,2011-2016,22,501.4,231.6,809.8,SARI,TRUE,100000,21-23m
Base,2011-2016,23,501.4,231.6,809.8,SARI,TRUE,100000,21-23m
Base,2011-2016,24,123.3,83.9,167.8,SARI,TRUE,100000,24-35m
Base,2011-2016,25,123.3,83.9,167.8,SARI,TRUE,100000,24-35m
Base,2011-2016,26,123.3,83.9,167.8,SARI,TRUE,100000,24-35m
Base,2011-2016,27,123.3,83.9,167.8,SARI,TRUE,100000,24-35m
Base,2011-2016,28,123.3,83.9,167.8,SARI,TRUE,100000,24-35m
Base,2011-2016,29,123.3,83.9,167.8,SARI,TRUE,100000,24-35m
Base,2011-2016,30,123.3,83.9,167.8,SARI,TRUE,100000,24-35m
Base,2011-2016,31,123.3,83.9,167.8,SARI,TRUE,100000,24-35m
Base,2011-2016,32,123.3,83.9,167.8,SARI,TRUE,100000,24-35m
