country_iso,location_name,incidence_RSV_associated_ALRI,lower_Incidence,upper_Incidence,nrb_episodes ,lower_episodes,uper_episodes,reference
AFG,Afghanistan,53.3,33.6,83.8,263677,166462,414858,shi_et_al_2017
DZA,Algeria,51.6,32.7,80.9,236857,150049,371261,shi_et_al_2017
AGO,Angola,53.7,34,84.1,253440,160269,397001,shi_et_al_2017
ATG,Antigua and Barbuda,46.8,29.7,73.4,341,216,534,shi_et_al_2017
ARG,Argentina,48.3,30.7,75.8,179694,114110,281976,shi_et_al_2017
BHS,"Bahamas, The",48.2,30.5,75.4,1402,889,2195,shi_et_al_2017
BHR,Bahrain,57.2,36,89.9,6217,3918,9773,shi_et_al_2017
BGD,Bangladesh,51.9,32.9,81.2,796123,504325,1245371,shi_et_al_2017
BRB,Barbados,47.7,30.2,74.8,829,525,1299,shi_et_al_2017
BLZ,Belize,53,33.6,83,2092,1324,3275,shi_et_al_2017
BEN,Benin,57.4,36.1,90.5,98087,61677,154467,shi_et_al_2017
BTN,Bhutan,39.6,24.3,64.3,2611,1600,4239,shi_et_al_2017
BOL,Bolivia,50.2,31.7,78.7,59473,37562,93249,shi_et_al_2017
BWA,Botswana,60,37.6,94.2,15976,10011,25088,shi_et_al_2017
BRA,Brazil,51.4,32.5,80.3,773070,488993,1207125,shi_et_al_2017
BFA,Burkina Faso,59.7,37.5,93.9,187717,117797,295328,shi_et_al_2017
BDI,Burundi,56,35.4,88.1,115475,72992,181572,shi_et_al_2017
KHM,Cambodia,51.1,32.3,80,90538,57236,141700,shi_et_al_2017
CMR,Cameroon,58.8,36.8,92.4,219742,137476,345249,shi_et_al_2017
999,Cape Verde,54.5,34.3,85.5,2923,1840,4581,shi_et_al_2017
CAF,Central African Republic,55,34.7,86.2,38958,24558,61043,shi_et_al_2017
TCD,Chad,57.7,36.2,90.7,151768,95236,238755,shi_et_al_2017
CHL,Chile,48.7,30.9,76.4,57031,36187,89448,shi_et_al_2017
CHN,China,31,18.7,50.8,2581262,1552250,4229873,shi_et_al_2017
COL,Colombia,47.2,29.9,73.9,176453,111638,276234,shi_et_al_2017
COM,Comoros,62.8,39.3,99.1,7496,4686,11820,shi_et_al_2017
COG,"Congo, Rep.",56.7,35.7,88.9,43059,27084,67509,shi_et_al_2017
999,Cook Islands,50.3,31.6,79,106,66,166,shi_et_al_2017
CRI,Costa Rica,40.3,24.5,65.6,14125,8595,22989,shi_et_al_2017
CIV,C_te d'Ivoire,51.9,32.8,81.5,190408,120415,298876,shi_et_al_2017
PRK,"Korea, Dem. People's Rep.",51.1,32.4,79.8,89280,56599,139482,shi_et_al_2017
COD,"Congo, Dem. Rep.",54.3,34.3,85.1,753225,475718,1180411,shi_et_al_2017
DJI,Djibouti,57.3,36,90,5848,3672,9182,shi_et_al_2017
DMA,Dominica,48.7,30.8,76.2,297,188,464,shi_et_al_2017
DOM,Dominican Republic,46.9,29.6,73.8,49802,31480,78430,shi_et_al_2017
ECU,Ecuador,46.6,29.5,73.1,75053,47574,117696,shi_et_al_2017
EGY,"Egypt, Arab Rep.",50.4,31.9,78.8,610777,386798,955331,shi_et_al_2017
SLV,El Salvador,53.7,34,84.1,27939,17674,43719,shi_et_al_2017
GNQ,Equatorial Guinea,55.3,35,86.9,7093,4488,11137,shi_et_al_2017
ERI,Eritrea,57.6,36.2,90.6,46916,29459,73808,shi_et_al_2017
ETH,Ethiopia,58,36.4,91.3,846851,532193,1333188,shi_et_al_2017
FJI,Fiji,37.5,22.8,61,3299,2011,5369,shi_et_al_2017
GAB,Gabon,60.9,38,95.7,14554,9094,22881,shi_et_al_2017
GMB,"Gambia, The",58.3,36.5,91.7,21361,13378,33601,shi_et_al_2017
GHA,Ghana,52.8,33.4,82.9,214075,135362,336105,shi_et_al_2017
GRD,Grenada,48.3,30.6,75.6,480,304,752,shi_et_al_2017
GTM,Guatemala,54.6,34.5,86.1,114073,72104,179935,shi_et_al_2017
GIN,Guinea,59.5,37.1,93.9,121665,75809,192047,shi_et_al_2017
GNB,Guinea-Bissau,58.2,36.6,91.5,16822,10566,26435,shi_et_al_2017
GUY,Guyana,56,35.3,87.8,3758,2372,5897,shi_et_al_2017
HTI,Haiti,52.6,33.2,82.3,65088,41121,101880,shi_et_al_2017
HND,Honduras,52,33,81.4,42428,26902,66384,shi_et_al_2017
IND,India,56.7,35.7,89,7013468,4420047,11010288,shi_et_al_2017
IDN,Indonesia,50.1,31.6,78.5,1245185,786572,1951996,shi_et_al_2017
IRN,"Iran, Islamic Rep.",56.6,35.7,88.9,387906,244677,609112,shi_et_al_2017
IRQ,Iraq,54.8,34.6,86.2,313987,197944,493979,shi_et_al_2017
JAM,Jamaica,48.3,30.6,75.7,9849,6228,15419,shi_et_al_2017
JOR,Jordan,61.3,38.6,96.8,60063,37877,94943,shi_et_al_2017
KEN,Kenya,53.8,34,84.4,385484,243738,604648,shi_et_al_2017
KIR,Kiribati,38.2,23.2,62,563,342,916,shi_et_al_2017
KWT,Kuwait,55.9,35.2,88.1,19450,12261,30648,shi_et_al_2017
LAO,Lao PDR,41,25,66.9,34428,20929,56091,shi_et_al_2017
