country,country_iso3,target_population,year,stillbirth_rate,income_region,incomplete_maternal_transfer_rate
Afghanistan,AFG,1090088,2020,0.0267,LIC,0
Afghanistan,AFG,1093626,2021,0.0267,LIC,0
Afghanistan,AFG,1097163,2022,0.0267,LIC,0
Afghanistan,AFG,1100701,2023,0.0267,LIC,0
Afghanistan,AFG,1104238,2024,0.0267,LIC,0
Afghanistan,AFG,1107776,2025,0.0267,LIC,0
Afghanistan,AFG,1110609,2026,0.0267,LIC,0
Afghanistan,AFG,1113442,2027,0.0267,LIC,0
Afghanistan,AFG,1116275,2028,0.0267,LIC,0
Afghanistan,AFG,1119108,2029,0.0267,LIC,0
Afghanistan,AFG,1121941,2030,0.0267,LIC,0
Afghanistan,AFG,1122436,2031,0.0267,LIC,0
Afghanistan,AFG,1122931,2032,0.0267,LIC,0
Afghanistan,AFG,1123426,2033,0.0267,LIC,0
Afghanistan,AFG,1123921,2034,0.0267,LIC,0
Afghanistan,AFG,1124416,2035,0.0267,LIC,0
Afghanistan,AFG,1121897,2036,0.0267,LIC,0
Afghanistan,AFG,1119378,2037,0.0267,LIC,0
Afghanistan,AFG,1116860,2038,0.0267,LIC,0
Afghanistan,AFG,1114341,2039,0.0267,LIC,0
Afghanistan,AFG,1111822,2040,0.0267,LIC,0
Afghanistan,AFG,1106317,2041,0.0267,LIC,0
Afghanistan,AFG,1100812,2042,0.0267,LIC,0
Afghanistan,AFG,1095307,2043,0.0267,LIC,0
Afghanistan,AFG,1089802,2044,0.0267,LIC,0
Afghanistan,AFG,1084297,2045,0.0267,LIC,0
Afghanistan,AFG,1076970,2046,0.0267,LIC,0
Afghanistan,AFG,1069643,2047,0.0267,LIC,0
Afghanistan,AFG,1062316,2048,0.0267,LIC,0
Afghanistan,AFG,1054989,2049,0.0267,LIC,0
Afghanistan,AFG,1047662,2050,0.0267,LIC,0
Angola,AGO,1158885,2020,0.0273,LMIC,0
Angola,AGO,1187897,2021,0.0273,LMIC,0
Angola,AGO,1216908,2022,0.0273,LMIC,0
Angola,AGO,1245920,2023,0.0273,LMIC,0
Angola,AGO,1274931,2024,0.0273,LMIC,0
Angola,AGO,1303943,2025,0.0273,LMIC,0
Angola,AGO,1335578,2026,0.0273,LMIC,0
Angola,AGO,1367213,2027,0.0273,LMIC,0
Angola,AGO,1398849,2028,0.0273,LMIC,0
Angola,AGO,1430484,2029,0.0273,LMIC,0
Angola,AGO,1462119,2030,0.0273,LMIC,0
Angola,AGO,1494174,2031,0.0273,LMIC,0
Angola,AGO,1526229,2032,0.0273,LMIC,0
Angola,AGO,1558285,2033,0.0273,LMIC,0
Angola,AGO,1590340,2034,0.0273,LMIC,0
Angola,AGO,1622395,2035,0.0273,LMIC,0
Angola,AGO,1653689,2036,0.0273,LMIC,0
Angola,AGO,1684983,2037,0.0273,LMIC,0
Angola,AGO,1716278,2038,0.0273,LMIC,0
Angola,AGO,1747572,2039,0.0273,LMIC,0
Angola,AGO,1778866,2040,0.0273,LMIC,0
Angola,AGO,1808398,2041,0.0273,LMIC,0
Angola,AGO,1837930,2042,0.0273,LMIC,0
Angola,AGO,1867463,2043,0.0273,LMIC,0
Angola,AGO,1896995,2044,0.0273,LMIC,0
Angola,AGO,1926527,2045,0.0273,LMIC,0
Angola,AGO,1954318,2046,0.0273,LMIC,0
Angola,AGO,1982109,2047,0.0273,LMIC,0
Angola,AGO,2009901,2048,0.0273,LMIC,0
Angola,AGO,2037692,2049,0.0273,LMIC,0
Angola,AGO,2065483,2050,0.0273,LMIC,0
Armenia,ARM,37031,2020,0.0138,LMIC,0
Armenia,ARM,36086,2021,0.0138,LMIC,0
Armenia,ARM,35141,2022,0.0138,LMIC,0
Armenia,ARM,34197,2023,0.0138,LMIC,0
Armenia,ARM,33252,2024,0.0138,LMIC,0
Armenia,ARM,32307,2025,0.0138,LMIC,0
Armenia,ARM,31572,2026,0.0138,LMIC,0
Armenia,ARM,30837,2027,0.0138,LMIC,0
Armenia,ARM,30101,2028,0.0138,LMIC,0
Armenia,ARM,29366,2029,0.0138,LMIC,0
Armenia,ARM,28631,2030,0.0138,LMIC,0
Armenia,ARM,28302,2031,0.0138,LMIC,0
Armenia,ARM,27973,2032,0.0138,LMIC,0
Armenia,ARM,27645,2033,0.0138,LMIC,0
Armenia,ARM,27316,2034,0.0138,LMIC,0
Armenia,ARM,26987,2035,0.0138,LMIC,0
Armenia,ARM,27015,2036,0.0138,LMIC,0
Armenia,ARM,27044,2037,0.0138,LMIC,0
Armenia,ARM,27072,2038,0.0138,LMIC,0
Armenia,ARM,27101,2039,0.0138,LMIC,0
Armenia,ARM,27129,2040,0.0138,LMIC,0
Armenia,ARM,27142,2041,0.0138,LMIC,0
Armenia,ARM,27154,2042,0.0138,LMIC,0
Armenia,ARM,27167,2043,0.0138,LMIC,0
Armenia,ARM,27179,2044,0.0138,LMIC,0
Armenia,ARM,27192,2045,0.0138,LMIC,0
Armenia,ARM,26932,2046,0.0138,LMIC,0
Armenia,ARM,26671,2047,0.0138,LMIC,0
Armenia,ARM,26411,2048,0.0138,LMIC,0
Armenia,ARM,26150,2049,0.0138,LMIC,0
Armenia,ARM,25890,2050,0.0138,LMIC,0
Azerbaijan,AZE,160019,2020,0.0165,LMIC,0
Azerbaijan,AZE,156019,2021,0.0165,LMIC,0
Azerbaijan,AZE,152019,2022,0.0165,LMIC,0
Azerbaijan,AZE,148019,2023,0.0165,LMIC,0
Azerbaijan,AZE,144019,2024,0.0165,LMIC,0
