citation,Author,Year,Economic_setting,Location,iso3,Study_period,country,WHO,Age_Groups,midpoint,midpoint_sens,rsv_cases,hosp,notes
Homaira 2012,Homaira et al,2012,Lower middle income,"Dhaka, Bangladesh",BGD,Apr 2009 - Mar 2011,Bangladesh,Western Pacific,ages0_5m,3,6,32,0,incidence of 8(4-14) RSV-related ARI and 15(10-23) RSV-related pneumonias among 140 person-years of life
Homaira 2012,Homaira et al,2012,Lower middle income,"Dhaka, Bangladesh",BGD,Apr 2009 - Mar 2011,Bangladesh,Western Pacific,ages6_11m,9,9,48,0,incidence of 18(13-26) RSV-related ARI and 11(7-17) RSV-related pneumonias among 167 person-years of life
Homaira 2012,Homaira et al,2012,Lower middle income,"Dhaka, Bangladesh",BGD,Apr 2009 - Mar 2011,Bangladesh,Western Pacific,ages12_23m,18,12,75,0,incidence of 13(10-18) RSV-related ARI and 12(9-17) RSV-related pneumonias among 297 person-years of life
Sutmoller 1995,Sutmoller et al,1995,Upper middle income,Brazil,BRA,unk,Brazil,Americas,ages0_5m,3,6,128,99,
Sutmoller 1995,Sutmoller et al,1995,Upper middle income,Brazil,BRA,unk,Brazil,Americas,ages6_11m,9,9,64,34,
Sutmoller 1995,Sutmoller et al,1995,Upper middle income,Brazil,BRA,unk,Brazil,Americas,ages12_23m,18,18,37,23,
Sutmoller 1995,Sutmoller et al,1995,Upper middle income,Brazil,BRA,unk,Brazil,Americas,ages24_35m,30,30,17,8,
Sutmoller 1995,Sutmoller et al,1995,Upper middle income,Brazil,BRA,unk,Brazil,Americas,ages36_59m,47.5,36,11,8,
Nokes 2008,Nokes et al,2008,Lower middle income,"Kilifi, Kibera, Kenya",KEN,Jan 2002 - July 2003,Kenya,Africa,ages0_3m,1.5,3,34,2,
Nokes 2008,Nokes et al,2008,Lower middle income,"Kilifi, Kibera, Kenya",KEN,Jan 2002 - July 2003,Kenya,Africa,ages3_5m,4.5,4.5,9,2,
Nokes 2008,Nokes et al,2008,Lower middle income,"Kilifi, Kibera, Kenya",KEN,Jan 2002 - July 2003,Kenya,Africa,ages6_8m,7.5,7.5,7,1,
Nokes 2008,Nokes et al,2008,Lower middle income,"Kilifi, Kibera, Kenya",KEN,Jan 2002 - July 2003,Kenya,Africa,ages9_11m,10.5,10.5,22,1,
Nokes 2008,Nokes et al,2008,Lower middle income,"Kilifi, Kibera, Kenya",KEN,Jan 2002 - July 2003,Kenya,Africa,ages12_17m,15,15,21,3,
Nokes 2008,Nokes et al,2008,Lower middle income,"Kilifi, Kibera, Kenya",KEN,Jan 2002 - July 2003,Kenya,Africa,ages18_23m,21,21,14,0,
Nokes 2008,Nokes et al,2008,Lower middle income,"Kilifi, Kibera, Kenya",KEN,Jan 2002 - July 2003,Kenya,Africa,ages24_30m,27,24,7,0,
Bigogo 2013,Bigogo et al,2013,Lower middle income,"Kibera & Lwak, Kenya",KEN,Mar 2007 - Feb 2011 ,Kenya,Africa,ages0_11m,6,6,51,6,"hosp_inc/all_inc: 11/86.9 and there were 51 cases, so 6 hospitalizations."
Bigogo 2013,Bigogo et al,2013,Lower middle income,"Kibera & Lwak, Kenya",KEN,Mar 2007 - Feb 2011 ,Kenya,Africa,ages12_59m,36,36,65,11,"hosp_inc/all_inc: 6.5/37.9 and there were 65 cases, so 11 hospitalizations."
Wu 2015,Wu et al,2015,Upper middle income,"San Marcos, Cajamarca, Peru",PER,Mar 2009 - Sep 2011,Peru,Americas,ages0_59m,30,30,355,16,
Zar 2015 unp,Zar et al,unpub,Upper middle income,"Paarl, Western Cape, South Africa",ZAF,Mar 2012 - Dec 2014,South Africa,Africa,ages0d_27d,0.5,1,4,3,
Zar 2015 unp,Zar et al,unpub,Upper middle income,"Paarl, Western Cape, South Africa",ZAF,Mar 2012 - Dec 2014,South Africa,Africa,ages1_3m,2,2,33,12,
Zar 2015 unp,Zar et al,unpub,Upper middle income,"Paarl, Western Cape, South Africa",ZAF,Mar 2012 - Dec 2014,South Africa,Africa,ages3_5m,4.5,4.5,39,7,
Zar 2015 unp,Zar et al,unpub,Upper middle income,"Paarl, Western Cape, South Africa",ZAF,Mar 2012 - Dec 2014,South Africa,Africa,ages6_8m,7,7,11,2,
Zar 2015 unp,Zar et al,unpub,Upper middle income,"Paarl, Western Cape, South Africa",ZAF,Mar 2012 - Dec 2014,South Africa,Africa,ages9_11m,10,10,8,2,
Zar 2015 unp,Zar et al,unpub,Upper middle income,"Paarl, Western Cape, South Africa",ZAF,Mar 2012 - Dec 2014,South Africa,Africa,ages12_23m,18,12,32,2,
