country_iso,location_name,lower_CI,upper_CI,reference,variable,value
AFG,Afghanistan,33.6,83.8,shi_et_al_2017,incidence_RSV_associated_ALRI,53.3
DZA,Algeria,32.7,80.9,shi_et_al_2017,incidence_RSV_associated_ALRI,51.6
AGO,Angola,34,84.1,shi_et_al_2017,incidence_RSV_associated_ALRI,53.7
ATG,Antigua and Barbuda,29.7,73.4,shi_et_al_2017,incidence_RSV_associated_ALRI,46.8
ARG,Argentina,30.7,75.8,shi_et_al_2017,incidence_RSV_associated_ALRI,48.3
BHS,"Bahamas, The",30.5,75.4,shi_et_al_2017,incidence_RSV_associated_ALRI,48.2
BHR,Bahrain,36,89.9,shi_et_al_2017,incidence_RSV_associated_ALRI,57.2
BGD,Bangladesh,32.9,81.2,shi_et_al_2017,incidence_RSV_associated_ALRI,51.9
BRB,Barbados,30.2,74.8,shi_et_al_2017,incidence_RSV_associated_ALRI,47.7
BLZ,Belize,33.6,83,shi_et_al_2017,incidence_RSV_associated_ALRI,53
BEN,Benin,36.1,90.5,shi_et_al_2017,incidence_RSV_associated_ALRI,57.4
BTN,Bhutan,24.3,64.3,shi_et_al_2017,incidence_RSV_associated_ALRI,39.6
BOL,Bolivia,31.7,78.7,shi_et_al_2017,incidence_RSV_associated_ALRI,50.2
BWA,Botswana,37.6,94.2,shi_et_al_2017,incidence_RSV_associated_ALRI,60
BRA,Brazil,32.5,80.3,shi_et_al_2017,incidence_RSV_associated_ALRI,51.4
BFA,Burkina Faso,37.5,93.9,shi_et_al_2017,incidence_RSV_associated_ALRI,59.7
BDI,Burundi,35.4,88.1,shi_et_al_2017,incidence_RSV_associated_ALRI,56
KHM,Cambodia,32.3,80,shi_et_al_2017,incidence_RSV_associated_ALRI,51.1
CMR,Cameroon,36.8,92.4,shi_et_al_2017,incidence_RSV_associated_ALRI,58.8
999,Cape Verde,34.3,85.5,shi_et_al_2017,incidence_RSV_associated_ALRI,54.5
CAF,Central African Republic,34.7,86.2,shi_et_al_2017,incidence_RSV_associated_ALRI,55
TCD,Chad,36.2,90.7,shi_et_al_2017,incidence_RSV_associated_ALRI,57.7
CHL,Chile,30.9,76.4,shi_et_al_2017,incidence_RSV_associated_ALRI,48.7
CHN,China,18.7,50.8,shi_et_al_2017,incidence_RSV_associated_ALRI,31
COL,Colombia,29.9,73.9,shi_et_al_2017,incidence_RSV_associated_ALRI,47.2
COM,Comoros,39.3,99.1,shi_et_al_2017,incidence_RSV_associated_ALRI,62.8
COG,"Congo, Rep.",35.7,88.9,shi_et_al_2017,incidence_RSV_associated_ALRI,56.7
999,Cook Islands,31.6,79,shi_et_al_2017,incidence_RSV_associated_ALRI,50.3
CRI,Costa Rica,24.5,65.6,shi_et_al_2017,incidence_RSV_associated_ALRI,40.3
CIV,C_te d'Ivoire,32.8,81.5,shi_et_al_2017,incidence_RSV_associated_ALRI,51.9
PRK,"Korea, Dem. People's Rep.",32.4,79.8,shi_et_al_2017,incidence_RSV_associated_ALRI,51.1
COD,"Congo, Dem. Rep.",34.3,85.1,shi_et_al_2017,incidence_RSV_associated_ALRI,54.3
DJI,Djibouti,36,90,shi_et_al_2017,incidence_RSV_associated_ALRI,57.3
DMA,Dominica,30.8,76.2,shi_et_al_2017,incidence_RSV_associated_ALRI,48.7
DOM,Dominican Republic,29.6,73.8,shi_et_al_2017,incidence_RSV_associated_ALRI,46.9
ECU,Ecuador,29.5,73.1,shi_et_al_2017,incidence_RSV_associated_ALRI,46.6
EGY,"Egypt, Arab Rep.",31.9,78.8,shi_et_al_2017,incidence_RSV_associated_ALRI,50.4
SLV,El Salvador,34,84.1,shi_et_al_2017,incidence_RSV_associated_ALRI,53.7
GNQ,Equatorial Guinea,35,86.9,shi_et_al_2017,incidence_RSV_associated_ALRI,55.3
ERI,Eritrea,36.2,90.6,shi_et_al_2017,incidence_RSV_associated_ALRI,57.6
ETH,Ethiopia,36.4,91.3,shi_et_al_2017,incidence_RSV_associated_ALRI,58
FJI,Fiji,22.8,61,shi_et_al_2017,incidence_RSV_associated_ALRI,37.5
GAB,Gabon,38,95.7,shi_et_al_2017,incidence_RSV_associated_ALRI,60.9
GMB,"Gambia, The",36.5,91.7,shi_et_al_2017,incidence_RSV_associated_ALRI,58.3
GHA,Ghana,33.4,82.9,shi_et_al_2017,incidence_RSV_associated_ALRI,52.8
GRD,Grenada,30.6,75.6,shi_et_al_2017,incidence_RSV_associated_ALRI,48.3
GTM,Guatemala,34.5,86.1,shi_et_al_2017,incidence_RSV_associated_ALRI,54.6
GIN,Guinea,37.1,93.9,shi_et_al_2017,incidence_RSV_associated_ALRI,59.5
GNB,Guinea-Bissau,36.6,91.5,shi_et_al_2017,incidence_RSV_associated_ALRI,58.2
GUY,Guyana,35.3,87.8,shi_et_al_2017,incidence_RSV_associated_ALRI,56
HTI,Haiti,33.2,82.3,shi_et_al_2017,incidence_RSV_associated_ALRI,52.6
HND,Honduras,33,81.4,shi_et_al_2017,incidence_RSV_associated_ALRI,52
IND,India,35.7,89,shi_et_al_2017,incidence_RSV_associated_ALRI,56.7
IDN,Indonesia,31.6,78.5,shi_et_al_2017,incidence_RSV_associated_ALRI,50.1
