variable,price,country_iso,intervention,country_plot,vec,price_interv,cnt_int,mean,median,CI50_low,CI50_high,CI95_low,CI95_high
incremental cost (million US$),6,KEN,mAb,Kenya,2655000,6$(mAb),"KEN
$6
mAb",2.6,2.6,2.5,2.8,2.2,3
incremental cost/DALY (disc) averted (US$),6,KEN,mAb,Kenya,314,6$(mAb),"KEN
$6
mAb",312.3,314.5,278.3,354.1,218.2,445.5
intervention cost (million US$),6,KEN,mAb,Kenya,5634000,6$(mAb),"KEN
$6
mAb",5.6,5.6,5.6,5.6,5.6,5.6
total DALY averted (US$),6,KEN,mAb,Kenya,19210,6$(mAb),"KEN
$6
mAb",19276.8,19211,17818.8,20676.2,15317.8,23594.2
total DALY (disc) averted (US$),6,KEN,mAb,Kenya,8425,6$(mAb),"KEN
$6
mAb",8452.7,8425,7822,9056,6733.9,10311
total medical cost averted (million US$),6,KEN,mAb,Kenya,2979000,6$(mAb),"KEN
$6
mAb",3,3,2.9,3.1,2.6,3.4
incremental cost/DALY averted (US$),6,KEN,mAb,Kenya,137,6$(mAb),"KEN
$6
mAb",137,137.9,121.9,155.5,95.4,195.9
incremental cost (million US$),3,KEN,MV,Kenya,1297000,3$(MV),"KEN
$3
MV",1.3,1.3,1.2,1.4,1,1.6
incremental cost/DALY (disc) averted (US$),3,KEN,MV,Kenya,198,3$(MV),"KEN
$3
MV",198.5,199.2,165.2,237.4,117.3,338.8
intervention cost (million US$),3,KEN,MV,Kenya,2882000,3$(MV),"KEN
$3
MV",2.9,2.9,2.9,2.9,2.9,2.9
total DALY averted (US$),3,KEN,MV,Kenya,14940,3$(MV),"KEN
$3
MV",15011.2,14942,13600,16394.8,11044.7,19203.3
total DALY (disc) averted (US$),3,KEN,MV,Kenya,6525,3$(MV),"KEN
$3
MV",6549.5,6525,5940.2,7142.8,4840,8351.4
total medical cost averted (million US$),3,KEN,MV,Kenya,1585000,3$(MV),"KEN
$3
MV",1.6,1.6,1.5,1.7,1.2,1.9
incremental cost/DALY averted (US$),3,KEN,MV,Kenya,86,3$(MV),"KEN
$3
MV",86.6,87,72,103.7,51,148.5
incremental cost (million US$),6,ZAF,mAb,South Africa,8367000,6$(mAb),"ZAF
$6
mAb",-8.4,-8.4,-9.3,-7.5,-11.1,-5.8
incremental cost/DALY (disc) averted (US$),6,ZAF,mAb,South Africa,1261,6$(mAb),"ZAF
$6
mAb",-1267.1,-1264.2,-1329.1,-1195.6,-1436.7,-1042.3
intervention cost (million US$),6,ZAF,mAb,South Africa,5103000,6$(mAb),"ZAF
$6
mAb",5.1,5.1,5.1,5.1,5.1,5.1
total DALY averted (US$),6,ZAF,mAb,South Africa,14320,6$(mAb),"ZAF
$6
mAb",14336.8,14315,13503,15145.2,11982,16783
total DALY (disc) averted (US$),6,ZAF,mAb,South Africa,6621,6$(mAb),"ZAF
$6
mAb",6629.6,6621,6247.8,6997,5554.9,7747
total medical cost averted (million US$),6,ZAF,mAb,South Africa,13470000,6$(mAb),"ZAF
$6
mAb",13.5,13.5,12.6,14.4,10.9,16.2
incremental cost/DALY averted (US$),6,ZAF,mAb,South Africa,583,6$(mAb),"ZAF
$6
mAb",-585.9,-584.7,-614.1,-553.2,-663.2,-483.2
incremental cost (million US$),3,ZAF,MV,South Africa,7774000,3$(MV),"ZAF
$3
MV",-7.8,-7.8,-8.7,-6.9,-10.6,-5.1
incremental cost/DALY (disc) averted (US$),3,ZAF,MV,South Africa,1642,3$(MV),"ZAF
$3
MV",-1640.7,-1631.3,-1707.8,-1558.5,-1858.7,-1376
intervention cost (million US$),3,ZAF,MV,South Africa,2597000,3$(MV),"ZAF
$3
MV",2.6,2.6,2.6,2.6,2.6,2.6
total DALY averted (US$),3,ZAF,MV,South Africa,10340,3$(MV),"ZAF
$3
MV",10328.9,10340,9559.2,11114.8,8053.5,12464
total DALY (disc) averted (US$),3,ZAF,MV,South Africa,4763,3$(MV),"ZAF
$3
MV",4754.1,4763,4408,5106,3720.9,5719.1
total medical cost averted (million US$),3,ZAF,MV,South Africa,10370000,3$(MV),"ZAF
$3
MV",10.4,10.4,9.5,11.3,7.7,13.2
incremental cost/DALY averted (US$),3,ZAF,MV,South Africa,756,3$(MV),"ZAF
$3
MV",-755.2,-751.5,-784.5,-718.7,-852.9,-635.8
incremental cost (million US$),20,KEN,mAb,Kenya,2655000,20$(mAb),"KEN
$20
mAb",15.8,15.8,15.7,15.9,15.4,16.1
incremental cost/DALY (disc) averted (US$),20,KEN,mAb,Kenya,314,20$(mAb),"KEN
$20
mAb",1866.5,1873.8,1728.9,2033.6,1492.3,2396.3
intervention cost (million US$),20,KEN,mAb,Kenya,5634000,20$(mAb),"KEN
$20
mAb",18.8,18.8,18.8,18.8,18.8,18.8
total DALY averted (US$),20,KEN,mAb,Kenya,19210,20$(mAb),"KEN
$20
mAb",19276.8,19211,17818.8,20676.2,15317.8,23594.2
total DALY (disc) averted (US$),20,KEN,mAb,Kenya,8425,20$(mAb),"KEN
$20
mAb",8452.7,8425,7822,9056,6733.9,10311
total medical cost averted (million US$),20,KEN,mAb,Kenya,2979000,20$(mAb),"KEN
$20
mAb",3,3,2.9,3.1,2.6,3.4
incremental cost/DALY averted (US$),20,KEN,mAb,Kenya,137,20$(mAb),"KEN
$20
mAb",818.4,821.8,757.2,892.7,652.1,1053.5
incremental cost (million US$),10,KEN,MV,Kenya,1297000,10$(MV),"KEN
$10
MV",8,8,7.9,8.1,7.7,8.4
incremental cost/DALY (disc) averted (US$),10,KEN,MV,Kenya,198,10$(MV),"KEN
$10
MV",1224.5,1229.1,1106,1368.6,922,1727.3
intervention cost (million US$),10,KEN,MV,Kenya,2882000,10$(MV),"KEN
$10
MV",9.6,9.6,9.6,9.6,9.6,9.6
total DALY averted (US$),10,KEN,MV,Kenya,14940,10$(MV),"KEN
$10
MV",15011.2,14942,13600,16394.8,11044.7,19203.3
total DALY (disc) averted (US$),10,KEN,MV,Kenya,6525,10$(MV),"KEN
$10
MV",6549.5,6525,5940.2,7142.8,4840,8351.4
