source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,norm_mean,norm_median,norm_CI50_low,norm_CI50_high,norm_CI95_low,norm_CI95_high,price,source_num,country_iso,intervention
new data (hospital-based + HUS),admin_cost,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
new data (hospital-based + HUS),ARI_0to1y_averted,130315.5498,130391.5,125283.5,135391,115638.5,144772.69999999998,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
new data (hospital-based + HUS),ARI_0to1y_disc_averted,130315.5498,130391.5,125283.5,135391,115638.5,144772.69999999998,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
new data (hospital-based + HUS),ARI_0to1y_YLD_averted,211.9448,210,192,230,164,269.02499999999964,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
new data (hospital-based + HUS),ARI_0to1y_YLD_disc_averted,211.9448,210,192,230,164,269.02499999999964,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
new data (hospital-based + HUS),ARI_1to5y_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
new data (hospital-based + HUS),ARI_1to5y_disc_averted,130315.5498,130391.5,125283.5,135391,115638.5,144772.69999999998,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
new data (hospital-based + HUS),ARI_1to5y_YLD_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
new data (hospital-based + HUS),ARI_1to5y_YLD_disc_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
new data (hospital-based + HUS),ARI_averted,130315.5498,130391.5,125283.5,135391,115638.5,144772.69999999998,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
new data (hospital-based + HUS),ARI_disc_averted,130315.5498,130391.5,125283.5,135391,115638.5,144772.69999999998,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
new data (hospital-based + HUS),ARI_YLD_averted,211.9448,210,192,230,164,269.02499999999964,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
new data (hospital-based + HUS),ARI_YLD_disc_averted,211.9448,210,192,230,164,269.02499999999964,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
new data (hospital-based + HUS),comm_CFR_adj,2.08275714,2.07,1.75,2.41565,1.4469,2.7819,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
new data (hospital-based + HUS),cost_rsv_hosp,7149071.2376,7133196,6839782.5,7438533.75,6350330.175,8071954.424999999,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
new data (hospital-based + HUS),cost_rsv_hosp_0to1y,5368101.2834,5350168,5124589.75,5594928.75,4752025.2,6088196.924999999,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_averted,1688682.9222,1683721.5,1574562.5,1798860,1369874.875,2026070.7499999998,0.3145262752732218,0.31524423489793113,0.29938969004011745,0.3305592775473496,0.26794826223901747,0.35645534279308116,6,NA,KEN,mAb
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_disc,5368101.2834,5350168,5124589.75,5594928.75,4752025.2,6088196.924999999,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_disc_averted,1688682.9222,1683721.5,1574562.5,1798860,1369874.875,2026070.7499999998,0.3145262752732218,0.31524423489793113,0.29938969004011745,0.3305592775473496,0.26794826223901747,0.35645534279308116,6,NA,KEN,mAb
new data (hospital-based + HUS),cost_rsv_hosp_1to5y,1780969.9428,1778283.5,1703798.25,1853219,1578039.9500000002,2012866.125,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
new data (hospital-based + HUS),cost_rsv_hosp_1to5y_averted,0,0,0,0,0,0,0,0,0,0,0,0,6,NA,KEN,mAb
new data (hospital-based + HUS),cost_rsv_hosp_1to5y_disc,1700789.3504,1698126,1627050.25,1769676.25,1507045.725,1922630.1999999997,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
new data (hospital-based + HUS),cost_rsv_hosp_1to5y_disc_averted,0,0,0,0,0,0,0,0,0,0,0,0,6,NA,KEN,mAb
new data (hospital-based + HUS),cost_rsv_hosp_averted,1688682.9222,1683721.5,1574562.5,1798860,1369874.875,2026070.7499999998,0.2361565067796826,0.23664460974483437,0.22463625156994418,0.2485749955769188,0.2000015929581303,0.26856787350565486,6,NA,KEN,mAb
new data (hospital-based + HUS),cost_rsv_hosp_disc,7068890.6524,7053371,6762642.25,7355346.5,6277019.475000001,7982585.949999999,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
new data (hospital-based + HUS),cost_rsv_hosp_disc_averted,1688682.9222,1683721.5,1574562.5,1798860,1369874.875,2026070.7499999998,0.23883525264854694,0.23931549426557608,0.22719004842814183,0.2513777489129291,0.2023026213776488,0.2716068698554956,6,NA,KEN,mAb
new data (hospital-based + HUS),cost_rsv_outpatient,23738305.0272,23736713.5,23483978.75,23987516.5,23014341.85,24481741.725,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
