source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,norm_mean,norm_median,norm_CI50_low,norm_CI50_high,norm_CI95_low,norm_CI95_high,price,source_num,country_iso,intervention
new data (hospital-based + HUS),admin_cost,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_0to1y_averted,58560.929171668664,55537.5,43019.75,69431.5,24308.600000000002,114781.14999999994,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_0to1y_disc_averted,58560.929171668664,55537.5,43019.75,69431.5,24308.600000000002,114781.14999999994,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_0to1y_YLD_averted,93.3873549419768,87,67,112,37,187,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_0to1y_YLD_disc_averted,93.3873549419768,87,67,112,37,187,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_1to5y_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_1to5y_disc_averted,58560.929171668664,55537.5,43019.75,69431.5,24308.600000000002,114781.14999999994,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_1to5y_YLD_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_1to5y_YLD_disc_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_averted,58560.929171668664,55537.5,43019.75,69431.5,24308.600000000002,114781.14999999994,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_disc_averted,58560.929171668664,55537.5,43019.75,69431.5,24308.600000000002,114781.14999999994,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_YLD_averted,93.3873549419768,87,67,112,37,187,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_YLD_disc_averted,93.3873549419768,87,67,112,37,187,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),comm_CFR_adj,2.08275714,2.07,1.75,2.41565,1.4469,2.7819,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp,34696507.1186,34636824.5,33409445.5,35925913,31196312.75,38563661.574999996,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_0to1y,28540808.0162,28510144,27302546.25,29731415.25,25068645.400000002,32324135.325,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_averted,9928054.009403761,9920108,9000032.75,10838789,7245506.75,12737497.049999999,0.3473464374728703,0.349266372036351,0.32363512654446586,0.37412779634807025,0.2660486380385829,0.4149867005895447,3,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_disc,28540808.0162,28510144,27302546.25,29731415.25,25068645.400000002,32324135.325,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_disc_averted,9928054.009403761,9920108,9000032.75,10838789,7245506.75,12737497.049999999,0.3473464374728703,0.349266372036351,0.32363512654446586,0.37412779634807025,0.2660486380385829,0.4149867005895447,3,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_1to5y,6155699.0978,6141080,5898050.75,6393308.5,5459025.825,6912520.7,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_1to5y_averted,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_1to5y_disc,5895111.2428,5882125,5645783.25,6125851.25,5218188.3,6627529.925,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_1to5y_disc_averted,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_averted,9928054.009403761,9920108,9000032.75,10838789,7245506.75,12737497.049999999,0.2856549092816201,0.2870959661347207,0.265303260583733,0.30862266305007874,0.21674606945330163,0.3453532225393067,3,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_disc,34435919.2574,34378417,33149625.5,35665558.75,30931105,38301228.474999994,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_disc_averted,9928054.009403761,9920108,9000032.75,10838789,7245506.75,12737497.049999999,0.28781727385932643,0.2893586823036832,0.26727607197950776,0.310955410232808,0.21861530397924073,0.3477601708711895,3,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_outpatient,9202504.3704,9142559,8821818.5,9495989,8275023.625,10519867.575,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_outpatient_0to1y,3433570.4208,3360793,3134734,3628027.5,2785164.8000000003,4633540.1499999985,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_outpatient_0to1y_averted,472820.262304922,432168.5,330368.25,563991.5,183404.02500000002,1025441.2,0.1344991733277221,0.12965080838338255,0.10183121202154617,0.1609878715811595,0.0587262517137736,0.2413959985847939,3,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_outpatient_0to1y_disc,3433570.4208,3360793,3134734,3628027.5,2785164.8000000003,4633540.1499999985,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_outpatient_0to1y_disc_averted,472820.262304922,432168.5,330368.25,563991.5,183404.02500000002,1025441.2,0.1344991733277221,0.12965080838338255,0.10183121202154617,0.1609878715811595,0.0587262517137736,0.2413959985847939,3,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_outpatient_1to5y,5768933.9482,5757970.5,5551320.25,5976967,5181380.45,6421393.825,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_outpatient_1to5y_averted,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_outpatient_1to5y_disc,5493107.875,5481473.5,5282088.5,5693819.5,4921204.350000001,6124419.549999999,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_outpatient_1to5y_disc_averted,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_outpatient_averted,472820.262304922,432168.5,330368.25,563991.5,183404.02500000002,1025441.2,0.05072463719350813,0.047438647077868754,0.036574969892784456,0.06058756066254983,0.02063615531595438,0.10140047495144384,3,NA,ZAF,maternal
