source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,norm_mean,norm_median,norm_CI50_low,norm_CI50_high,norm_CI95_low,norm_CI95_high,price,source_num,country_iso,intervention
new data (hospital-based + HUS),admin_cost,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_0to1y_averted,133116.1676,128955.5,115687.25,145331.75,94578.55,200482.87499999997,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_0to1y_disc_averted,133116.1676,128955.5,115687.25,145331.75,94578.55,200482.87499999997,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_0to1y_YLD_averted,214.4812,206,181,239,143,335,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_0to1y_YLD_disc_averted,214.4812,206,181,239,143,335,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_1to5y_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_1to5y_disc_averted,133116.1676,128955.5,115687.25,145331.75,94578.55,200482.87499999997,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_1to5y_YLD_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_1to5y_YLD_disc_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_averted,133116.1676,128955.5,115687.25,145331.75,94578.55,200482.87499999997,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_disc_averted,133116.1676,128955.5,115687.25,145331.75,94578.55,200482.87499999997,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_YLD_averted,214.4812,206,181,239,143,335,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_YLD_disc_averted,214.4812,206,181,239,143,335,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),comm_CFR_adj,2.08275714,2.07,1.75,2.41565,1.4469,2.7819,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp,34696507.1186,34636824.5,33409445.5,35925913,31196312.75,38563661.574999996,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp_0to1y,28540808.0162,28510144,27302546.25,29731415.25,25068645.400000002,32324135.325,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_averted,12363591.7292,12319741,11445025.75,13253959,9775653.475,15025007.474999998,0.43287358307201995,0.4344709983464725,0.4105149636261471,0.45628592115441646,0.3637283046551074,0.49714208846985164,6,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_disc,28540808.0162,28510144,27302546.25,29731415.25,25068645.400000002,32324135.325,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_disc_averted,12363591.7292,12319741,11445025.75,13253959,9775653.475,15025007.474999998,0.43287358307201995,0.4344709983464725,0.4105149636261471,0.45628592115441646,0.3637283046551074,0.49714208846985164,6,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp_1to5y,6155699.0978,6141080,5898050.75,6393308.5,5459025.825,6912520.7,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp_1to5y_averted,0,0,0,0,0,0,0,0,0,0,0,0,6,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp_1to5y_disc,5895111.2428,5882125,5645783.25,6125851.25,5218188.3,6627529.925,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp_1to5y_disc_averted,0,0,0,0,0,0,0,0,0,0,0,0,6,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp_averted,12363591.7292,12319741,11445025.75,13253959,9775653.475,15025007.474999998,0.3559407779131445,0.3566691724741047,0.33632925488169096,0.37567146131979623,0.2972946961271184,0.4116870040600901,6,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp_disc,34435919.2574,34378417,33149625.5,35665558.75,30931105,38301228.474999994,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
