source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,norm_mean,norm_median,norm_CI50_low,norm_CI50_high,norm_CI95_low,norm_CI95_high,price,source_num,country_iso,intervention
new data (hospital-based + HUS),admin_cost,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
new data (hospital-based + HUS),ARI_0to1y_averted,130055.3818,130020.5,125310.75,134849.75,116048.35,144078.275,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
new data (hospital-based + HUS),ARI_0to1y_disc_averted,130055.3818,130020.5,125310.75,134849.75,116048.35,144078.275,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
new data (hospital-based + HUS),ARI_0to1y_YLD_averted,213.4196,211,195,229,167.97500000000002,271,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
new data (hospital-based + HUS),ARI_0to1y_YLD_disc_averted,213.4196,211,195,229,167.97500000000002,271,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
new data (hospital-based + HUS),ARI_1to5y_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
new data (hospital-based + HUS),ARI_1to5y_disc_averted,130055.3818,130020.5,125310.75,134849.75,116048.35,144078.275,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
new data (hospital-based + HUS),ARI_1to5y_YLD_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
new data (hospital-based + HUS),ARI_1to5y_YLD_disc_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
new data (hospital-based + HUS),ARI_averted,130055.3818,130020.5,125310.75,134849.75,116048.35,144078.275,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
new data (hospital-based + HUS),ARI_disc_averted,130055.3818,130020.5,125310.75,134849.75,116048.35,144078.275,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
new data (hospital-based + HUS),ARI_YLD_averted,213.4196,211,195,229,167.97500000000002,271,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
new data (hospital-based + HUS),ARI_YLD_disc_averted,213.4196,211,195,229,167.97500000000002,271,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
new data (hospital-based + HUS),comm_CFR_adj,2.09058236,2.0873999999999997,1.7572,2.4252,1.4378000000000002,2.7538,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
new data (hospital-based + HUS),cost_rsv_hosp,7142334.4518,7133343.5,6843117.5,7435719.5,6319010.2,8034198,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
new data (hospital-based + HUS),cost_rsv_hosp_0to1y,5362880.606,5354906,5128853.75,5589631.5,4724529.85,6059421.1,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_averted,1680634.0804,1680108,1565026,1794868.25,1352342.5499999998,2005365.5999999992,0.313346405806493,0.31530392004585184,0.2978949919527594,0.3301175414134472,0.2637732091886752,0.35392179884343833,6,NA,KEN,mAb
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_disc,5362880.606,5354906,5128853.75,5589631.5,4724529.85,6059421.1,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_disc_averted,1680634.0804,1680108,1565026,1794868.25,1352342.5499999998,2005365.5999999992,0.313346405806493,0.31530392004585184,0.2978949919527594,0.3301175414134472,0.2637732091886752,0.35392179884343833,6,NA,KEN,mAb
new data (hospital-based + HUS),cost_rsv_hosp_1to5y,1779453.8376,1773122,1703174.75,1852837.5,1571391.475,2003115.5999999996,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb
