source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,price,source_num,country_iso,intervention,country_plot,vec,price_interv,cnt_int
new data (hospital-based + HUS),incremental cost (million US$),2.7,2.7,2.5,2.8,2.3,3,6,NA,KEN,mAb,Kenya,2658000,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),267.4,263,237.9,291.8,197.2,363.7,6,NA,KEN,mAb,Kenya,263,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),intervention cost (million US$),5.6,5.6,5.6,5.6,5.6,5.6,6,NA,KEN,mAb,Kenya,5634000,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),total DALY averted (US$),23093,23030.5,21402.5,24744.2,18057.8,28408,6,NA,KEN,mAb,Kenya,23030,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),total DALY (disc) averted (US$),10094.8,10064.5,9364.8,10809.2,7918,12388,6,NA,KEN,mAb,Kenya,10060,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),total medical cost averted (million US$),3,3,2.9,3.1,2.6,3.4,6,NA,KEN,mAb,Kenya,2975000,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),incremental cost (million US$),1.3,1.3,1.2,1.4,1,1.6,3,NA,KEN,MV,Kenya,1303000,3$ (MV),"KEN
$3
MV"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),169.4,166.7,147.2,188.2,114.5,242.6,3,NA,KEN,MV,Kenya,167,3$ (MV),"KEN
$3
MV"
new data (hospital-based + HUS),intervention cost (million US$),2.9,2.9,2.9,2.9,2.9,2.9,3,NA,KEN,MV,Kenya,2882000,3$ (MV),"KEN
$3
MV"
new data (hospital-based + HUS),total DALY averted (US$),18003.3,17900.5,16267.5,19630.8,13309,23064.2,3,NA,KEN,MV,Kenya,17900,3$ (MV),"KEN
$3
MV"
