source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,norm_mean,norm_median,norm_CI50_low,norm_CI50_high,norm_CI95_low,norm_CI95_high,price,source_num,country_iso,intervention
new data (hospital-based + HUS),admin_cost,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_0to1y_averted,59266.5962384954,56321.5,44121.75,70667.75,25737.100000000002,111908.175,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_0to1y_disc_averted,59266.5962384954,56321.5,44121.75,70667.75,25737.100000000002,111908.175,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_0to1y_YLD_averted,96.70248099239696,91,70,116,40,191,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_0to1y_YLD_disc_averted,96.70248099239696,91,70,116,40,191,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_1to5y_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_1to5y_disc_averted,59266.5962384954,56321.5,44121.75,70667.75,25737.100000000002,111908.175,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_1to5y_YLD_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_1to5y_YLD_disc_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_averted,59266.5962384954,56321.5,44121.75,70667.75,25737.100000000002,111908.175,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_disc_averted,59266.5962384954,56321.5,44121.75,70667.75,25737.100000000002,111908.175,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_YLD_averted,96.70248099239696,91,70,116,40,191,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_YLD_disc_averted,96.70248099239696,91,70,116,40,191,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),comm_CFR_adj,2.09058236,2.0873999999999997,1.7572,2.4252,1.4378000000000002,2.7538,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp,34709626.8684,34645382.5,33374565.5,35933159,31254094.575,38601519.375,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
