source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,norm_mean,norm_median,norm_CI50_low,norm_CI50_high,norm_CI95_low,norm_CI95_high,price,source_num,country_iso,intervention
new data (hospital-based + HUS),admin_cost,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_0to1y_averted,134182.161,129920.5,116897.5,146133.75,96566.325,198264.24999999994,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_0to1y_disc_averted,134182.161,129920.5,116897.5,146133.75,96566.325,198264.24999999994,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_0to1y_YLD_averted,219.4174,214,188,243,148,335,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_0to1y_YLD_disc_averted,219.4174,214,188,243,148,335,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_1to5y_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_1to5y_disc_averted,134182.161,129920.5,116897.5,146133.75,96566.325,198264.24999999994,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_1to5y_YLD_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_1to5y_YLD_disc_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_averted,134182.161,129920.5,116897.5,146133.75,96566.325,198264.24999999994,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_disc_averted,134182.161,129920.5,116897.5,146133.75,96566.325,198264.24999999994,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_YLD_averted,219.4174,214,188,243,148,335,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_YLD_disc_averted,219.4174,214,188,243,148,335,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),comm_CFR_adj,2.09058236,2.0873999999999997,1.7572,2.4252,1.4378000000000002,2.7538,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp,34709626.8684,34645382.5,33374565.5,35933159,31254094.575,38601519.375,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp_0to1y,28561116.2902,28505836,27215603.5,29775827,25195882.4,32438360.674999997,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_averted,12353152.962,12325234.5,11430821.5,13252793,9744716.725,15084056.6,0.43220821450413405,0.4346430702303242,0.4099076641864199,0.4568640355897362,0.3584397369950429,0.49418581232941283,6,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_disc,28561116.2902,28505836,27215603.5,29775827,25195882.4,32438360.674999997,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_disc_averted,12353152.962,12325234.5,11430821.5,13252793,9744716.725,15084056.6,0.43220821450413405,0.4346430702303242,0.4099076641864199,0.4568640355897362,0.3584397369950429,0.49418581232941283,6,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp_1to5y,6148510.574,6133574.5,5897234.5,6387624.5,5475597.649999999,6916612.75,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp_1to5y_averted,0,0,0,0,0,0,0,0,0,0,0,0,6,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp_1to5y_disc,5888107.8644,5873230,5644721.5,6120436,5238072.4,6634026.399999999,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp_1to5y_disc_averted,0,0,0,0,0,0,0,0,0,0,0,0,6,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp_averted,12353152.962,12325234.5,11430821.5,13252793,9744716.725,15084056.6,0.35551853868021005,0.3572253629474712,0.335935525639173,0.37593313623249014,0.29252783254971326,0.40984043732937225,6,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp_disc,34449224.1494,34390420.5,33112479,35668903,30997461.125,38330478.474999994,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp_disc_averted,12353152.962,12325234.5,11430821.5,13252793,9744716.725,15084056.6,0.35820851069262166,0.3599117562216473,0.33855663047106116,0.37869680680022266,0.2947477996775469,0.41286930554853934,6,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_outpatient,9215018.8688,9161928.5,8836783.75,9526505,8294524.7,10450593.749999998,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_outpatient_0to1y,3447745.1398,3375783.5,3145886.5,3668796.5,2768981.45,4535044.899999998,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_outpatient_0to1y_averted,1148919.8354,1099170.5,975087.75,1259637.25,797955.475,1805383.699999999,0.33047704193316374,0.32893986981380113,0.3056299604076687,0.35209324809643355,0.2669474975398944,0.4055440790887404,6,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_outpatient_0to1y_disc,3447745.1398,3375783.5,3145886.5,3668796.5,2768981.45,4535044.899999998,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
