source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,norm_mean,norm_median,norm_CI50_low,norm_CI50_high,norm_CI95_low,norm_CI95_high,price,source_num,country_iso,intervention
new data (hospital-based + HUS),admin_cost,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_0to1y_averted,168165.3662,162909,146147.75,183597,119480.425,253269.37499999994,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_0to1y_disc_averted,168165.3662,162909,146147.75,183597,119480.425,253269.37499999994,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_0to1y_YLD_averted,270.955,261,229,302,180.97500000000002,423,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_0to1y_YLD_disc_averted,270.955,261,229,302,180.97500000000002,423,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_1to5y_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_1to5y_disc_averted,168165.3662,162909,146147.75,183597,119480.425,253269.37499999994,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_1to5y_YLD_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_1to5y_YLD_disc_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_averted,168165.3662,162909,146147.75,183597,119480.425,253269.37499999994,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_disc_averted,168165.3662,162909,146147.75,183597,119480.425,253269.37499999994,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_YLD_averted,270.955,261,229,302,180.97500000000002,423,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_YLD_disc_averted,270.955,261,229,302,180.97500000000002,423,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),comm_CFR_adj,2.08275714,2.07,1.75,2.41565,1.4469,2.7819,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp,34696507.1186,34636824.5,33409445.5,35925913,31196312.75,38563661.574999996,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp_0to1y,28540808.0162,28510144,27302546.25,29731415.25,25068645.400000002,32324135.325,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_averted,15618899.131,15563502.5,14458476,16743698.25,12349562.899999999,18981060.349999998,0.5468482766794813,0.5488662720098997,0.5186026535584949,0.576425058375904,0.4594972096289585,0.6280385220768868,6,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_disc,28540808.0162,28510144,27302546.25,29731415.25,25068645.400000002,32324135.325,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_disc_averted,15618899.131,15563502.5,14458476,16743698.25,12349562.899999999,18981060.349999998,0.5468482766794813,0.5488662720098997,0.5186026535584949,0.576425058375904,0.4594972096289585,0.6280385220768868,6,NA,ZAF,mAb
