source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,norm_mean,norm_median,norm_CI50_low,norm_CI50_high,norm_CI95_low,norm_CI95_high,price,source_num,country_iso,intervention
new data (hospital-based + HUS),admin_cost,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_0to1y_averted,74871.36254501801,71150.5,55739.5,89273.5,32514.05,141372.775,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_0to1y_disc_averted,74871.36254501801,71150.5,55739.5,89273.5,32514.05,141372.775,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_0to1y_YLD_averted,122.16926770708284,115,88,146,51,242,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_0to1y_YLD_disc_averted,122.16926770708284,115,88,146,51,242,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_1to5y_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_1to5y_disc_averted,74871.36254501801,71150.5,55739.5,89273.5,32514.05,141372.775,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_1to5y_YLD_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_1to5y_YLD_disc_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_averted,74871.36254501801,71150.5,55739.5,89273.5,32514.05,141372.775,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_disc_averted,74871.36254501801,71150.5,55739.5,89273.5,32514.05,141372.775,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_YLD_averted,122.16926770708284,115,88,146,51,242,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_YLD_disc_averted,122.16926770708284,115,88,146,51,242,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),comm_CFR_adj,2.09058236,2.0873999999999997,1.7572,2.4252,1.4378000000000002,2.7538,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp,34709626.8684,34645382.5,33374565.5,35933159,31254094.575,38601519.375,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_0to1y,28561116.2902,28505836,27215603.5,29775827,25195882.4,32438360.674999997,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_averted,12565833.031812726,12513164.5,11389847.5,13702716.5,9323649.399999999,16043837.825,0.4392903775298543,0.4419046057971525,0.4081577308071392,0.47239719673604474,0.34188828887645045,0.5247690169598813,3,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_disc,28561116.2902,28505836,27215603.5,29775827,25195882.4,32438360.674999997,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_disc_averted,12565833.031812726,12513164.5,11389847.5,13702716.5,9323649.399999999,16043837.825,0.4392903775298543,0.4419046057971525,0.4081577308071392,0.47239719673604474,0.34188828887645045,0.5247690169598813,3,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_1to5y,6148510.574,6133574.5,5897234.5,6387624.5,5475597.649999999,6916612.75,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_1to5y_averted,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_1to5y_disc,5888107.8644,5873230,5644721.5,6120436,5238072.4,6634026.399999999,NA,NA,NA,NA,NA,NA,3,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_1to5y_disc_averted,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_averted,12565833.031812726,12513164.5,11389847.5,13702716.5,9323649.399999999,16043837.825,0.36140131437538114,0.36280679024042095,0.3352667648834403,0.3892853049057139,0.2801656820190237,0.4363484938045663,3,NA,ZAF,maternal
