source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,norm_mean,norm_median,norm_CI50_low,norm_CI50_high,norm_CI95_low,norm_CI95_high,price,source_num,country_iso,intervention,plot_variable,country_plot,burden_interv,vartype,vec,orig_burden_round
new data (hospital-based + HUS),hosp_med_att_YLD,1954,1952,1910,1993,1843,2078,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb,YLD medically attended cases,Kenya,burden,hosp_med_att_YLD,NA,NA
new data (hospital-based + HUS),hosp_med_att_YLD_averted,282,281,272,291,254,312,0.144,0.144,0.141,0.147,0.135,0.154,6,NA,KEN,mAb,YLD medically attended cases,Kenya,averted burden,hosp_med_att_YLD,1952,1952
new data (hospital-based + HUS),hosp_YLD,176,176,170,183,157,197,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb,YLD hospitalised cases,Kenya,burden,hosp_YLD,NA,NA
new data (hospital-based + HUS),hosp_YLD_averted,56,56,53,59,47,66,0.317,0.317,0.309,0.324,0.295,0.339,6,NA,KEN,mAb,YLD hospitalised cases,Kenya,averted burden,hosp_YLD,177,177
new data (hospital-based + HUS),non_hosp_YLD,2495,2493,2442,2546,2356,2645,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb,YLD non-hospitalised cases,Kenya,burden,non_hosp_YLD,NA,NA
new data (hospital-based + HUS),non_hosp_YLD_averted,420,420,407,433,377,463,0.168,0.168,0.165,0.172,0.158,0.179,6,NA,KEN,mAb,YLD non-hospitalised cases,Kenya,averted burden,non_hosp_YLD,2494,2494
new data (hospital-based + HUS),total_DALY,100251,100151,97285,103104,91639,109340,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb,total DALY,Kenya,burden,total_DALY,NA,NA
new data (hospital-based + HUS),total_DALY_averted,29017,28970,27756,30199,25442,32774,0.289,0.289,0.283,0.295,0.272,0.307,6,NA,KEN,mAb,total DALY,Kenya,averted burden,total_DALY,100100,",100,100"
new data (hospital-based + HUS),total_YLD,4449,4447,4358,4534,4214,4702,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb,total YLD,Kenya,burden,total_YLD,NA,NA
new data (hospital-based + HUS),total_YLD_averted,476,476,461,491,428,525,0.107,0.107,0.104,0.11,0.099,0.115,6,NA,KEN,mAb,total YLD,Kenya,averted burden,total_YLD,4448,4448
new data (hospital-based + HUS),total_YLL,95802,95698,92850,98660,87256,104914,NA,NA,NA,NA,NA,NA,6,NA,KEN,mAb,total YLL,Kenya,burden,total_YLL,NA,NA
new data (hospital-based + HUS),total_YLL_averted,28541,28494,27281,29719,24984,32286,0.298,0.298,0.292,0.304,0.28,0.315,6,NA,KEN,mAb,total YLL,Kenya,averted burden,total_YLL,95690,"95,690"
new data (hospital-based + HUS),hosp_med_att_YLD,1954,1952,1910,1993,1843,2078,NA,NA,NA,NA,NA,NA,3,NA,KEN,MV,YLD medically attended cases,Kenya,burden,hosp_med_att_YLD,NA,NA
new data (hospital-based + HUS),hosp_med_att_YLD_averted,69,69,66,73,60,79,0.036,0.036,0.034,0.037,0.031,0.04,3,NA,KEN,MV,YLD medically attended cases,Kenya,averted burden,hosp_med_att_YLD,1943,1943
new data (hospital-based + HUS),hosp_YLD,176,176,170,183,157,197,NA,NA,NA,NA,NA,NA,3,NA,KEN,MV,YLD hospitalised cases,Kenya,burden,hosp_YLD,NA,NA
new data (hospital-based + HUS),hosp_YLD_averted,46,46,43,49,38,55,0.262,0.261,0.253,0.27,0.237,0.286,3,NA,KEN,MV,YLD hospitalised cases,Kenya,averted burden,hosp_YLD,176,176
new data (hospital-based + HUS),non_hosp_YLD,2495,2493,2442,2546,2356,2645,NA,NA,NA,NA,NA,NA,3,NA,KEN,MV,YLD non-hospitalised cases,Kenya,burden,non_hosp_YLD,NA,NA
new data (hospital-based + HUS),non_hosp_YLD_averted,168,168,159,177,141,195,0.067,0.067,0.064,0.07,0.058,0.077,3,NA,KEN,MV,YLD non-hospitalised cases,Kenya,averted burden,non_hosp_YLD,2500,2500
new data (hospital-based + HUS),total_DALY,100251,100151,97285,103104,91639,109340,NA,NA,NA,NA,NA,NA,3,NA,KEN,MV,total DALY,Kenya,burden,total_DALY,NA,NA
new data (hospital-based + HUS),total_DALY_averted,22987,22954,21852,24050,19862,26372,0.229,0.229,0.223,0.236,0.21,0.248,3,NA,KEN,MV,total DALY,Kenya,averted burden,total_DALY,100300,",100,300"
new data (hospital-based + HUS),total_YLD,4449,4447,4358,4534,4214,4702,NA,NA,NA,NA,NA,NA,3,NA,KEN,MV,total YLD,Kenya,burden,total_YLD,NA,NA
new data (hospital-based + HUS),total_YLD_averted,214,214,203,225,180,249,0.048,0.048,0.046,0.05,0.041,0.056,3,NA,KEN,MV,total YLD,Kenya,averted burden,total_YLD,4459,4459
new data (hospital-based + HUS),total_YLL,95802,95698,92850,98660,87256,104914,NA,NA,NA,NA,NA,NA,3,NA,KEN,MV,total YLL,Kenya,burden,total_YLL,NA,NA
new data (hospital-based + HUS),total_YLL_averted,22773,22741,21640,23830,19651,26165,0.238,0.237,0.231,0.244,0.218,0.257,3,NA,KEN,MV,total YLL,Kenya,averted burden,total_YLL,95800,"95,800"
new data (hospital-based + HUS),hosp_med_att_YLD,660,658,637,680,601,729,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb,YLD medically attended cases,South Africa,burden,hosp_med_att_YLD,NA,NA
new data (hospital-based + HUS),hosp_med_att_YLD_averted,197,194,184,206,167,238,0.297,0.296,0.287,0.306,0.271,0.334,6,NA,ZAF,mAb,YLD medically attended cases,South Africa,averted burden,hosp_med_att_YLD,656,656
new data (hospital-based + HUS),hosp_YLD,268,267,256,280,232,305,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb,YLD hospitalised cases,South Africa,burden,hosp_YLD,NA,NA
new data (hospital-based + HUS),hosp_YLD_averted,115,114,107,122,94,137,0.427,0.427,0.418,0.437,0.397,0.457,6,NA,ZAF,mAb,YLD hospitalised cases,South Africa,averted burden,hosp_YLD,267,267
new data (hospital-based + HUS),non_hosp_YLD,1670,1662,1599,1728,1492,1903,NA,NA,NA,NA,NA,NA,6,NA,ZAF,mAb,YLD non-hospitalised cases,South Africa,burden,non_hosp_YLD,NA,NA
new data (hospital-based + HUS),non_hosp_YLD_averted,407,398,372,429,331,550,0.243,0.24,0.23,0.252,0.214,0.294,6,NA,ZAF,mAb,YLD non-hospitalised cases,South Africa,averted burden,non_hosp_YLD,1662,1662
