source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,norm_mean,norm_median,norm_CI50_low,norm_CI50_high,norm_CI95_low,norm_CI95_high,price,source_num,country_iso,intervention,plot_variable,country_plot,burden_interv,vartype,vec,orig_burden_round
new data (hospital-based + HUS),hosp_med_att_YLD,1949,1947,1910,1987,1833,2069,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,YLD medically attended cases,Kenya,burden,hosp_med_att_YLD,NA,NA
new data (hospital-based + HUS),hosp_med_att_YLD_averted,201,201,187,216,161,243,0.103,0.103,0.096,0.11,0.084,0.123,5,NA,KEN,mAb,YLD medically attended cases,Kenya,averted burden,hosp_med_att_YLD,1945,1945
new data (hospital-based + HUS),hosp_YLD,177,176,170,182,158,198,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,YLD hospitalised cases,Kenya,burden,hosp_YLD,NA,NA
new data (hospital-based + HUS),hosp_YLD_averted,60,60,55,65,48,75,0.341,0.341,0.322,0.36,0.288,0.393,5,NA,KEN,mAb,YLD hospitalised cases,Kenya,averted burden,hosp_YLD,176,176
new data (hospital-based + HUS),non_hosp_YLD,2490,2489,2441,2537,2349,2632,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,YLD non-hospitalised cases,Kenya,burden,non_hosp_YLD,NA,NA
new data (hospital-based + HUS),non_hosp_YLD_averted,341,341,320,363,281,402,0.137,0.137,0.129,0.145,0.115,0.159,5,NA,KEN,mAb,YLD non-hospitalised cases,Kenya,averted burden,non_hosp_YLD,2491,2491
new data (hospital-based + HUS),total_DALY,100293,100240,97189,103187,91805,109225,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,total DALY,Kenya,burden,total_DALY,NA,NA
new data (hospital-based + HUS),total_DALY_averted,27835,27746,25912,29623,22801,33375,0.277,0.277,0.262,0.292,0.237,0.319,5,NA,KEN,mAb,total DALY,Kenya,averted burden,total_DALY,100100,",100,100"
new data (hospital-based + HUS),total_YLD,4439,4435,4358,4519,4202,4677,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,total YLD,Kenya,burden,total_YLD,NA,NA
new data (hospital-based + HUS),total_YLD_averted,401,401,377,426,332,474,0.09,0.09,0.085,0.095,0.076,0.105,5,NA,KEN,mAb,total YLD,Kenya,averted burden,total_YLD,4441,4441
new data (hospital-based + HUS),total_YLL,95855,95796,92747,98730,87408,104795,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,total YLL,Kenya,burden,total_YLL,NA,NA
new data (hospital-based + HUS),total_YLL_averted,27433,27333,25506,29209,22416,32962,0.286,0.286,0.27,0.301,0.244,0.33,5,NA,KEN,mAb,total YLL,Kenya,averted burden,total_YLL,95630,"95,630"
new data (hospital-based + HUS),hosp_med_att_YLD,1949,1947,1910,1987,1833,2069,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,MV,YLD medically attended cases,Kenya,burden,hosp_med_att_YLD,NA,NA
new data (hospital-based + HUS),hosp_med_att_YLD_averted,84,84,78,90,68,105,0.043,0.043,0.04,0.046,0.035,0.053,2.5,NA,KEN,MV,YLD medically attended cases,Kenya,averted burden,hosp_med_att_YLD,1950,1950
new data (hospital-based + HUS),hosp_YLD,177,176,170,182,158,198,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,MV,YLD hospitalised cases,Kenya,burden,hosp_YLD,NA,NA
new data (hospital-based + HUS),hosp_YLD_averted,45,44,40,49,34,59,0.253,0.253,0.234,0.272,0.201,0.312,2.5,NA,KEN,MV,YLD hospitalised cases,Kenya,averted burden,hosp_YLD,174,174
new data (hospital-based + HUS),non_hosp_YLD,2490,2489,2441,2537,2349,2632,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,MV,YLD non-hospitalised cases,Kenya,burden,non_hosp_YLD,NA,NA
new data (hospital-based + HUS),non_hosp_YLD_averted,182,180,166,195,144,230,0.073,0.072,0.067,0.078,0.058,0.091,2.5,NA,KEN,MV,YLD non-hospitalised cases,Kenya,averted burden,non_hosp_YLD,2482,2482
new data (hospital-based + HUS),total_DALY,100293,100240,97189,103187,91805,109225,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,MV,total DALY,Kenya,burden,total_DALY,NA,NA
