country_plot,intervention,plot_variable,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,norm_mean,norm_median,norm_CI50_low,norm_CI50_high,norm_CI95_low,norm_CI95_high
Kenya,mAb,YLD medically attended cases,hosp_med_att_YLD_averted,143,142,134,152,118,173,0.073,0.073,0.068,0.077,0.06,0.088
Kenya,mAb,YLD hospitalised cases,hosp_YLD_averted,42,41,38,45,32,52,0.236,0.236,0.22,0.251,0.19,0.278
Kenya,mAb,YLD non-hospitalised cases,non_hosp_YLD_averted,240,240,225,255,199,287,0.096,0.096,0.09,0.101,0.081,0.113
Kenya,mAb,total DALY,total_DALY_averted,23093,23030,21402,24744,18058,28408,0.132,0.132,0.123,0.142,0.105,0.161
Kenya,mAb,total YLD,total_YLD_averted,282,281,263,300,234,336,0.063,0.063,0.059,0.067,0.053,0.075
Kenya,mAb,total YLL,total_YLL_averted,22811,22751,21120,24454,17786,28106,0.134,0.134,0.125,0.144,0.106,0.163
Kenya,MV,YLD medically attended cases,hosp_med_att_YLD_averted,53,53,48,58,39,68,0.027,0.027,0.024,0.03,0.02,0.035
Kenya,MV,YLD hospitalised cases,hosp_YLD_averted,33,33,29,36,24,44,0.185,0.186,0.17,0.201,0.141,0.232
Kenya,MV,YLD non-hospitalised cases,non_hosp_YLD_averted,124,123,112,135,92,158,0.049,0.049,0.045,0.054,0.037,0.062
Kenya,MV,total DALY,total_DALY_averted,18003,17900,16268,19631,13309,23064,0.103,0.103,0.094,0.112,0.077,0.13
Kenya,MV,total YLD,total_YLD_averted,156,156,142,170,117,200,0.035,0.035,0.032,0.038,0.026,0.045
Kenya,MV,total YLL,total_YLL_averted,17847,17741,16121,19478,13163,22901,0.105,0.105,0.096,0.114,0.078,0.132
South Africa,mAb,YLD medically attended cases,hosp_med_att_YLD_averted,143,141,131,153,113,180,0.215,0.214,0.201,0.227,0.179,0.254
South Africa,mAb,YLD hospitalised cases,hosp_YLD_averted,90,89,81,97,69,113,0.333,0.333,0.312,0.354,0.272,0.391
South Africa,mAb,YLD non-hospitalised cases,non_hosp_YLD_averted,272,266,241,295,201,388,0.162,0.16,0.147,0.174,0.126,0.211
