source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,price,source_num,country_iso,intervention,country_plot,vec,price_interv,orig_burden_round
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,3143.7,2288.5,1368.1,3884.9,514.6,10581.3,6,0.2,KEN,mAb,Kenya,2288,6$ (mAb),2.3
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,7081.4,5242.5,3144.6,8815.1,1187.7,23376.1,6,0.2,KEN,mAb,Kenya,5242,6$ (mAb),5.2
new data (hospital-based + HUS),incremental cost/DALY averted,108.9,107,95.2,120.5,78.5,149.6,6,2,KEN,mAb,Kenya,107,6$ (mAb),0.1
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,249.6,245.4,218.3,276.3,180.4,342,6,2,KEN,mAb,Kenya,245,6$ (mAb),0.2
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,11114.5,8226.3,4974.4,13751,1994.9,36937.7,20,0.2,KEN,mAb,Kenya,8226,20$ (mAb),8.2
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,25041.3,18816.5,11436,31203.8,4616,81129.9,20,0.2,KEN,mAb,Kenya,18820,20$ (mAb),18.8
new data (hospital-based + HUS),incremental cost/DALY averted,621.8,614.7,566.5,670.8,490.5,792.7,20,2,KEN,mAb,Kenya,615,20$ (mAb),0.6
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,1425.6,1409.2,1300.2,1537,1127.2,1810.7,20,2,KEN,mAb,Kenya,1409,20$ (mAb),1.4
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,33888.2,25262.9,15250.9,41909.3,6193.1,111839.2,60,0.2,KEN,mAb,Kenya,25260,60$ (mAb),25.3
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,76355.3,57690.9,35030.2,95159,14302.4,246512.9,60,0.2,KEN,mAb,Kenya,57690,60$ (mAb),57.7
new data (hospital-based + HUS),incremental cost/DALY averted,2087.4,2063.9,1909.7,2246.9,1662.7,2636,60,2,KEN,mAb,Kenya,2064,60$ (mAb),2.1
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,4785.6,4732.5,4381.3,5146.7,3821.7,6031.1,60,2,KEN,mAb,Kenya,4732,60$ (mAb),4.7
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,5919.9,4148.6,2427.7,7234.7,836.8,21154.7,3,0.2,KEN,MV,Kenya,4149,3$ (MV),4.1
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,13353.3,9500.9,5579.8,16446.3,1928.4,46748.5,3,0.2,KEN,MV,Kenya,9501,3$ (MV),9.5
new data (hospital-based + HUS),incremental cost/DALY averted,174,158.4,132,197.3,94.2,331.7,3,2,KEN,MV,Kenya,158,3$ (MV),0.2
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,398.8,364.1,304.1,453.3,217.3,750.3,3,2,KEN,MV,Kenya,364,3$ (MV),0.4
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,20293,14367.2,8469.9,24772.9,3054.6,71560,10,0.2,KEN,MV,Kenya,14370,10$ (MV),14.4
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,45778.8,32830.8,19477,56371.6,7051.9,158876.9,10,0.2,KEN,MV,Kenya,32830,10$ (MV),32.8
new data (hospital-based + HUS),incremental cost/DALY averted,826,757.3,630.8,929.9,462.9,1569.1,10,2,KEN,MV,Kenya,757,10$ (MV),0.8
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,1893.6,1741.7,1452.6,2132.1,1069.6,3564.9,10,2,KEN,MV,Kenya,1742,10$ (MV),1.7
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,61359.3,43487.8,25701.8,74823.6,9335.3,215831.2,30,0.2,KEN,MV,Kenya,43490,30$ (MV),43.5
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,138423.1,99517.7,59110.7,170217.9,21556.4,478680.2,30,0.2,KEN,MV,Kenya,99520,30$ (MV),99.5
new data (hospital-based + HUS),incremental cost/DALY averted,2689,2468.9,2049.8,3023.1,1511.1,5096.5,30,2,KEN,MV,Kenya,2469,30$ (MV),2.5
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,6164.3,5675.8,4723.6,6938.5,3489.9,11595.4,30,2,KEN,MV,Kenya,5676,30$ (MV),5.7
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,2470.5,1678.3,856,3130.8,59,9539.9,6,0.2,ZAF,mAb,South Africa,1678,6$ (mAb),1.7
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,5330.4,3681,1888.5,6840.7,130.4,20059.1,6,0.2,ZAF,mAb,South Africa,3681,6$ (mAb),3.7
new data (hospital-based + HUS),incremental cost/DALY averted,-564.3,-561.3,-617.1,-507.5,-732,-413,6,2,ZAF,mAb,South Africa,-561,6$ (mAb),-0.6
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,-1224.6,-1218,-1339,-1101.4,-1587.8,-896.3,6,2,ZAF,mAb,South Africa,-1218,6$ (mAb),-1.2
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,11109.7,8089.4,4809.3,13791.9,1748.3,37770.5,20,0.2,ZAF,mAb,South Africa,8089,20$ (mAb),8.1
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,23995.3,17732.4,10606.6,30066.3,3877.4,79903.2,20,0.2,ZAF,mAb,South Africa,17730,20$ (mAb),17.7
new data (hospital-based + HUS),incremental cost/DALY averted,266.9,260.6,192.6,335.9,66.8,498.4,20,2,ZAF,mAb,South Africa,261,20$ (mAb),0.3
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,579.1,565.4,417.5,729.2,145,1076.2,20,2,ZAF,mAb,South Africa,565,20$ (mAb),0.6
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,35793.2,26546.7,15957.7,44305.9,6316.4,118747.8,60,0.2,ZAF,mAb,South Africa,26550,60$ (mAb),26.5
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,77323.7,58158.4,35138.9,96337.7,14005.3,252282.2,60,0.2,ZAF,mAb,South Africa,58160,60$ (mAb),58.2
new data (hospital-based + HUS),incremental cost/DALY averted,2641.8,2612,2431.4,2817.9,2162.8,3293.6,60,2,ZAF,mAb,South Africa,2612,60$ (mAb),2.6
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,5732.3,5668.4,5277.7,6108.6,4700.8,7130.8,60,2,ZAF,mAb,South Africa,5668,60$ (mAb),5.7
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,5556,3747.2,2059.1,6844.1,518.5,20951.5,3,0.2,ZAF,MV,South Africa,3747,3$ (MV),3.7
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,12019.4,8221.8,4526.7,14943.5,1146.8,44804.2,3,0.2,ZAF,MV,South Africa,8222,3$ (MV),8.2
new data (hospital-based + HUS),incremental cost/DALY averted,-548.6,-501.7,-656.3,-387.6,-1153.8,-218,3,2,ZAF,MV,South Africa,-502,3$ (MV),-0.5
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,-1186.6,-1091.4,-1418.8,-845.4,-2454.6,-478.3,3,2,ZAF,MV,South Africa,-1091,3$ (MV),-1.1
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,21053.6,14715.8,8595.4,25760.5,2968.9,75806.3,10,0.2,ZAF,MV,South Africa,14720,10$ (MV),14.7
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,45562.3,32312.1,18907,56217.7,6585.1,159925.4,10,0.2,ZAF,MV,South Africa,32310,10$ (MV),32.3
new data (hospital-based + HUS),incremental cost/DALY averted,538.1,502.3,380.9,637.5,184,1111.1,10,2,ZAF,MV,South Africa,502,10$ (MV),0.5
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,1165,1094.1,829.5,1382.4,398.2,2378,10,2,ZAF,MV,South Africa,1094,10$ (MV),1.1
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,65332.2,46174.3,27224,79739,9808.3,230952.9,30,0.2,ZAF,MV,South Africa,46170,30$ (MV),46.2
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,141399.2,101384.2,59954.4,173860.2,21772.8,493415.3,30,0.2,ZAF,MV,South Africa,101400,30$ (MV),101.4
new data (hospital-based + HUS),incremental cost/DALY averted,3643,3367.1,2851.7,4084.5,2149.8,6594.2,30,2,ZAF,MV,South Africa,3367,30$ (MV),3.4
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,7883.7,7314.9,6221.1,8834,4717.9,14077,30,2,ZAF,MV,South Africa,7315,30$ (MV),7.3
