source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,price,source_num,country_iso,intervention,country_plot,vec,price_interv,cnt_int
new data (hospital-based + HUS),incremental cost (million US$),3.88,3.88,3.67,4.08,3.3,4.46,6,2,KEN,mAb,Kenya,3876000,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),249.57,245.36,218.29,276.28,180.43,342.02,6,2,KEN,mAb,Kenya,245,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),intervention cost (million US$),7.87,7.87,7.87,7.87,7.87,7.87,6,2,KEN,mAb,Kenya,7865000,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),incremental cost (million US$),22.23,22.23,22.02,22.43,21.65,22.82,20,2,KEN,mAb,Kenya,22230000,20$ (mAb),"KEN
$20
mAb"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),1425.58,1409.21,1300.24,1537,1127.25,1810.72,20,2,KEN,mAb,Kenya,1409,20$ (mAb),"KEN
$20
mAb"
new data (hospital-based + HUS),intervention cost (million US$),26.22,26.22,26.22,26.22,26.22,26.22,20,2,KEN,mAb,Kenya,26220000,20$ (mAb),"KEN
$20
mAb"
new data (hospital-based + HUS),incremental cost (million US$),74.67,74.66,74.46,74.87,74.09,75.25,60,2,KEN,mAb,Kenya,74660000,60$ (mAb),"KEN
$60
mAb"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),4785.59,4732.5,4381.27,5146.66,NA,NA,60,2,KEN,mAb,Kenya,4732,60$ (mAb),"KEN
$60
mAb"
new data (hospital-based + HUS),intervention cost (million US$),78.65,78.65,78.65,78.65,78.65,78.65,60,2,KEN,mAb,Kenya,78650000,60$ (mAb),"KEN
$60
mAb"
new data (hospital-based + HUS),incremental cost (million US$),2.5,2.51,2.37,2.64,2.1,2.87,3,2,KEN,MV,Kenya,2509000,3$ (MV),"KEN
$3
MV"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),398.84,364.09,304.14,453.27,217.31,750.26,3,2,KEN,MV,Kenya,364,3$ (MV),"KEN
$3
MV"
new data (hospital-based + HUS),intervention cost (million US$),4.02,4.02,4.02,4.02,4.02,4.02,3,2,KEN,MV,Kenya,4023000,3$ (MV),"KEN
$3
MV"
new data (hospital-based + HUS),incremental cost (million US$),11.89,11.9,11.76,12.03,11.49,12.26,10,2,KEN,MV,Kenya,11900000,10$ (MV),"KEN
$10
MV"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),1893.6,1741.73,1452.57,2132.06,1069.61,3564.85,10,2,KEN,MV,Kenya,1742,10$ (MV),"KEN
$10
MV"
new data (hospital-based + HUS),intervention cost (million US$),13.41,13.41,13.41,13.41,13.41,13.41,10,2,KEN,MV,Kenya,13410000,10$ (MV),"KEN
$10
MV"
new data (hospital-based + HUS),incremental cost (million US$),38.71,38.72,38.58,38.85,38.31,39.08,30,2,KEN,MV,Kenya,38720000,30$ (MV),"KEN
$30
MV"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),6164.35,5675.76,4723.63,6938.49,NA,NA,30,2,KEN,MV,Kenya,5676,30$ (MV),"KEN
$30
MV"
new data (hospital-based + HUS),intervention cost (million US$),40.23,40.23,40.23,40.23,40.23,40.23,30,2,KEN,MV,Kenya,40230000,30$ (MV),"KEN
$30
MV"
new data (hospital-based + HUS),incremental cost (million US$),-10.29,-10.27,-11.39,-9.11,-13.75,-7.06,6,2,ZAF,mAb,South Africa,10270000,6$ (mAb),"ZAF
$6
mAb"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),-1224.57,-1218.05,-1338.97,-1101.36,-1587.79,-896.32,6,2,ZAF,mAb,South Africa,1218,6$ (mAb),"ZAF
$6
mAb"
new data (hospital-based + HUS),intervention cost (million US$),6.45,6.45,6.45,6.45,6.45,6.45,6,2,ZAF,mAb,South Africa,6447000,6$ (mAb),"ZAF
$6
mAb"
new data (hospital-based + HUS),incremental cost (million US$),4.76,4.78,3.65,5.93,1.3,7.98,20,2,ZAF,mAb,South Africa,4776000,20$ (mAb),"ZAF
$20
mAb"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),579.07,565.4,417.46,729.18,144.96,1076.17,20,2,ZAF,mAb,South Africa,565,20$ (mAb),"ZAF
$20
mAb"
new data (hospital-based + HUS),intervention cost (million US$),21.49,21.49,21.49,21.49,21.49,21.49,20,2,ZAF,mAb,South Africa,21490000,20$ (mAb),"ZAF
$20
mAb"
new data (hospital-based + HUS),incremental cost (million US$),47.74,47.76,46.63,48.91,44.28,50.96,60,2,ZAF,mAb,South Africa,47760000,60$ (mAb),"ZAF
$60
mAb"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),5732.33,5668.38,5277.71,6108.59,NA,NA,60,2,ZAF,mAb,South Africa,5668,60$ (mAb),"ZAF
$60
mAb"
