source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,norm_mean,norm_median,norm_CI50_low,norm_CI50_high,norm_CI95_low,norm_CI95_high,price,source_num,country_iso,intervention,plot_variable,country_plot,burden_interv,vartype,vec,orig_burden_round
new data (hospital-based + HUS),hosp_med_att_YLD,1954.6414,1951,1908,2001,1832.975,2087,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,YLD medically attended cases,Kenya,burden,hosp_med_att_YLD,NA,NA
new data (hospital-based + HUS),hosp_med_att_YLD_averted,183.3102,182,170,195,149.97500000000002,224,0.09376595456834746,0.09352142110762801,0.08770840736594285,0.09932397295891836,0.07765957446808511,0.11212617678561361,6,2,KEN,mAb,YLD medically attended cases,Kenya,averted burden,hosp_med_att_YLD,1946,1946
new data (hospital-based + HUS),hosp_YLD,176.284,176,170,183,159,198,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,YLD hospitalised cases,Kenya,burden,hosp_YLD,NA,NA
new data (hospital-based + HUS),hosp_YLD_averted,58.3878,58,53,63,45,73,0.3305895161732727,0.3313953488372093,0.31016042780748665,0.35135135135135137,0.26899945175438594,0.3888888888888889,6,2,KEN,mAb,YLD hospitalised cases,Kenya,averted burden,hosp_YLD,175,175
new data (hospital-based + HUS),non_hosp_YLD,2497.413,2494,2442,2550.25,2348,2655,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,YLD non-hospitalised cases,Kenya,burden,non_hosp_YLD,NA,NA
new data (hospital-based + HUS),non_hosp_YLD_averted,317.1264,316,297,336,263,380,0.1269483833208201,0.12672500935582925,0.1197471934942102,0.13365983293084766,0.10673248085990573,0.14975464788253687,6,2,KEN,mAb,YLD non-hospitalised cases,Kenya,averted burden,non_hosp_YLD,2494,2494
new data (hospital-based + HUS),total_DALY,142715.7144,142511.5,138009,147344.25,129272.6,156945.375,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,total DALY,Kenya,burden,total_DALY,NA,NA
new data (hospital-based + HUS),total_DALY_averted,36269.1894,36038,33415.75,38983,28331.575,45168.54999999999,0.2539376658665261,0.25354225023297183,0.23726875146224277,0.27049400026422576,0.20621258216285693,0.30303596836620666,6,2,KEN,mAb,total DALY,Kenya,averted burden,total_DALY,142100,",142,100"
new data (hospital-based + HUS),total_YLD,4452.047,4447,4357,4546,4199,4728,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,total YLD,Kenya,burden,total_YLD,NA,NA
new data (hospital-based + HUS),total_YLD_averted,375.5214,374,352,398,309.97499999999997,448,0.08433958246786671,0.08410580682383123,0.07940451587733083,0.08905326919083519,0.07036431870625784,0.09982306482099748,6,2,KEN,mAb,total YLD,Kenya,averted burden,total_YLD,4447,4447
new data (hospital-based + HUS),total_YLL,138263.6682,138049.5,133562.5,142827.5,124837.5,152464.175,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,total YLL,Kenya,burden,total_YLL,NA,NA
new data (hospital-based + HUS),total_YLL_averted,35893.6676,35661,33054.25,38606.25,27974.525,44759.424999999996,0.2594065337974377,0.2590179804572158,0.24223093899376374,0.2764422555594943,0.21041329053099533,0.3099830833722087,6,2,KEN,mAb,total YLL,Kenya,averted burden,total_YLL,137700,",137,700"
new data (hospital-based + HUS),hosp_med_att_YLD,1954.6414,1951,1908,2001,1832.975,2087,NA,NA,NA,NA,NA,NA,3,2,KEN,MV,YLD medically attended cases,Kenya,burden,hosp_med_att_YLD,NA,NA
new data (hospital-based + HUS),hosp_med_att_YLD_averted,43.72734546909382,43,39,48,33,57,0.022385456498114017,0.02216358839050132,0.020159151193633953,0.02440318302387268,0.01669018703416122,0.029227845288089842,3,2,KEN,MV,YLD medically attended cases,Kenya,averted burden,hosp_med_att_YLD,1940,1940
new data (hospital-based + HUS),hosp_YLD,176.284,176,170,183,159,198,NA,NA,NA,NA,NA,NA,3,2,KEN,MV,YLD hospitalised cases,Kenya,burden,hosp_YLD,NA,NA
new data (hospital-based + HUS),hosp_YLD_averted,24.339867973594718,24,21,27,17,33,0.13772882804348077,0.13690476190476192,0.12422360248447205,0.15083798882681565,0.1016949152542373,0.17857142857142858,3,2,KEN,MV,YLD hospitalised cases,Kenya,averted burden,hosp_YLD,175,175
new data (hospital-based + HUS),non_hosp_YLD,2497.413,2494,2442,2550.25,2348,2655,NA,NA,NA,NA,NA,NA,3,2,KEN,MV,YLD non-hospitalised cases,Kenya,burden,non_hosp_YLD,NA,NA
new data (hospital-based + HUS),non_hosp_YLD_averted,96.34526905381077,96,87,105,72,125,0.03857682362477624,0.03828547648772368,0.034802824200938214,0.04210741489865301,0.028996597150478323,0.049874661632500136,3,2,KEN,MV,YLD non-hospitalised cases,Kenya,averted burden,non_hosp_YLD,2507,2507
new data (hospital-based + HUS),total_DALY,142715.7144,142511.5,138009,147344.25,129272.6,156945.375,NA,NA,NA,NA,NA,NA,3,2,KEN,MV,total DALY,Kenya,burden,total_DALY,NA,NA
new data (hospital-based + HUS),total_DALY_averted,11047.568313662732,10893,7937.5,13942.5,2738.75,20518.4,0.07729554695226025,0.0765839888692674,0.056294013141677646,0.09726680318220288,0.019711205743066555,0.14098538035957198,3,2,KEN,MV,total DALY,Kenya,averted burden,total_DALY,142200,",142,200"
new data (hospital-based + HUS),total_YLD,4452.047,4447,4357,4546,4199,4728,NA,NA,NA,NA,NA,NA,3,2,KEN,MV,total YLD,Kenya,burden,total_YLD,NA,NA
new data (hospital-based + HUS),total_YLD_averted,120.6889377875575,120,108,132,90,156.05000000000018,0.027113561773115896,0.02691698710698937,0.024384711233432256,0.029653128828831418,0.02026952646173254,0.03524555315493257,3,2,KEN,MV,total YLD,Kenya,averted burden,total_YLD,4458,4458
new data (hospital-based + HUS),total_YLL,138263.6682,138049.5,133562.5,142827.5,124837.5,152464.175,NA,NA,NA,NA,NA,NA,3,2,KEN,MV,total YLL,Kenya,burden,total_YLL,NA,NA
new data (hospital-based + HUS),total_YLL_averted,10926.868973794759,10772,7823,13820.5,2613.75,20407.15,0.07891211721389088,0.07819345102900302,0.05726402316021381,0.09948904453919402,0.01957726885425907,0.1446589559171532,3,2,KEN,MV,total YLL,Kenya,averted burden,total_YLL,137800,",137,800"
new data (hospital-based + HUS),hosp_med_att_YLD,600.5904,598,580,619,547,665,NA,NA,NA,NA,NA,NA,6,2,ZAF,mAb,YLD medically attended cases,South Africa,burden,hosp_med_att_YLD,NA,NA
new data (hospital-based + HUS),hosp_med_att_YLD_averted,158.2498,156,145,169,126,201,0.26304515380434407,0.2619614752795294,0.24737433914621637,0.2780356141845211,0.2205374053030303,0.3108174135047098,6,2,ZAF,mAb,YLD medically attended cases,South Africa,averted burden,hosp_med_att_YLD,596,596
new data (hospital-based + HUS),hosp_YLD,267.8916,266,256,279,237,305,NA,NA,NA,NA,NA,NA,6,2,ZAF,mAb,YLD hospitalised cases,South Africa,burden,hosp_YLD,NA,NA
new data (hospital-based + HUS),hosp_YLD_averted,113.8946,113,104,123,88,145,0.42432145459605336,0.4255758748021804,0.39928057553956836,0.4490566037735849,0.34978922011442337,0.4949161102550933,6,2,ZAF,mAb,YLD hospitalised cases,South Africa,averted burden,hosp_YLD,266,266
new data (hospital-based + HUS),non_hosp_YLD,1472.3396,1466,1412,1525,1318,1666,NA,NA,NA,NA,NA,NA,6,2,ZAF,mAb,YLD non-hospitalised cases,South Africa,burden,non_hosp_YLD,NA,NA
new data (hospital-based + HUS),non_hosp_YLD_averted,284.2424,278,254,307,213,391.0499999999993,0.1924567673589567,0.19031427068584816,0.17647058823529413,0.20568099455370023,0.15333312807881772,0.2438375647761919,6,2,ZAF,mAb,YLD non-hospitalised cases,South Africa,averted burden,non_hosp_YLD,1461,1461
new data (hospital-based + HUS),total_DALY,41896.7884,41849,40902.75,42855.5,39252.675,44742.275,NA,NA,NA,NA,NA,NA,6,2,ZAF,mAb,total DALY,South Africa,burden,total_DALY,NA,NA
new data (hospital-based + HUS),total_DALY_averted,18224.721,18216,17162,19271,15171.800000000001,21267.225,0.43480624853153155,0.436358087791971,0.4139076114156337,0.4565356388273424,0.36917071559610337,0.4935536311495842,6,2,ZAF,mAb,total DALY,South Africa,averted burden,total_DALY,41750,"41,750"
new data (hospital-based + HUS),total_YLD,2072.9394,2068,2004,2134,1890,2289,NA,NA,NA,NA,NA,NA,6,2,ZAF,mAb,total YLD,South Africa,burden,total_YLD,NA,NA
new data (hospital-based + HUS),total_YLD_averted,398.1406,393,363,427,312.975,519,0.19171566222714337,0.19018542592954485,0.1782359759282453,0.2037868715273648,0.15718315194930432,0.2340708114560381,6,2,ZAF,mAb,total YLD,South Africa,averted burden,total_YLD,2066,2066
new data (hospital-based + HUS),total_YLL,39823.8538,39771.5,38831,40761,37198,42659.075,NA,NA,NA,NA,NA,NA,6,2,ZAF,mAb,total YLL,South Africa,burden,total_YLL,NA,NA
new data (hospital-based + HUS),total_YLL_averted,17826.5712,17827.5,16780,18866,14793.775000000001,20859.025,0.44744871939152014,0.4490077590261986,0.4258069281288821,0.4698608533649949,0.37940928156313614,0.5086885525254908,6,2,ZAF,mAb,total YLL,South Africa,averted burden,total_YLL,39700,"39,700"
new data (hospital-based + HUS),hosp_med_att_YLD,600.5904,598,580,619,547,665,NA,NA,NA,NA,NA,NA,3,2,ZAF,MV,YLD medically attended cases,South Africa,burden,hosp_med_att_YLD,NA,NA
new data (hospital-based + HUS),hosp_med_att_YLD_averted,59.780556111222246,59,53,66,42,84,0.0992706947474555,0.09838709677419355,0.08898367216678024,0.10842398721097984,0.07316879289619604,0.13093610825625215,3,2,ZAF,MV,YLD medically attended cases,South Africa,averted burden,hosp_med_att_YLD,600,600
new data (hospital-based + HUS),hosp_YLD,267.8916,266,256,279,237,305,NA,NA,NA,NA,NA,NA,3,2,ZAF,MV,YLD hospitalised cases,South Africa,burden,hosp_YLD,NA,NA
new data (hospital-based + HUS),hosp_YLD_averted,43.98039607921584,44,38,49,30,60,0.16376621023398072,0.1625441696113074,0.1471698113207547,0.1794871794871795,0.11922161172161172,0.21245867953185027,3,2,ZAF,MV,YLD hospitalised cases,South Africa,averted burden,hosp_YLD,271,271
new data (hospital-based + HUS),non_hosp_YLD,1472.3396,1466,1412,1525,1318,1666,NA,NA,NA,NA,NA,NA,3,2,ZAF,MV,YLD non-hospitalised cases,South Africa,burden,non_hosp_YLD,NA,NA
