source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,price,source_num,country_iso,intervention,country_plot,vec,price_interv,orig_burden_round
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,3156.6,2332.1,1374.1,3935.9,480.9,10585.7,6,0.2,KEN,mAb,Kenya,2332,6$ (mAb),2.3
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,7111.5,5329.5,3160.9,8942,1109.7,23486.4,6,0.2,KEN,mAb,Kenya,5329,6$ (mAb),5.3
new data (hospital-based + HUS),incremental cost/DALY averted,108.8,107.1,95.3,119.6,77,150.9,6,2,KEN,mAb,Kenya,107,6$ (mAb),0.1
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,249.3,245.5,218.8,274.2,176.9,345.4,6,2,KEN,mAb,Kenya,246,6$ (mAb),0.2
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,11158.6,8322.6,4992.9,13864.1,1916.2,37047.9,20,0.2,KEN,mAb,Kenya,8323,20$ (mAb),8.3
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,25143.3,19005.1,11472.3,31382.3,4429.5,81664.7,20,0.2,KEN,mAb,Kenya,19010,20$ (mAb),19
new data (hospital-based + HUS),incremental cost/DALY averted,621.8,615.4,566.5,668.2,484.8,796.9,20,2,KEN,mAb,Kenya,615,20$ (mAb),0.6
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,1425.7,1411,1300.3,1530.3,1113.8,1822.6,20,2,KEN,mAb,Kenya,1411,20$ (mAb),1.4
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,34021.5,25394.7,15264.8,42155.3,5953,113487.8,60,0.2,KEN,mAb,Kenya,25390,60$ (mAb),25.4
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,76663,58052.2,35082.4,95488.5,13775.3,248946.4,60,0.2,KEN,mAb,Kenya,58050,60$ (mAb),58.1
new data (hospital-based + HUS),incremental cost/DALY averted,2087.8,2070.6,1912.4,2236.8,1645.3,2644.3,60,2,KEN,mAb,Kenya,2071,60$ (mAb),2.1
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,4786.8,4746.8,4389.6,5126.8,3780.6,6055.9,60,2,KEN,mAb,Kenya,4747,60$ (mAb),4.7
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,5975,4185.7,2390.9,7480.9,792.9,21299,3,0.2,KEN,MV,Kenya,4186,3$ (MV),4.2
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,13489.5,9565.8,5489.9,16969,1831.1,47393.2,3,0.2,KEN,MV,Kenya,9566,3$ (MV),9.6
new data (hospital-based + HUS),incremental cost/DALY averted,219.6,229.7,180,316.5,115.9,843.7,3,2,KEN,MV,Kenya,230,3$ (MV),0.2
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,673.9,526.2,413.5,722.1,269.2,1906,3,2,KEN,MV,Kenya,526,3$ (MV),0.5
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,20479.5,14352.8,8360.2,25475.6,2868.4,71672.4,10,0.2,KEN,MV,Kenya,14350,10$ (MV),14.4
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,46238.7,32795.3,19208.9,57819.1,6627.7,159329.5,10,0.2,KEN,MV,Kenya,32800,10$ (MV),32.8
new data (hospital-based + HUS),incremental cost/DALY averted,1024.6,1088.9,854.1,1489.4,570.6,3935,10,2,KEN,MV,Kenya,1089,10$ (MV),1.1
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,3213.5,2495.8,1962.2,3400.7,1322.8,8997.1,10,2,KEN,MV,Kenya,2496,10$ (MV),2.5
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,61920.9,43509.5,25439,77122,8778.3,216187.1,30,0.2,KEN,MV,Kenya,43510,30$ (MV),43.5
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,139807.7,99483.1,58416,175463.9,20282.3,478721.7,30,0.2,KEN,MV,Kenya,99480,30$ (MV),99.5
new data (hospital-based + HUS),incremental cost/DALY averted,3324.6,3542.4,2773.8,4841.3,1848.9,12663.3,30,2,KEN,MV,Kenya,3542,30$ (MV),3.5
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,10469.6,8114.7,6376.1,11039.5,4269.2,28891.8,30,2,KEN,MV,Kenya,8115,30$ (MV),8.1
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,2473.2,1731.8,861.7,3156.6,43.5,9620.1,6,0.2,ZAF,mAb,South Africa,1732,6$ (mAb),1.7
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,5336.9,3792.1,1899.2,6858.7,96.4,20367.5,6,0.2,ZAF,mAb,South Africa,3792,6$ (mAb),3.8
new data (hospital-based + HUS),incremental cost/DALY averted,-566.4,-563.7,-619,-507.3,-736.7,-411.3,6,2,ZAF,mAb,South Africa,-564,6$ (mAb),-0.6
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,-1229.3,-1223.5,-1343.8,-1101.9,-1599.3,-891.8,6,2,ZAF,mAb,South Africa,-1224,6$ (mAb),-1.2
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,11146.8,8196.3,4826.8,13875.1,1697,38268.7,20,0.2,ZAF,mAb,South Africa,8196,20$ (mAb),8.2
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,24077.1,17934.9,10639.3,30209.8,3762.5,80537.3,20,0.2,ZAF,mAb,South Africa,17930,20$ (mAb),17.9
new data (hospital-based + HUS),incremental cost/DALY averted,265.2,261.8,189.5,335.9,58.6,494.2,20,2,ZAF,mAb,South Africa,262,20$ (mAb),0.3
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,575.5,567.5,411.4,729.3,127.6,1072,20,2,ZAF,mAb,South Africa,568,20$ (mAb),0.6
