source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,price,source_num,country_iso,intervention,country_plot,vec,price_interv,cnt_int
new data (hospital-based + HUS),incremental cost (million US$),3.87,3.87,3.67,4.07,3.26,4.47,6,2,KEN,mAb,Kenya,3870000,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),249.34,245.52,218.77,274.18,176.93,345.37,6,2,KEN,mAb,Kenya,246,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),intervention cost (million US$),7.87,7.87,7.87,7.87,7.87,7.87,6,2,KEN,mAb,Kenya,7865000,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),incremental cost (million US$),22.22,22.22,22.02,22.43,21.62,22.82,20,2,KEN,mAb,Kenya,22220000,20$ (mAb),"KEN
$20
mAb"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),1425.73,1411.01,1300.26,1530.28,1113.77,1822.6,20,2,KEN,mAb,Kenya,1411,20$ (mAb),"KEN
$20
mAb"
new data (hospital-based + HUS),intervention cost (million US$),26.22,26.22,26.22,26.22,26.22,26.22,20,2,KEN,mAb,Kenya,26220000,20$ (mAb),"KEN
$20
mAb"
new data (hospital-based + HUS),incremental cost (million US$),74.66,74.66,74.45,74.86,74.05,75.26,60,2,KEN,mAb,Kenya,74660000,60$ (mAb),"KEN
$60
mAb"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),4786.84,4746.83,4389.65,5126.83,NA,NA,60,2,KEN,mAb,Kenya,4747,60$ (mAb),"KEN
$60
mAb"
new data (hospital-based + HUS),intervention cost (million US$),78.65,78.65,78.65,78.65,78.65,78.65,60,2,KEN,mAb,Kenya,78650000,60$ (mAb),"KEN
$60
mAb"
new data (hospital-based + HUS),incremental cost (million US$),2.51,2.52,2.39,2.64,2.13,2.86,3,2,KEN,MV,Kenya,2517000,3$ (MV),"KEN
$3
MV"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),673.86,526.17,413.48,722.12,269.18,1905.97,3,2,KEN,MV,Kenya,526,3$ (MV),"KEN
$3
MV"
new data (hospital-based + HUS),intervention cost (million US$),4.02,4.02,4.02,4.02,4.02,4.02,3,2,KEN,MV,Kenya,4023000,3$ (MV),"KEN
$3
MV"
new data (hospital-based + HUS),incremental cost (million US$),11.9,11.9,11.78,12.03,11.52,12.25,10,2,KEN,MV,Kenya,11900000,10$ (MV),"KEN
$10
MV"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),3213.48,2495.78,1962.21,3400.66,NA,NA,10,2,KEN,MV,Kenya,2496,10$ (MV),"KEN
$10
MV"
new data (hospital-based + HUS),intervention cost (million US$),13.41,13.41,13.41,13.41,13.41,13.41,10,2,KEN,MV,Kenya,13410000,10$ (MV),"KEN
$10
MV"
new data (hospital-based + HUS),incremental cost (million US$),38.72,38.73,38.6,38.85,38.34,39.07,30,2,KEN,MV,Kenya,38730000,30$ (MV),"KEN
$30
MV"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),10469.56,8114.67,6376.07,11039.5,NA,NA,30,2,KEN,MV,Kenya,8115,30$ (MV),"KEN
$30
MV"
new data (hospital-based + HUS),intervention cost (million US$),40.23,40.23,40.23,40.23,40.23,40.23,30,2,KEN,MV,Kenya,40230000,30$ (MV),"KEN
$30
MV"
new data (hospital-based + HUS),incremental cost (million US$),-10.32,-10.28,-11.45,-9.11,-13.91,-7.07,6,2,ZAF,mAb,South Africa,10280000,6$ (mAb),"ZAF
$6
mAb"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),-1229.27,-1223.55,-1343.8,-1101.92,-1599.32,-891.81,6,2,ZAF,mAb,South Africa,1224,6$ (mAb),"ZAF
$6
mAb"
new data (hospital-based + HUS),intervention cost (million US$),6.45,6.45,6.45,6.45,6.45,6.45,6,2,ZAF,mAb,South Africa,6447000,6$ (mAb),"ZAF
$6
mAb"
new data (hospital-based + HUS),incremental cost (million US$),4.72,4.77,3.59,5.93,1.14,7.98,20,2,ZAF,mAb,South Africa,4766000,20$ (mAb),"ZAF
$20
mAb"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),575.47,567.53,411.41,729.26,127.58,1072.01,20,2,ZAF,mAb,South Africa,568,20$ (mAb),"ZAF
$20
mAb"
new data (hospital-based + HUS),intervention cost (million US$),21.49,21.49,21.49,21.49,21.49,21.49,20,2,ZAF,mAb,South Africa,21490000,20$ (mAb),"ZAF
$20
mAb"
new data (hospital-based + HUS),incremental cost (million US$),47.7,47.75,46.57,48.92,44.12,50.96,60,2,ZAF,mAb,South Africa,47750000,60$ (mAb),"ZAF
$60
mAb"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),5731.85,5677.2,5286.46,6116.72,NA,NA,60,2,ZAF,mAb,South Africa,5677,60$ (mAb),"ZAF
$60
mAb"
new data (hospital-based + HUS),intervention cost (million US$),64.47,64.47,64.47,64.47,64.47,64.47,60,2,ZAF,mAb,South Africa,64470000,60$ (mAb),"ZAF
$60
mAb"
new data (hospital-based + HUS),incremental cost (million US$),-3.85,-3.81,-4.5,-3.09,-6.07,-1.92,3,2,ZAF,MV,South Africa,3813000,3$ (MV),"ZAF
$3
MV"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),-1729.53,-1539.89,-2140.91,-1141.81,NA,NA,3,2,ZAF,MV,South Africa,1540,3$ (MV),"ZAF
$3
MV"
new data (hospital-based + HUS),intervention cost (million US$),3.28,3.28,3.28,3.28,3.28,3.28,3,2,ZAF,MV,South Africa,3281000,3$ (MV),"ZAF
$3
MV"
new data (hospital-based + HUS),incremental cost (million US$),3.81,3.84,3.15,4.56,1.59,5.74,10,2,ZAF,MV,South Africa,3842000,10$ (MV),"ZAF
$10
MV"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),1519.29,1549.96,1139.66,2146,NA,NA,10,2,ZAF,MV,South Africa,1550,10$ (MV),"ZAF
$10
MV"
new data (hospital-based + HUS),intervention cost (million US$),10.94,10.94,10.94,10.94,10.94,10.94,10,2,ZAF,MV,South Africa,10940000,10$ (MV),"ZAF
$10
MV"
new data (hospital-based + HUS),incremental cost (million US$),25.68,25.71,25.02,26.43,23.46,27.61,30,2,ZAF,MV,South Africa,25710000,30$ (MV),"ZAF
$30
MV"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),10801.61,10411.18,8350.92,13773.41,NA,NA,30,2,ZAF,MV,South Africa,10410,30$ (MV),"ZAF
$30
MV"
new data (hospital-based + HUS),intervention cost (million US$),32.81,32.81,32.81,32.81,32.81,32.81,30,2,ZAF,MV,South Africa,32810000,30$ (MV),"ZAF
$30
MV"
new data (hospital-based + HUS),incremental cost (million US$),3.87,3.87,3.67,4.07,3.26,4.47,6,2,KEN,mAb,Kenya,3870000,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),incremental cost/DALY averted (US$),108.76,107.14,95.34,119.63,77.04,150.86,6,2,KEN,mAb,Kenya,107,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),intervention cost (million US$),7.87,7.87,7.87,7.87,7.87,7.87,6,2,KEN,mAb,Kenya,7865000,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),incremental cost (million US$),22.22,22.22,22.02,22.43,21.62,22.82,20,2,KEN,mAb,Kenya,22220000,NA,"KEN
$20
mAb"
new data (hospital-based + HUS),incremental cost/DALY averted (US$),621.84,615.41,566.49,668.23,484.75,796.93,20,2,KEN,mAb,Kenya,615,NA,"KEN
$20
mAb"
new data (hospital-based + HUS),intervention cost (million US$),26.22,26.22,26.22,26.22,26.22,26.22,20,2,KEN,mAb,Kenya,26220000,NA,"KEN
$20
mAb"
new data (hospital-based + HUS),incremental cost (million US$),74.66,74.66,74.45,74.86,74.05,75.26,60,2,KEN,mAb,Kenya,74660000,NA,"KEN
$60
mAb"
new data (hospital-based + HUS),incremental cost/DALY averted (US$),2087.81,2070.63,1912.43,2236.76,1645.27,2644.3,60,2,KEN,mAb,Kenya,2071,NA,"KEN
$60
mAb"
