source,variable,price,source_num,country_iso,intervention,country_plot,vec,price_interv,orig_burden_round,money_unit,mean,median,CI50_low,CI50_high,CI95_low,CI95_high
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost (million US$),6,0.2,KEN,mAb,Kenya,7227000,6$ (mAb),7.2m,million USD,7.096,7.227,6.891,7.456,5.722,7.695
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY averted (thousand US$),6,0.2,KEN,mAb,Kenya,3069,6$ (mAb),3.1k,USD,4.01,3.069,1.851,5.078,0.688,13.015
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY disc averted (thousand US$),6,0.2,KEN,mAb,Kenya,1342,6$ (mAb),1.3k,USD,1.748,1.342,0.817,2.214,0.314,5.632
projection ([Li 2020] from [Shi 2017] meta-analysis),total medical cost averted (million US$),6,0.2,KEN,mAb,Kenya,638100,6$ (mAb),0.6m,million USD,0.769,0.638,0.409,0.974,0.171,2.144
new data (hospital-based + HUS),incremental cost (million US$),6,2,KEN,mAb,Kenya,5000000,6$ (mAb),5m,million USD,5.019,5,4.393,5.588,3.459,6.747
new data (hospital-based + HUS),total DALY averted (thousand US$),6,2,KEN,mAb,Kenya,23760,6$ (mAb),23.8k,USD,23.714,23.76,17.303,30.394,4.813,41.544
new data (hospital-based + HUS),total DALY disc averted (thousand US$),6,2,KEN,mAb,Kenya,10390,6$ (mAb),10.4k,USD,10.371,10.394,7.593,13.28,2.176,18.092
new data (hospital-based + HUS),total medical cost averted (million US$),6,2,KEN,mAb,Kenya,2865000,6$ (mAb),2.9m,million USD,2.846,2.865,2.277,3.472,1.119,4.406
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost (million US$),20,0.2,KEN,mAb,Kenya,25580000,20$ (mAb),25.6m,million USD,25.448,25.579,25.243,25.809,24.074,26.047
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY averted (thousand US$),20,0.2,KEN,mAb,Kenya,3069,20$ (mAb),3.1k,USD,4.01,3.069,1.851,5.078,0.688,13.015
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY disc averted (thousand US$),20,0.2,KEN,mAb,Kenya,1342,20$ (mAb),1.3k,USD,1.748,1.342,0.817,2.214,0.314,5.632
projection ([Li 2020] from [Shi 2017] meta-analysis),total medical cost averted (million US$),20,0.2,KEN,mAb,Kenya,638100,20$ (mAb),0.6m,million USD,0.769,0.638,0.409,0.974,0.171,2.144
new data (hospital-based + HUS),incremental cost (million US$),20,2,KEN,mAb,Kenya,23350000,20$ (mAb),23.4m,million USD,23.372,23.352,22.745,23.94,21.811,25.099
new data (hospital-based + HUS),total DALY averted (thousand US$),20,2,KEN,mAb,Kenya,23760,20$ (mAb),23.8k,USD,23.714,23.76,17.303,30.394,4.813,41.544
new data (hospital-based + HUS),total DALY disc averted (thousand US$),20,2,KEN,mAb,Kenya,10390,20$ (mAb),10.4k,USD,10.371,10.394,7.593,13.28,2.176,18.092
new data (hospital-based + HUS),total medical cost averted (million US$),20,2,KEN,mAb,Kenya,2865000,20$ (mAb),2.9m,million USD,2.846,2.865,2.277,3.472,1.119,4.406
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost (million US$),60,0.2,KEN,mAb,Kenya,78010000,60$ (mAb),78m,million USD,77.883,78.014,77.678,78.243,76.509,78.482
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY averted (thousand US$),60,0.2,KEN,mAb,Kenya,3069,60$ (mAb),3.1k,USD,4.01,3.069,1.851,5.078,0.688,13.015
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY disc averted (thousand US$),60,0.2,KEN,mAb,Kenya,1342,60$ (mAb),1.3k,USD,1.748,1.342,0.817,2.214,0.314,5.632
projection ([Li 2020] from [Shi 2017] meta-analysis),total medical cost averted (million US$),60,0.2,KEN,mAb,Kenya,638100,60$ (mAb),0.6m,million USD,0.769,0.638,0.409,0.974,0.171,2.144
new data (hospital-based + HUS),incremental cost (million US$),60,2,KEN,mAb,Kenya,75790000,60$ (mAb),75.8m,million USD,75.806,75.787,75.18,76.375,74.246,77.534
new data (hospital-based + HUS),total DALY averted (thousand US$),60,2,KEN,mAb,Kenya,23760,60$ (mAb),23.8k,USD,23.714,23.76,17.303,30.394,4.813,41.544
new data (hospital-based + HUS),total DALY disc averted (thousand US$),60,2,KEN,mAb,Kenya,10390,60$ (mAb),10.4k,USD,10.371,10.394,7.593,13.28,2.176,18.092
new data (hospital-based + HUS),total medical cost averted (million US$),60,2,KEN,mAb,Kenya,2865000,60$ (mAb),2.9m,million USD,2.846,2.865,2.277,3.472,1.119,4.406
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost (million US$),3,0.2,KEN,MV,Kenya,3858000,3$ (MV),3.9m,million USD,3.815,3.858,3.761,3.921,3.384,3.982
