source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,norm_mean,norm_median,norm_CI50_low,norm_CI50_high,norm_CI95_low,norm_CI95_high,price,source_num,country_iso,intervention,plot_variable,country_plot,burden_interv,vartype,vec,orig_burden_round
new data (hospital-based + HUS),hosp_med_att_YLD,1974.036,1971,1926,2016,1848,2130.0249999999996,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,YLD medically attended cases,Kenya,burden,hosp_med_att_YLD,NA,NA
new data (hospital-based + HUS),hosp_med_att_YLD_averted,280.076907549455,279,269,290,250,315,0.14185160251400816,0.14145724941633053,0.1375747238861281,0.14578362480449136,0.13101899090791996,0.15475035185860908,6,2,KEN,mAb,YLD medically attended cases,Kenya,averted burden,hosp_med_att_YLD,1972,1972
new data (hospital-based + HUS),hosp_YLD,177.1418,177,170,184,158,197,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,YLD hospitalised cases,Kenya,burden,hosp_YLD,NA,NA
new data (hospital-based + HUS),hosp_YLD_averted,80.37383932176019,80,76,85,67,94,0.4530347530944462,0.4536082474226804,0.4420686357841054,0.4644808743169399,0.4193210353486575,0.48258706467661694,6,2,KEN,mAb,YLD hospitalised cases,Kenya,averted burden,hosp_YLD,176,176
new data (hospital-based + HUS),non_hosp_YLD,2519.6562,2517,2466,2569,2366,2693,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,YLD non-hospitalised cases,Kenya,burden,non_hosp_YLD,NA,NA
new data (hospital-based + HUS),non_hosp_YLD_averted,467.40230117077107,467,449,485,418.82500000000005,521,0.18546218590532343,0.18519221308595124,0.1800918503379787,0.1907491963558116,0.17072340970299282,0.20123613532544368,6,2,KEN,mAb,YLD non-hospitalised cases,Kenya,averted burden,non_hosp_YLD,2522,2522
new data (hospital-based + HUS),total_DALY,142801.7156,142478,137929.25,147455.25,129524.52500000001,156952.075,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,total DALY,Kenya,burden,total_DALY,NA,NA
new data (hospital-based + HUS),total_DALY_averted,57530.91138473961,57391.5,54853.5,60079.75,50274.65,65499.05,0.40263669043096395,0.4026155171737926,0.394110494493704,0.4110184226334985,0.378596167524721,0.427661028096702,6,2,KEN,mAb,total DALY,Kenya,averted burden,total_DALY,142500,",142,500"
new data (hospital-based + HUS),total_YLD,4493.6904,4489,4398,4580.25,4234.975,4813,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,total YLD,Kenya,burden,total_YLD,NA,NA
new data (hospital-based + HUS),total_YLD_averted,547.7666532095277,547,526,569,490,611,0.12189749504388643,0.12168258360522292,0.11796380733176492,0.12592339690141402,0.11052566479007345,0.1336024300634523,6,2,KEN,mAb,total YLD,Kenya,averted burden,total_YLD,4495,4495
new data (hospital-based + HUS),total_YLL,138308.0302,137994,133457.25,142993.25,125019.90000000001,152370.17500000002,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,total YLL,Kenya,burden,total_YLL,NA,NA
new data (hospital-based + HUS),total_YLL_averted,56983.134436818735,56835,54321.25,59535.5,49725.625,64937.02500000001,0.41177392518409045,0.41185113205104973,0.4032446013403086,0.42029345055397993,0.38721924761973425,0.4373149221196809,6,2,KEN,mAb,total YLL,Kenya,averted burden,total_YLL,138000,",138,000"
new data (hospital-based + HUS),hosp_med_att_YLD,1974.036,1971,1926,2016,1848,2130.0249999999996,NA,NA,NA,NA,NA,NA,3,2,KEN,MV,YLD medically attended cases,Kenya,burden,hosp_med_att_YLD,NA,NA
new data (hospital-based + HUS),hosp_med_att_YLD_averted,57.8218,58,55,61,49,67,0.02930041346433098,0.029212310902451747,0.027806790416301495,0.030693069306930693,0.025336091003102378,0.033748866280216096,3,2,KEN,MV,YLD medically attended cases,Kenya,averted burden,hosp_med_att_YLD,1985,1985
new data (hospital-based + HUS),hosp_YLD,177.1418,177,170,184,158,197,NA,NA,NA,NA,NA,NA,3,2,KEN,MV,YLD hospitalised cases,Kenya,burden,hosp_YLD,NA,NA
new data (hospital-based + HUS),hosp_YLD_averted,27.1046,27,25,29,20,34,0.15259745173082476,0.1534090909090909,0.14367816091954022,0.16184971098265896,0.12643678160919541,0.17679558011049723,3,2,KEN,MV,YLD hospitalised cases,Kenya,averted burden,hosp_YLD,176,176
new data (hospital-based + HUS),non_hosp_YLD,2519.6562,2517,2466,2569,2366,2693,NA,NA,NA,NA,NA,NA,3,2,KEN,MV,YLD non-hospitalised cases,Kenya,burden,non_hosp_YLD,NA,NA
new data (hospital-based + HUS),non_hosp_YLD_averted,117.3234,117,110,125,97,139,0.046560460182206394,0.04644906809326783,0.043832113387000896,0.04929648028451269,0.0388865029103412,0.05466367199954146,3,2,KEN,MV,YLD non-hospitalised cases,Kenya,averted burden,non_hosp_YLD,2519,2519
new data (hospital-based + HUS),total_DALY,142801.7156,142478,137929.25,147455.25,129524.52500000001,156952.075,NA,NA,NA,NA,NA,NA,3,2,KEN,MV,total DALY,Kenya,burden,total_DALY,NA,NA
new data (hospital-based + HUS),total_DALY_averted,14869.1974,14768,13493,16082.5,11381,19076.149999999987,0.10403337684987493,0.10367303890090479,0.0958105723568214,0.11159894209021119,0.08233993236036204,0.1286378162528786,3,2,KEN,MV,total DALY,Kenya,averted burden,total_DALY,142400,",142,400"
new data (hospital-based + HUS),total_YLD,4493.6904,4489,4398,4580.25,4234.975,4813,NA,NA,NA,NA,NA,NA,3,2,KEN,MV,total YLD,Kenya,burden,total_YLD,NA,NA
new data (hospital-based + HUS),total_YLD_averted,144.4304,144,135,154,118,172,0.03214823615028449,0.0320562915605975,0.030128498023202846,0.034172668330137844,0.02643195166177501,0.037985870688374807,3,2,KEN,MV,total YLD,Kenya,averted burden,total_YLD,4492,4492
new data (hospital-based + HUS),total_YLL,138308.0302,137994,133457.25,142993.25,125019.90000000001,152370.17500000002,NA,NA,NA,NA,NA,NA,3,2,KEN,MV,total YLL,Kenya,burden,total_YLL,NA,NA
new data (hospital-based + HUS),total_YLL_averted,14724.7668,14620,13356,15940.5,11233.875,18942.225,0.10637208583524632,0.10598540011281835,0.09784149287876764,0.11414333011146155,0.08408561469321511,0.13173461145572576,3,2,KEN,MV,total YLL,Kenya,averted burden,total_YLL,137900,",137,900"
new data (hospital-based + HUS),hosp_med_att_YLD,604.3614,602,584,623,552,669,NA,NA,NA,NA,NA,NA,6,2,ZAF,mAb,YLD medically attended cases,South Africa,burden,hosp_med_att_YLD,NA,NA
new data (hospital-based + HUS),hosp_med_att_YLD_averted,207.74767864352037,206,194,219,175,254,0.3432582715040147,0.34134615384615385,0.3298474767306574,0.35531325140261827,0.3062859980278123,0.39054429238633204,6,2,ZAF,mAb,YLD medically attended cases,South Africa,averted burden,hosp_med_att_YLD,604,604
new data (hospital-based + HUS),hosp_YLD,268.8246,268,256,281,235,305,NA,NA,NA,NA,NA,NA,6,2,ZAF,mAb,YLD hospitalised cases,South Africa,burden,hosp_YLD,NA,NA
new data (hospital-based + HUS),hosp_YLD_averted,148.50706499798142,148,139,158,122,176,0.5516719583276484,0.5525291828793775,0.5393258426966292,0.564748201438849,0.514501903932517,0.5858585858585859,6,2,ZAF,mAb,YLD hospitalised cases,South Africa,averted burden,hosp_YLD,268,268
new data (hospital-based + HUS),non_hosp_YLD,1484.7972,1476,1421,1539.25,1329,1685.0249999999996,NA,NA,NA,NA,NA,NA,6,2,ZAF,mAb,YLD non-hospitalised cases,South Africa,burden,non_hosp_YLD,NA,NA
new data (hospital-based + HUS),non_hosp_YLD_averted,378.58114654824385,368,343,399,305,523,0.254136854481654,0.2498101308525687,0.23718614718614717,0.264991017599154,0.21724066932691183,0.3232543545751496,6,2,ZAF,mAb,YLD non-hospitalised cases,South Africa,averted burden,non_hosp_YLD,1473,1473
new data (hospital-based + HUS),total_DALY,39018.41,38989,38053.75,39943.25,36408,41756.149999999994,NA,NA,NA,NA,NA,NA,6,2,ZAF,mAb,total DALY,South Africa,burden,total_DALY,NA,NA
new data (hospital-based + HUS),total_DALY_averted,23013.733548647557,22983,22276,23708,21075,25105.175000000003,0.5896518302798851,0.5895177470078928,0.5833786954667471,0.5957551617241637,0.5719318635375101,0.6075599023193908,6,2,ZAF,mAb,total DALY,South Africa,averted burden,total_DALY,38990,"38,990"
new data (hospital-based + HUS),total_YLD,2089.1456,2080,2016,2155,1907,2315.0249999999996,NA,NA,NA,NA,NA,NA,6,2,ZAF,mAb,total YLD,South Africa,burden,total_YLD,NA,NA
new data (hospital-based + HUS),total_YLD_averted,527.0908356883326,517,488,553,441,677.1750000000002,0.2518393927517712,0.2490118538481067,0.23836335462714311,0.2616953428252499,0.2205351659506724,0.30330129406450623,6,2,ZAF,mAb,total YLD,South Africa,averted burden,total_YLD,2076,2076
new data (hospital-based + HUS),total_YLL,36929.272,36905.5,35966,37846.5,34340.924999999996,39670.275,NA,NA,NA,NA,NA,NA,6,2,ZAF,mAb,total YLL,South Africa,burden,total_YLL,NA,NA
new data (hospital-based + HUS),total_YLL_averted,22486.637666532097,22460,21754.25,23175.25,20547.475,24580.225,0.6087531559273888,0.6086287412970366,0.6024781746658417,0.614872202944349,0.5907297827517464,0.6267159093489181,6,2,ZAF,mAb,total YLL,South Africa,averted burden,total_YLL,36900,"36,900"
new data (hospital-based + HUS),hosp_med_att_YLD,604.3614,602,584,623,552,669,NA,NA,NA,NA,NA,NA,3,2,ZAF,MV,YLD medically attended cases,South Africa,burden,hosp_med_att_YLD,NA,NA
new data (hospital-based + HUS),hosp_med_att_YLD_averted,68.586,67,61,74,51,96.02499999999964,0.11314277525476657,0.11150442477876106,0.10304054054054054,0.1209871697530467,0.08903926778140692,0.14820976262399777,3,2,ZAF,MV,YLD medically attended cases,South Africa,averted burden,hosp_med_att_YLD,601,601
new data (hospital-based + HUS),hosp_YLD,268.8246,268,256,281,235,305,NA,NA,NA,NA,NA,NA,3,2,ZAF,MV,YLD hospitalised cases,South Africa,burden,hosp_YLD,NA,NA
new data (hospital-based + HUS),hosp_YLD_averted,52.7756,53,48,58,39,67,0.19573735544420887,0.19607843137254902,0.1828358208955224,0.20849831594512444,0.16044776119402984,0.2315445072412575,3,2,ZAF,MV,YLD hospitalised cases,South Africa,averted burden,hosp_YLD,270,270
new data (hospital-based + HUS),non_hosp_YLD,1484.7972,1476,1421,1539.25,1329,1685.0249999999996,NA,NA,NA,NA,NA,NA,3,2,ZAF,MV,YLD non-hospitalised cases,South Africa,burden,non_hosp_YLD,NA,NA
new data (hospital-based + HUS),non_hosp_YLD_averted,115.4624,107,96,123,80,204,0.0772127173128914,0.07326242737553793,0.06626404196909341,0.08242582984391186,0.05634834552015323,0.12630951602282378,3,2,ZAF,MV,YLD non-hospitalised cases,South Africa,averted burden,non_hosp_YLD,1461,1461
new data (hospital-based + HUS),total_DALY,39018.41,38989,38053.75,39943.25,36408,41756.149999999994,NA,NA,NA,NA,NA,NA,3,2,ZAF,MV,total DALY,South Africa,burden,total_DALY,NA,NA
new data (hospital-based + HUS),total_DALY_averted,8449.1926,8412.5,7906,8951,7020.9749999999995,10099.299999999996,0.21632776169731882,0.21597360925176468,0.2056220090249423,0.22660121533122346,0.18742981210142434,0.24789768602003542,3,2,ZAF,MV,total DALY,South Africa,averted burden,total_DALY,38950,"38,950"
new data (hospital-based + HUS),total_YLD,2089.1456,2080,2016,2155,1907,2315.0249999999996,NA,NA,NA,NA,NA,NA,3,2,ZAF,MV,total YLD,South Africa,burden,total_YLD,NA,NA
new data (hospital-based + HUS),total_YLD_averted,168.239,162,147,180,124,260,0.08022989371499545,0.07780323481752204,0.07148719828903147,0.0855294249328425,0.06139088729016787,0.1160990930062726,3,2,ZAF,MV,total YLD,South Africa,averted burden,total_YLD,2082,2082
new data (hospital-based + HUS),total_YLL,36929.272,36905.5,35966,37846.5,34340.924999999996,39670.275,NA,NA,NA,NA,NA,NA,3,2,ZAF,MV,total YLL,South Africa,burden,total_YLL,NA,NA
new data (hospital-based + HUS),total_YLL_averted,8280.9518,8246.5,7731.75,8784,6858.975,9934.124999999998,0.22400769168673906,0.22371652482060495,0.21280724103369944,0.2348147662552916,0.193491689981017,0.2571937364331924,3,2,ZAF,MV,total YLL,South Africa,averted burden,total_YLL,36860,"36,860"
new data (hospital-based + HUS),hosp_cases,27396.984,27390,26992,27793,26240.95,28562.05,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,hospitalised cases,Kenya,burden,hosp_cases,NA,NA
new data (hospital-based + HUS),hosp_cases_averted,12409.424,12406,12149,12667.75,11662.825,13162.525,0.453,0.453,0.449,0.457,0.441,0.464,6,2,KEN,mAb,hospitalised cases,Kenya,averted burden,hosp_cases,27390,"27,390"
new data (hospital-based + HUS),hosp_SARI,27396.984,27390,26992,27793,26240.95,28562.05,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,hospitalised SARI,Kenya,burden,hosp_SARI,NA,NA
new data (hospital-based + HUS),non_hosp_cases,2382153.949,2382100.5,2363767.5,2400771.5,2329139.25,2435062.675,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,non-hospitalised cases,Kenya,burden,non_hosp_cases,NA,NA
new data (hospital-based + HUS),non_hosp_cases_averted,286040.722,285898.5,282148.75,289949.25,274953.9,297624.675,0.12,0.12,0.119,0.121,0.116,0.124,6,2,KEN,mAb,non-hospitalised cases,Kenya,averted burden,non_hosp_cases,2382000,"2,382,000"
new data (hospital-based + HUS),non_hosp_SARI,84529.444,84531.5,83299.5,85745.5,81073.85,88079.125,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,non-hospitalised SARI,Kenya,burden,non_hosp_SARI,NA,NA
new data (hospital-based + HUS),rsv_deaths,2065.949,2061,1993,2136,1867,2276,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,deaths,Kenya,burden,rsv_deaths,NA,NA
new data (hospital-based + HUS),rsv_deaths_averted,852.058,850,812,890,743,971.175,0.412,0.412,0.404,0.421,0.388,0.438,6,2,KEN,mAb,deaths,Kenya,averted burden,rsv_deaths,2062,2062
new data (hospital-based + HUS),hosp_cases,27396.984,27390,26992,27793,26240.95,28562.05,NA,NA,NA,NA,NA,NA,3,2,KEN,MV,hospitalised cases,Kenya,burden,hosp_cases,NA,NA
new data (hospital-based + HUS),hosp_cases_averted,4182.277,4180,4058,4307,3831,4546.05,0.153,0.153,0.149,0.156,0.144,0.162,3,2,KEN,MV,hospitalised cases,Kenya,averted burden,hosp_cases,27400,"27,400"
new data (hospital-based + HUS),hosp_SARI,27396.984,27390,26992,27793,26240.95,28562.05,NA,NA,NA,NA,NA,NA,3,2,KEN,MV,hospitalised SARI,Kenya,burden,hosp_SARI,NA,NA
new data (hospital-based + HUS),non_hosp_cases,2382153.949,2382100.5,2363767.5,2400771.5,2329139.25,2435062.675,NA,NA,NA,NA,NA,NA,3,2,KEN,MV,non-hospitalised cases,Kenya,burden,non_hosp_cases,NA,NA
new data (hospital-based + HUS),non_hosp_cases_averted,50446.578,50417,49541.75,51358,47877.975,53072.075,0.021,0.021,0.021,0.022,0.02,0.022,3,2,KEN,MV,non-hospitalised cases,Kenya,averted burden,non_hosp_cases,2382000,"2,382,000"
new data (hospital-based + HUS),non_hosp_SARI,84529.444,84531.5,83299.5,85745.5,81073.85,88079.125,NA,NA,NA,NA,NA,NA,3,2,KEN,MV,non-hospitalised SARI,Kenya,burden,non_hosp_SARI,NA,NA
new data (hospital-based + HUS),rsv_deaths,2065.949,2061,1993,2136,1867,2276,NA,NA,NA,NA,NA,NA,3,2,KEN,MV,deaths,Kenya,burden,rsv_deaths,NA,NA
new data (hospital-based + HUS),rsv_deaths_averted,221.119,220,201,239,169,284.025,0.107,0.107,0.098,0.115,0.084,0.132,3,2,KEN,MV,deaths,Kenya,averted burden,rsv_deaths,2064,2064
new data (hospital-based + HUS),hosp_cases,41622.959,41605.5,40667.5,42567,38936.8,44420.025,NA,NA,NA,NA,NA,NA,6,2,ZAF,mAb,hospitalised cases,South Africa,burden,hosp_cases,NA,NA
new data (hospital-based + HUS),hosp_cases_averted,22968.778,22951,22294.5,23646.75,21088.825,24943.35,0.552,0.552,0.545,0.558,0.533,0.571,6,2,ZAF,mAb,hospitalised cases,South Africa,averted burden,hosp_cases,41610,"41,610"
new data (hospital-based + HUS),hosp_SARI,41622.959,41605.5,40667.5,42567,38936.8,44420.025,NA,NA,NA,NA,NA,NA,6,2,ZAF,mAb,hospitalised SARI,South Africa,burden,hosp_SARI,NA,NA
new data (hospital-based + HUS),non_hosp_cases,965010.435,960805,934042.5,990775.5,883869.025,1072203.9,NA,NA,NA,NA,NA,NA,6,2,ZAF,mAb,non-hospitalised cases,South Africa,burden,non_hosp_cases,NA,NA
new data (hospital-based + HUS),non_hosp_cases_averted,179962.925,172616.5,159928,190280.75,141145.5,266859.4,0.186,0.18,0.17,0.195,0.154,0.253,6,2,ZAF,mAb,non-hospitalised cases,South Africa,averted burden,non_hosp_cases,956900,",956,900"
new data (hospital-based + HUS),non_hosp_SARI,49438.74,49347.5,47719,51096.5,44673.95,54671.125,NA,NA,NA,NA,NA,NA,6,2,ZAF,mAb,non-hospitalised SARI,South Africa,burden,non_hosp_SARI,NA,NA
new data (hospital-based + HUS),rsv_deaths,589.006,589,574,604,548,633,NA,NA,NA,NA,NA,NA,6,2,ZAF,mAb,deaths,South Africa,burden,rsv_deaths,NA,NA
new data (hospital-based + HUS),rsv_deaths_averted,358.794,358,347,370,328,392,0.609,0.609,0.603,0.615,0.591,0.627,6,2,ZAF,mAb,deaths,South Africa,averted burden,rsv_deaths,588,588
new data (hospital-based + HUS),hosp_cases,41622.959,41605.5,40667.5,42567,38936.8,44420.025,NA,NA,NA,NA,NA,NA,3,2,ZAF,MV,hospitalised cases,South Africa,burden,hosp_cases,NA,NA
new data (hospital-based + HUS),hosp_cases_averted,8156.209,8135,7770,8527,7104,9330.05,0.196,0.196,0.189,0.202,0.177,0.216,3,2,ZAF,MV,hospitalised cases,South Africa,averted burden,hosp_cases,41570,"41,570"
new data (hospital-based + HUS),hosp_SARI,41622.959,41605.5,40667.5,42567,38936.8,44420.025,NA,NA,NA,NA,NA,NA,3,2,ZAF,MV,hospitalised SARI,South Africa,burden,hosp_SARI,NA,NA
