source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,price,source_num,country_iso,intervention,country_plot,vec,price_interv,cnt_int
new data (hospital-based + HUS),incremental cost (million US$),2.29,2.29,2.13,2.44,1.82,2.73,6,2,KEN,mAb,Kenya,2293000,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),91.9,91.68,84.19,99.51,70.26,114.26,6,2,KEN,mAb,Kenya,92,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),intervention cost (million US$),7.87,7.87,7.87,7.87,7.87,7.87,6,2,KEN,mAb,Kenya,7865000,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),incremental cost (million US$),20.64,20.65,20.48,20.8,20.17,21.08,20,2,KEN,mAb,Kenya,20650000,20$ (mAb),"KEN
$20
mAb"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),829.67,828.24,790.64,866.86,725.79,943.9,20,2,KEN,mAb,Kenya,828,20$ (mAb),"KEN
$20
mAb"
new data (hospital-based + HUS),intervention cost (million US$),26.22,26.22,26.22,26.22,26.22,26.22,20,2,KEN,mAb,Kenya,26220000,20$ (mAb),"KEN
$20
mAb"
new data (hospital-based + HUS),incremental cost (million US$),73.07,73.08,72.92,73.23,72.61,73.51,60,2,KEN,mAb,Kenya,73080000,60$ (mAb),"KEN
$60
mAb"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),2937.58,2932.27,2801.01,3066.29,NA,NA,60,2,KEN,mAb,Kenya,2932,60$ (mAb),"KEN
$60
mAb"
new data (hospital-based + HUS),intervention cost (million US$),78.65,78.65,78.65,78.65,78.65,78.65,60,2,KEN,mAb,Kenya,78650000,60$ (mAb),"KEN
$60
mAb"
new data (hospital-based + HUS),incremental cost (million US$),2.32,2.32,2.26,2.38,2.14,2.5,3,2,KEN,MV,Kenya,2323000,3$ (MV),"KEN
$3
MV"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),364.02,360.49,328.71,395.9,275.86,472.28,3,2,KEN,MV,Kenya,360,3$ (MV),"KEN
$3
MV"
new data (hospital-based + HUS),intervention cost (million US$),4.02,4.02,4.02,4.02,4.02,4.02,3,2,KEN,MV,Kenya,4023000,3$ (MV),"KEN
$3
MV"
new data (hospital-based + HUS),incremental cost (million US$),11.71,11.71,11.65,11.77,11.52,11.88,10,2,KEN,MV,Kenya,11710000,10$ (MV),"KEN
$10
MV"
