source,variable,price,source_num,country_iso,intervention,country_plot,vec,price_interv,orig_burden_round,money_unit,mean,median,CI50_low,CI50_high,CI95_low,CI95_high
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost (million US$),6,0.2,KEN,mAb,Kenya,7230000,6$ (mAb),7.2m,million USD,7.101,7.23,6.905,7.454,5.798,7.686
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY averted (thousand US$),6,0.2,KEN,mAb,Kenya,3081,6$ (mAb),3.1k,USD,3.998,3.081,1.863,5.096,0.7,12.495
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY disc averted (thousand US$),6,0.2,KEN,mAb,Kenya,1347,6$ (mAb),1.3k,USD,1.742,1.347,0.82,2.221,0.318,5.403
projection ([Li 2020] from [Shi 2017] meta-analysis),total medical cost averted (million US$),6,0.2,KEN,mAb,Kenya,635500,6$ (mAb),0.6m,million USD,0.765,0.635,0.411,0.96,0.179,2.067
new data (hospital-based + HUS),incremental cost (million US$),6,2,KEN,mAb,Kenya,3900000,6$ (mAb),3.9m,million USD,3.9,3.9,3.727,4.078,3.38,4.392
new data (hospital-based + HUS),total DALY averted (thousand US$),6,2,KEN,mAb,Kenya,36170,6$ (mAb),36.2k,USD,36.266,36.17,33.274,39.016,28.455,44.747
new data (hospital-based + HUS),total DALY disc averted (thousand US$),6,2,KEN,mAb,Kenya,15760,6$ (mAb),15.8k,USD,15.814,15.764,14.53,17.009,12.434,19.471
new data (hospital-based + HUS),total medical cost averted (million US$),6,2,KEN,mAb,Kenya,3965000,6$ (mAb),4m,million USD,3.965,3.965,3.787,4.138,3.473,4.485
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost (million US$),20,0.2,KEN,mAb,Kenya,25580000,20$ (mAb),25.6m,million USD,25.453,25.582,25.258,25.806,24.15,26.038
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY averted (thousand US$),20,0.2,KEN,mAb,Kenya,3081,20$ (mAb),3.1k,USD,3.998,3.081,1.863,5.096,0.7,12.495
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY disc averted (thousand US$),20,0.2,KEN,mAb,Kenya,1347,20$ (mAb),1.3k,USD,1.742,1.347,0.82,2.221,0.318,5.403
projection ([Li 2020] from [Shi 2017] meta-analysis),total medical cost averted (million US$),20,0.2,KEN,mAb,Kenya,635500,20$ (mAb),0.6m,million USD,0.765,0.635,0.411,0.96,0.179,2.067
new data (hospital-based + HUS),incremental cost (million US$),20,2,KEN,mAb,Kenya,22250000,20$ (mAb),22.3m,million USD,22.253,22.253,22.08,22.431,21.733,22.745
new data (hospital-based + HUS),total DALY averted (thousand US$),20,2,KEN,mAb,Kenya,36170,20$ (mAb),36.2k,USD,36.266,36.17,33.274,39.016,28.455,44.747
new data (hospital-based + HUS),total DALY disc averted (thousand US$),20,2,KEN,mAb,Kenya,15760,20$ (mAb),15.8k,USD,15.814,15.764,14.53,17.009,12.434,19.471
new data (hospital-based + HUS),total medical cost averted (million US$),20,2,KEN,mAb,Kenya,3965000,20$ (mAb),4m,million USD,3.965,3.965,3.787,4.138,3.473,4.485
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost (million US$),60,0.2,KEN,mAb,Kenya,78020000,60$ (mAb),78m,million USD,77.888,78.017,77.692,78.241,76.585,78.473
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY averted (thousand US$),60,0.2,KEN,mAb,Kenya,3081,60$ (mAb),3.1k,USD,3.998,3.081,1.863,5.096,0.7,12.495
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY disc averted (thousand US$),60,0.2,KEN,mAb,Kenya,1347,60$ (mAb),1.3k,USD,1.742,1.347,0.82,2.221,0.318,5.403
projection ([Li 2020] from [Shi 2017] meta-analysis),total medical cost averted (million US$),60,0.2,KEN,mAb,Kenya,635500,60$ (mAb),0.6m,million USD,0.765,0.635,0.411,0.96,0.179,2.067
new data (hospital-based + HUS),incremental cost (million US$),60,2,KEN,mAb,Kenya,74690000,60$ (mAb),74.7m,million USD,74.687,74.687,74.514,74.865,74.167,75.179
new data (hospital-based + HUS),total DALY averted (thousand US$),60,2,KEN,mAb,Kenya,36170,60$ (mAb),36.2k,USD,36.266,36.17,33.274,39.016,28.455,44.747
new data (hospital-based + HUS),total DALY disc averted (thousand US$),60,2,KEN,mAb,Kenya,15760,60$ (mAb),15.8k,USD,15.814,15.764,14.53,17.009,12.434,19.471
new data (hospital-based + HUS),total medical cost averted (million US$),60,2,KEN,mAb,Kenya,3965000,60$ (mAb),4m,million USD,3.965,3.965,3.787,4.138,3.473,4.485
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost (million US$),3,0.2,KEN,MV,Kenya,3859000,3$ (MV),3.9m,million USD,3.817,3.859,3.763,3.921,3.41,3.981
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY averted (thousand US$),3,0.2,KEN,MV,Kenya,921,3$ (MV),0.9k,USD,1.252,0.921,0.536,1.557,0.186,4.256
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY disc averted (thousand US$),3,0.2,KEN,MV,Kenya,403,3$ (MV),0.4k,USD,0.545,0.402,0.236,0.677,0.084,1.844
projection ([Li 2020] from [Shi 2017] meta-analysis),total medical cost averted (million US$),3,0.2,KEN,MV,Kenya,164400,3$ (MV),0.2m,million USD,0.206,0.164,0.103,0.261,0.042,0.613
new data (hospital-based + HUS),incremental cost (million US$),3,2,KEN,MV,Kenya,2776000,3$ (MV),2.8m,million USD,2.772,2.776,2.676,2.875,2.461,3.049
new data (hospital-based + HUS),total DALY averted (thousand US$),3,2,KEN,MV,Kenya,11060,3$ (MV),11.1k,USD,11.229,11.056,8.208,13.961,3.086,20.729
new data (hospital-based + HUS),total DALY disc averted (thousand US$),3,2,KEN,MV,Kenya,4833,3$ (MV),4.8k,USD,4.904,4.833,3.603,6.077,1.389,8.996
new data (hospital-based + HUS),total medical cost averted (million US$),3,2,KEN,MV,Kenya,1247000,3$ (MV),1.2m,million USD,1.252,1.247,1.148,1.347,0.974,1.562
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost (million US$),10,0.2,KEN,MV,Kenya,13250000,10$ (MV),13.2m,million USD,13.205,13.246,13.15,13.308,12.797,13.368
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY averted (thousand US$),10,0.2,KEN,MV,Kenya,921,10$ (MV),0.9k,USD,1.252,0.921,0.536,1.557,0.186,4.256
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY disc averted (thousand US$),10,0.2,KEN,MV,Kenya,403,10$ (MV),0.4k,USD,0.545,0.402,0.236,0.677,0.084,1.844
projection ([Li 2020] from [Shi 2017] meta-analysis),total medical cost averted (million US$),10,0.2,KEN,MV,Kenya,164400,10$ (MV),0.2m,million USD,0.206,0.164,0.103,0.261,0.042,0.613
new data (hospital-based + HUS),incremental cost (million US$),10,2,KEN,MV,Kenya,12160000,10$ (MV),12.2m,million USD,12.159,12.164,12.063,12.262,11.849,12.437
new data (hospital-based + HUS),total DALY averted (thousand US$),10,2,KEN,MV,Kenya,11060,10$ (MV),11.1k,USD,11.229,11.056,8.208,13.961,3.086,20.729
new data (hospital-based + HUS),total DALY disc averted (thousand US$),10,2,KEN,MV,Kenya,4833,10$ (MV),4.8k,USD,4.904,4.833,3.603,6.077,1.389,8.996
new data (hospital-based + HUS),total medical cost averted (million US$),10,2,KEN,MV,Kenya,1247000,10$ (MV),1.2m,million USD,1.252,1.247,1.148,1.347,0.974,1.562
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost (million US$),30,0.2,KEN,MV,Kenya,40070000,30$ (MV),40.1m,million USD,40.026,40.067,39.971,40.129,39.618,40.189
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY averted (thousand US$),30,0.2,KEN,MV,Kenya,921,30$ (MV),0.9k,USD,1.252,0.921,0.536,1.557,0.186,4.256
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY disc averted (thousand US$),30,0.2,KEN,MV,Kenya,403,30$ (MV),0.4k,USD,0.545,0.402,0.236,0.677,0.084,1.844
projection ([Li 2020] from [Shi 2017] meta-analysis),total medical cost averted (million US$),30,0.2,KEN,MV,Kenya,164400,30$ (MV),0.2m,million USD,0.206,0.164,0.103,0.261,0.042,0.613
new data (hospital-based + HUS),incremental cost (million US$),30,2,KEN,MV,Kenya,38980000,30$ (MV),39m,million USD,38.98,38.984,38.884,39.083,38.669,39.258
new data (hospital-based + HUS),total DALY averted (thousand US$),30,2,KEN,MV,Kenya,11060,30$ (MV),11.1k,USD,11.229,11.056,8.208,13.961,3.086,20.729
new data (hospital-based + HUS),total DALY disc averted (thousand US$),30,2,KEN,MV,Kenya,4833,30$ (MV),4.8k,USD,4.904,4.833,3.603,6.077,1.389,8.996
new data (hospital-based + HUS),total medical cost averted (million US$),30,2,KEN,MV,Kenya,1247000,30$ (MV),1.2m,million USD,1.252,1.247,1.148,1.347,0.974,1.562
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost (million US$),6,0.2,ZAF,mAb,South Africa,4121000,6$ (mAb),4.1m,million USD,3.815,4.121,3.168,4.794,0.37,5.627
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY averted (thousand US$),6,0.2,ZAF,mAb,South Africa,2328,6$ (mAb),2.3k,USD,3.021,2.328,1.409,3.851,0.53,9.439
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY disc averted (thousand US$),6,0.2,ZAF,mAb,South Africa,1062,6$ (mAb),1.1k,USD,1.373,1.062,0.647,1.75,0.251,4.259
projection ([Li 2020] from [Shi 2017] meta-analysis),total medical cost averted (million US$),6,0.2,ZAF,mAb,South Africa,2326000,6$ (mAb),2.3m,million USD,2.633,2.326,1.653,3.279,0.82,6.077
new data (hospital-based + HUS),incremental cost (million US$),6,2,ZAF,mAb,South Africa,-10230000,6$ (mAb),-10.2m,million USD,-10.289,-10.23,-11.425,-9.106,-13.766,-7.133
new data (hospital-based + HUS),total DALY averted (thousand US$),6,2,ZAF,mAb,South Africa,18250,6$ (mAb),18.2k,USD,18.229,18.248,17.195,19.281,15.17,21.185
new data (hospital-based + HUS),total DALY disc averted (thousand US$),6,2,ZAF,mAb,South Africa,8409,6$ (mAb),8.4k,USD,8.4,8.409,7.925,8.875,7.002,9.742
new data (hospital-based + HUS),total medical cost averted (million US$),6,2,ZAF,mAb,South Africa,16680000,6$ (mAb),16.7m,million USD,16.736,16.677,15.553,17.872,13.58,20.213
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost (million US$),20,0.2,ZAF,mAb,South Africa,19160000,20$ (mAb),19.2m,million USD,18.858,19.165,18.211,19.838,15.413,20.67
