source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,norm_mean,norm_median,norm_CI50_low,norm_CI50_high,norm_CI95_low,norm_CI95_high,price,source_num,country_iso,intervention,plot_variable,country_plot,burden_interv,vartype,vec,orig_burden_round
new data (hospital-based + HUS),hosp_med_att_YLD,1960,1960,1919,2002,1834,2085,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,YLD medically attended cases,Kenya,burden,hosp_med_att_YLD,NA,NA
new data (hospital-based + HUS),hosp_med_att_YLD_averted,182,181,169,194,148,219,0.093,0.093,0.087,0.099,0.076,0.11,6,2,KEN,mAb,YLD medically attended cases,Kenya,averted burden,hosp_med_att_YLD,1949,1949
new data (hospital-based + HUS),hosp_YLD,176,175,169,183,158,196,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,YLD hospitalised cases,Kenya,burden,hosp_YLD,NA,NA
new data (hospital-based + HUS),hosp_YLD_averted,58,58,53,63,46,74,0.331,0.331,0.311,0.35,0.274,0.391,6,2,KEN,mAb,YLD hospitalised cases,Kenya,averted burden,hosp_YLD,175,175
new data (hospital-based + HUS),non_hosp_YLD,2502,2501,2449,2550,2353,2656,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,YLD non-hospitalised cases,Kenya,burden,non_hosp_YLD,NA,NA
new data (hospital-based + HUS),non_hosp_YLD_averted,315,314,295,334,262,373,0.126,0.126,0.119,0.133,0.106,0.147,6,2,KEN,mAb,YLD non-hospitalised cases,Kenya,averted burden,non_hosp_YLD,2493,2493
new data (hospital-based + HUS),total_DALY,142659,142473,137765,147536,128989,157185,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,total DALY,Kenya,burden,total_DALY,NA,NA
new data (hospital-based + HUS),total_DALY_averted,36291,36077,33481,38966,28452,44815,0.254,0.254,0.238,0.271,0.207,0.302,6,2,KEN,mAb,total DALY,Kenya,averted burden,total_DALY,142100,",142,100"
new data (hospital-based + HUS),total_YLD,4462,4462,4376,4548,4201,4725,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,total YLD,Kenya,burden,total_YLD,NA,NA
new data (hospital-based + HUS),total_YLD_averted,374,372,350,396,310,443,0.084,0.084,0.079,0.089,0.07,0.098,6,2,KEN,mAb,total YLD,Kenya,averted burden,total_YLD,4452,4452
new data (hospital-based + HUS),total_YLL,138197,137994,133316,143113,124598,152726,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,total YLL,Kenya,burden,total_YLL,NA,NA
new data (hospital-based + HUS),total_YLL_averted,35917,35710,33121,38590,28122,44438,0.26,0.259,0.243,0.276,0.211,0.309,6,2,KEN,mAb,total YLL,Kenya,averted burden,total_YLL,137700,",137,700"
new data (hospital-based + HUS),hosp_med_att_YLD,1960,1960,1919,2002,1834,2085,NA,NA,NA,NA,NA,NA,3,2,KEN,MV,YLD medically attended cases,Kenya,burden,hosp_med_att_YLD,NA,NA
new data (hospital-based + HUS),hosp_med_att_YLD_averted,89,89,79,98,61,115,0.045,0.045,0.041,0.05,0.031,0.059,3,2,KEN,MV,YLD medically attended cases,Kenya,averted burden,hosp_med_att_YLD,1965,1965
new data (hospital-based + HUS),hosp_YLD,176,175,169,183,158,196,NA,NA,NA,NA,NA,NA,3,2,KEN,MV,YLD hospitalised cases,Kenya,burden,hosp_YLD,NA,NA
new data (hospital-based + HUS),hosp_YLD_averted,47,47,41,53,27,65,0.267,0.273,0.238,0.301,0.161,0.347,3,2,KEN,MV,YLD hospitalised cases,Kenya,averted burden,hosp_YLD,172,172
new data (hospital-based + HUS),non_hosp_YLD,2502,2501,2449,2550,2353,2656,NA,NA,NA,NA,NA,NA,3,2,KEN,MV,YLD non-hospitalised cases,Kenya,burden,non_hosp_YLD,NA,NA
new data (hospital-based + HUS),non_hosp_YLD_averted,191,191,171,212,126,251,0.076,0.077,0.068,0.085,0.051,0.099,3,2,KEN,MV,YLD non-hospitalised cases,Kenya,averted burden,non_hosp_YLD,2495,2495
new data (hospital-based + HUS),total_DALY,142659,142473,137765,147536,128989,157185,NA,NA,NA,NA,NA,NA,3,2,KEN,MV,total DALY,Kenya,burden,total_DALY,NA,NA
new data (hospital-based + HUS),total_DALY_averted,30210,31357,26796,34570,15550,40381,0.212,0.222,0.192,0.241,0.11,0.271,3,2,KEN,MV,total DALY,Kenya,averted burden,total_DALY,141300,",141,300"
new data (hospital-based + HUS),total_YLD,4462,4462,4376,4548,4201,4725,NA,NA,NA,NA,NA,NA,3,2,KEN,MV,total YLD,Kenya,burden,total_YLD,NA,NA
new data (hospital-based + HUS),total_YLD_averted,238,239,213,265,155,313,0.053,0.054,0.048,0.059,0.035,0.07,3,2,KEN,MV,total YLD,Kenya,averted burden,total_YLD,4459,4459
new data (hospital-based + HUS),total_YLL,138197,137994,133316,143113,124598,152726,NA,NA,NA,NA,NA,NA,3,2,KEN,MV,total YLL,Kenya,burden,total_YLL,NA,NA
new data (hospital-based + HUS),total_YLL_averted,29973,31122,26552,34327,15320,40128,0.217,0.227,0.196,0.247,0.112,0.278,3,2,KEN,MV,total YLL,Kenya,averted burden,total_YLL,136800,",136,800"
new data (hospital-based + HUS),hosp_med_att_YLD,601,599,580,618,548,666,NA,NA,NA,NA,NA,NA,6,2,ZAF,mAb,YLD medically attended cases,South Africa,burden,hosp_med_att_YLD,NA,NA
new data (hospital-based + HUS),hosp_med_att_YLD_averted,158,156,145,168,125,197,0.262,0.261,0.246,0.277,0.219,0.308,6,2,ZAF,mAb,YLD medically attended cases,South Africa,averted burden,hosp_med_att_YLD,597,597
