source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,norm_mean,norm_median,norm_CI50_low,norm_CI50_high,norm_CI95_low,norm_CI95_high,price,source_num,country_iso,intervention,plot_variable,country_plot,burden_interv,vartype,vec,orig_burden_round
new data (hospital-based + HUS),hosp_med_att_YLD,1974.036,1971,1926,2016,1848,2130.0249999999996,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,YLD medically attended cases,Kenya,burden,hosp_med_att_YLD,NA,NA
new data (hospital-based + HUS),hosp_med_att_YLD_averted,311.2398,310,298,323,278,352,0.15761754742868514,0.15733467159244618,0.15301806305458307,0.16168824795308614,0.1458858851051475,0.17145597492479175,6,2,KEN,mAb,YLD medically attended cases,Kenya,averted burden,hosp_med_att_YLD,1970,1970
new data (hospital-based + HUS),hosp_YLD,177.1418,177,170,184,158,197,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,YLD hospitalised cases,Kenya,burden,hosp_YLD,NA,NA
new data (hospital-based + HUS),hosp_YLD_averted,61.7514,62,58,66,51,73,0.3480305816186948,0.3485714285714286,0.3389830508474576,0.35795454545454547,0.31875,0.37433155080213903,6,2,KEN,mAb,YLD hospitalised cases,Kenya,averted burden,hosp_YLD,178,178
new data (hospital-based + HUS),non_hosp_YLD,2519.6562,2517,2466,2569,2366,2693,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,YLD non-hospitalised cases,Kenya,burden,non_hosp_YLD,NA,NA
new data (hospital-based + HUS),non_hosp_YLD_averted,464.6972,463.5,447,482,417,518,0.18437943040687477,0.18403119128763054,0.1794666093602793,0.18900926953318886,0.17145113713717205,0.1981908862988515,6,2,KEN,mAb,YLD non-hospitalised cases,Kenya,averted burden,non_hosp_YLD,2519,2519
new data (hospital-based + HUS),total_DALY,142801.7156,142478,137929.25,147455.25,129524.52500000001,156952.075,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,total DALY,Kenya,burden,total_DALY,NA,NA
new data (hospital-based + HUS),total_DALY_averted,43415.3122,43291.5,41320.75,45412.5,37787.700000000004,49740.125,0.303831706600842,0.30381896946303566,0.2965234346520472,0.3111027204031437,0.2831831615354761,0.3254591659479314,6,2,KEN,mAb,total DALY,Kenya,averted burden,total_DALY,142500,",142,500"
new data (hospital-based + HUS),total_YLD,4493.6904,4489,4398,4580.25,4234.975,4813,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,total YLD,Kenya,burden,total_YLD,NA,NA
new data (hospital-based + HUS),total_YLD_averted,526.4564,525,506,546,473,585.0249999999996,0.11714479846189227,0.11694201897309185,0.11364673664993154,0.12062719147228226,0.10780986339193292,0.12693224915439968,6,2,KEN,mAb,total YLD,Kenya,averted burden,total_YLD,4489,4489
new data (hospital-based + HUS),total_YLL,138308.0302,137994,133457.25,142993.25,125019.90000000001,152370.17500000002,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,total YLL,Kenya,burden,total_YLL,NA,NA
new data (hospital-based + HUS),total_YLL_averted,42888.8658,42756,40790,44886.5,37263.1,49233.075,0.3099059975514651,0.30992024118880707,0.30246288517701564,0.31729273193496094,0.28870368148930603,0.3319724738600086,6,2,KEN,mAb,total YLL,Kenya,averted burden,total_YLL,138000,",138,000"
