source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,price,source_num,country_iso,intervention,country_plot,vec,price_interv,cnt_int
new data (hospital-based + HUS),incremental cost (million US$),2.2,2.21,2.07,2.33,1.81,2.56,6,2,KEN,mAb,Kenya,2206000,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),116.71,116.45,107.78,125.3,92.37,143.18,6,2,KEN,mAb,Kenya,116,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),intervention cost (million US$),7.87,7.87,7.87,7.87,7.87,7.87,6,2,KEN,mAb,Kenya,7865000,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),incremental cost (million US$),20.55,20.56,20.42,20.68,20.16,20.91,20,2,KEN,mAb,Kenya,20560000,20$ (mAb),"KEN
$20
mAb"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),1090.8,1088.26,1038.56,1140.34,947.66,1244.21,20,2,KEN,mAb,Kenya,1088,20$ (mAb),"KEN
$20
mAb"
new data (hospital-based + HUS),intervention cost (million US$),26.22,26.22,26.22,26.22,26.22,26.22,20,2,KEN,mAb,Kenya,26220000,20$ (mAb),"KEN
$20
mAb"
new data (hospital-based + HUS),incremental cost (million US$),72.99,72.99,72.86,73.12,72.6,73.34,60,2,KEN,mAb,Kenya,72990000,60$ (mAb),"KEN
$60
mAb"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),3873.93,3865.26,3688.79,4048.97,NA,NA,60,2,KEN,mAb,Kenya,3865,60$ (mAb),"KEN
$60
mAb"
new data (hospital-based + HUS),intervention cost (million US$),78.65,78.65,78.65,78.65,78.65,78.65,60,2,KEN,mAb,Kenya,78650000,60$ (mAb),"KEN
$60
mAb"
new data (hospital-based + HUS),incremental cost (million US$),-1.68,-1.67,-1.82,-1.54,-2.11,-1.29,3,2,KEN,MV,Kenya,1671000,3$ (MV),"KEN
$3
MV"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),-57.53,-57.16,-62.61,-51.97,-74.63,-42.76,3,2,KEN,MV,Kenya,57,3$ (MV),"KEN
$3
MV"
new data (hospital-based + HUS),intervention cost (million US$),4.02,4.02,4.02,4.02,4.02,4.02,3,2,KEN,MV,Kenya,4023000,3$ (MV),"KEN
$3
MV"
new data (hospital-based + HUS),incremental cost (million US$),7.71,7.72,7.57,7.85,7.28,8.1,10,2,KEN,MV,Kenya,7717000,10$ (MV),"KEN
$10
MV"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),264.13,263.51,251.49,276.25,230.19,300.82,10,2,KEN,MV,Kenya,264,10$ (MV),"KEN
$10
MV"
new data (hospital-based + HUS),intervention cost (million US$),13.41,13.41,13.41,13.41,13.41,13.41,10,2,KEN,MV,Kenya,13410000,10$ (MV),"KEN
$10
MV"
new data (hospital-based + HUS),incremental cost (million US$),34.53,34.54,34.39,34.67,34.1,34.92,30,2,KEN,MV,Kenya,34540000,30$ (MV),"KEN
$30
MV"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),1183.14,1180.55,1130.87,1232.53,1044.46,1333.6,30,2,KEN,MV,Kenya,1181,30$ (MV),"KEN
$30
MV"
new data (hospital-based + HUS),intervention cost (million US$),40.23,40.23,40.23,40.23,40.23,40.23,30,2,KEN,MV,Kenya,40230000,30$ (MV),"KEN
$30
MV"
new data (hospital-based + HUS),incremental cost (million US$),-10.85,-10.77,-11.67,-9.97,-13.47,-8.53,6,2,ZAF,mAb,South Africa,10770000,6$ (mAb),"ZAF
$6
mAb"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),-1303.65,-1294.17,-1409.39,-1192.93,-1643.19,-1007.46,6,2,ZAF,mAb,South Africa,1294,6$ (mAb),"ZAF
$6
mAb"
new data (hospital-based + HUS),intervention cost (million US$),6.45,6.45,6.45,6.45,6.45,6.45,6,2,ZAF,mAb,South Africa,6447000,6$ (mAb),"ZAF
$6
mAb"
new data (hospital-based + HUS),incremental cost (million US$),4.2,4.27,3.37,5.07,1.58,6.52,20,2,ZAF,mAb,South Africa,4269000,20$ (mAb),"ZAF
$20
mAb"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),504.47,512.94,402.69,611.36,181.13,787.13,20,2,ZAF,mAb,South Africa,513,20$ (mAb),"ZAF
$20
mAb"
new data (hospital-based + HUS),intervention cost (million US$),21.49,21.49,21.49,21.49,21.49,21.49,20,2,ZAF,mAb,South Africa,21490000,20$ (mAb),"ZAF
$20
mAb"
new data (hospital-based + HUS),incremental cost (million US$),47.18,47.25,46.35,48.06,44.56,49.5,60,2,ZAF,mAb,South Africa,47250000,60$ (mAb),"ZAF
$60
mAb"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),5670.5,5668.01,5461.91,5871.91,NA,NA,60,2,ZAF,mAb,South Africa,5668,60$ (mAb),"ZAF
$60
mAb"
new data (hospital-based + HUS),intervention cost (million US$),64.47,64.47,64.47,64.47,64.47,64.47,60,2,ZAF,mAb,South Africa,64470000,60$ (mAb),"ZAF
$60
mAb"
new data (hospital-based + HUS),incremental cost (million US$),-16.36,-16.26,-17.33,-15.32,-19.44,-13.62,3,2,ZAF,MV,South Africa,16260000,3$ (MV),"ZAF
$3
MV"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),-1399.08,-1391.64,-1489.77,-1303.09,-1689.65,-1144.55,3,2,ZAF,MV,South Africa,1392,3$ (MV),"ZAF
$3
MV"
new data (hospital-based + HUS),intervention cost (million US$),3.28,3.28,3.28,3.28,3.28,3.28,3,2,ZAF,MV,South Africa,3281000,3$ (MV),"ZAF
$3
MV"
new data (hospital-based + HUS),incremental cost (million US$),-8.7,-8.61,-9.67,-7.66,-11.79,-5.96,10,2,ZAF,MV,South Africa,8610000,10$ (MV),"ZAF
$10
MV"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),-744.22,-736.89,-830.54,-654.41,-1013.79,-505.36,10,2,ZAF,MV,South Africa,737,10$ (MV),"ZAF
$10
MV"
new data (hospital-based + HUS),intervention cost (million US$),10.94,10.94,10.94,10.94,10.94,10.94,10,2,ZAF,MV,South Africa,10940000,10$ (MV),"ZAF
$10
MV"
new data (hospital-based + HUS),incremental cost (million US$),13.17,13.26,12.2,14.21,10.08,15.91,30,2,ZAF,MV,South Africa,13260000,30$ (MV),"ZAF
$30
MV"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),1126.82,1129.35,1035.52,1221.14,848.94,1382.73,30,2,ZAF,MV,South Africa,1129,30$ (MV),"ZAF
$30
MV"
new data (hospital-based + HUS),intervention cost (million US$),32.81,32.81,32.81,32.81,32.81,32.81,30,2,ZAF,MV,South Africa,32810000,30$ (MV),"ZAF
$30
MV"
new data (hospital-based + HUS),incremental cost (million US$),2.2,2.21,2.07,2.33,1.81,2.56,6,2,KEN,mAb,Kenya,2206000,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),incremental cost/DALY averted (US$),50.9,50.77,47,54.66,40.22,62.6,6,2,KEN,mAb,Kenya,51,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),intervention cost (million US$),7.87,7.87,7.87,7.87,7.87,7.87,6,2,KEN,mAb,Kenya,7865000,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),incremental cost (million US$),20.55,20.56,20.42,20.68,20.16,20.91,20,2,KEN,mAb,Kenya,20560000,20$ (mAb),"KEN
$20
mAb"
new data (hospital-based + HUS),incremental cost/DALY averted (US$),475.73,474.57,452.52,497.65,412.42,543.65,20,2,KEN,mAb,Kenya,475,20$ (mAb),"KEN
$20
mAb"
new data (hospital-based + HUS),intervention cost (million US$),26.22,26.22,26.22,26.22,26.22,26.22,20,2,KEN,mAb,Kenya,26220000,20$ (mAb),"KEN
$20
mAb"
new data (hospital-based + HUS),incremental cost (million US$),72.99,72.99,72.86,73.12,72.6,73.34,60,2,KEN,mAb,Kenya,72990000,60$ (mAb),"KEN
$60
mAb"
new data (hospital-based + HUS),incremental cost/DALY averted (US$),1689.53,1685.72,1607.8,1766.73,1467.98,1930.2,60,2,KEN,mAb,Kenya,1686,60$ (mAb),"KEN
$60
mAb"
new data (hospital-based + HUS),intervention cost (million US$),78.65,78.65,78.65,78.65,78.65,78.65,60,2,KEN,mAb,Kenya,78650000,60$ (mAb),"KEN
$60
mAb"
new data (hospital-based + HUS),incremental cost (million US$),-1.68,-1.67,-1.82,-1.54,-2.11,-1.29,3,2,KEN,MV,Kenya,1671000,3$ (MV),"KEN
$3
MV"
new data (hospital-based + HUS),incremental cost/DALY averted (US$),-24.9,-24.75,-27.1,-22.49,-32.34,-18.5,3,2,KEN,MV,Kenya,25,3$ (MV),"KEN
$3
MV"
new data (hospital-based + HUS),intervention cost (million US$),4.02,4.02,4.02,4.02,4.02,4.02,3,2,KEN,MV,Kenya,4023000,3$ (MV),"KEN
$3
MV"
new data (hospital-based + HUS),incremental cost (million US$),7.71,7.72,7.57,7.85,7.28,8.1,10,2,KEN,MV,Kenya,7717000,10$ (MV),"KEN
$10
MV"
new data (hospital-based + HUS),incremental cost/DALY averted (US$),114.34,114.1,108.84,119.6,99.58,130.33,10,2,KEN,MV,Kenya,114,10$ (MV),"KEN
$10
MV"
new data (hospital-based + HUS),intervention cost (million US$),13.41,13.41,13.41,13.41,13.41,13.41,10,2,KEN,MV,Kenya,13410000,10$ (MV),"KEN
$10
MV"
new data (hospital-based + HUS),incremental cost (million US$),34.53,34.54,34.39,34.67,34.1,34.92,30,2,KEN,MV,Kenya,34540000,30$ (MV),"KEN
$30
MV"
new data (hospital-based + HUS),incremental cost/DALY averted (US$),512.17,511.07,489.45,533.92,451.86,578.19,30,2,KEN,MV,Kenya,511,30$ (MV),"KEN
$30
MV"
new data (hospital-based + HUS),intervention cost (million US$),40.23,40.23,40.23,40.23,40.23,40.23,30,2,KEN,MV,Kenya,40230000,30$ (MV),"KEN
$30
MV"
new data (hospital-based + HUS),incremental cost (million US$),-10.85,-10.77,-11.67,-9.97,-13.47,-8.53,6,2,ZAF,mAb,South Africa,10770000,6$ (mAb),"ZAF
$6
mAb"
new data (hospital-based + HUS),incremental cost/DALY averted (US$),-604.14,-599.99,-653.48,-552.56,-762.73,-466.32,6,2,ZAF,mAb,South Africa,600,6$ (mAb),"ZAF
$6
mAb"
new data (hospital-based + HUS),intervention cost (million US$),6.45,6.45,6.45,6.45,6.45,6.45,6,2,ZAF,mAb,South Africa,6447000,6$ (mAb),"ZAF
$6
mAb"
new data (hospital-based + HUS),incremental cost (million US$),4.2,4.27,3.37,5.07,1.58,6.52,20,2,ZAF,mAb,South Africa,4269000,20$ (mAb),"ZAF
$20
mAb"
new data (hospital-based + HUS),incremental cost/DALY averted (US$),233.77,237.68,186.59,283.09,83.8,365.11,20,2,ZAF,mAb,South Africa,238,20$ (mAb),"ZAF
$20
mAb"
new data (hospital-based + HUS),intervention cost (million US$),21.49,21.49,21.49,21.49,21.49,21.49,20,2,ZAF,mAb,South Africa,21490000,20$ (mAb),"ZAF
$20
mAb"
new data (hospital-based + HUS),incremental cost (million US$),47.18,47.25,46.35,48.06,44.56,49.5,60,2,ZAF,mAb,South Africa,47250000,60$ (mAb),"ZAF
$60
mAb"
new data (hospital-based + HUS),incremental cost/DALY averted (US$),2627.8,2626.85,2530.53,2723.14,NA,NA,60,2,ZAF,mAb,South Africa,2627,60$ (mAb),"ZAF
$60
mAb"
new data (hospital-based + HUS),intervention cost (million US$),64.47,64.47,64.47,64.47,64.47,64.47,60,2,ZAF,mAb,South Africa,64470000,60$ (mAb),"ZAF
$60
mAb"
new data (hospital-based + HUS),incremental cost (million US$),-16.36,-16.26,-17.33,-15.32,-19.44,-13.62,3,2,ZAF,MV,South Africa,16260000,3$ (MV),"ZAF
$3
MV"
new data (hospital-based + HUS),incremental cost/DALY averted (US$),-642.29,-638.78,-683.92,-598.24,-776.13,-525.27,3,2,ZAF,MV,South Africa,639,3$ (MV),"ZAF
$3
MV"
new data (hospital-based + HUS),intervention cost (million US$),3.28,3.28,3.28,3.28,3.28,3.28,3,2,ZAF,MV,South Africa,3281000,3$ (MV),"ZAF
$3
MV"
new data (hospital-based + HUS),incremental cost (million US$),-8.7,-8.61,-9.67,-7.66,-11.79,-5.96,10,2,ZAF,MV,South Africa,8610000,10$ (MV),"ZAF
$10
MV"
new data (hospital-based + HUS),incremental cost/DALY averted (US$),-341.66,-338.42,-380.87,-300.45,-466.01,-231.76,10,2,ZAF,MV,South Africa,338,10$ (MV),"ZAF
$10
MV"
new data (hospital-based + HUS),intervention cost (million US$),10.94,10.94,10.94,10.94,10.94,10.94,10,2,ZAF,MV,South Africa,10940000,10$ (MV),"ZAF
$10
MV"
new data (hospital-based + HUS),incremental cost (million US$),13.17,13.26,12.2,14.21,10.08,15.91,30,2,ZAF,MV,South Africa,13260000,30$ (MV),"ZAF
$30
MV"
new data (hospital-based + HUS),incremental cost/DALY averted (US$),517.29,518.27,475.18,560.65,390.19,634.83,30,2,ZAF,MV,South Africa,518,30$ (MV),"ZAF
$30
MV"
new data (hospital-based + HUS),intervention cost (million US$),32.81,32.81,32.81,32.81,32.81,32.81,30,2,ZAF,MV,South Africa,32810000,30$ (MV),"ZAF
$30
MV"
