source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,norm_mean,norm_median,norm_CI50_low,norm_CI50_high,norm_CI95_low,norm_CI95_high,price,source_num,country_iso,intervention,plot_variable,country_plot
new data (hospital-based + HUS),admin_cost,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),ARI_0to1y_averted,91212.90158031606,90738,81385.5,100463,65392.25,118995.45,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),ARI_0to1y_disc_averted,91212.90158031606,90738,81385.5,100463,65392.25,118995.45,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),ARI_0to1y_YLD_averted,147.5645129025805,147,128,165.5,99,202,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),ARI_0to1y_YLD_disc_averted,147.5645129025805,147,128,165.5,99,202,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),ARI_1to5y_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),ARI_1to5y_disc_averted,91212.90158031606,90738,81385.5,100463,65392.25,118995.45,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),ARI_1to5y_YLD_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),ARI_1to5y_YLD_disc_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),ARI_averted,91212.90158031606,90738,81385.5,100463,65392.25,118995.45,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),ARI_disc_averted,91212.90158031606,90738,81385.5,100463,65392.25,118995.45,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),ARI_YLD_averted,147.5645129025805,147,128,165.5,99,202,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),ARI_YLD_disc_averted,147.5645129025805,147,128,165.5,99,202,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),comm_CFR_adj,2.10117144,2.0972,1.77915,2.43705,1.449,2.764929999999998,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),cost_rsv_hosp,7137431.5682,7129672,6835107.5,7420215.25,6315871.85,8004274.624999999,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),cost_rsv_hosp_0to1y,5359581.8772,5351502.5,5123261.75,5579866.25,4735008.925,6037549.249999999,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_averted,1212786.3204640928,1208988,1093827.5,1323611,889546.8500000001,1561183.2500000002,0.2262713070517719,0.2260512431439571,0.2063175168434499,0.24599085461244397,0.17097442445788533,0.2826974265749354,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_disc,5359581.8772,5351502.5,5123261.75,5579866.25,4735008.925,6037549.249999999,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_disc_averted,1212786.3204640928,1208988,1093827.5,1323611,889546.8500000001,1561183.2500000002,0.2262713070517719,0.2260512431439571,0.2063175168434499,0.24599085461244397,0.17097442445788533,0.2826974265749354,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),cost_rsv_hosp_1to5y,1777849.6864,1775632,1701054.75,1851035,1571872.525,2000215.3,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),cost_rsv_hosp_1to5y_averted,0,0,0,0,0,0,0,0,0,0,0,0,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),cost_rsv_hosp_1to5y_disc,1697795.735,1695603.5,1624397,1767723.25,1501522.95,1910893.1,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),cost_rsv_hosp_1to5y_disc_averted,0,0,0,0,0,0,0,0,0,0,0,0,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),cost_rsv_hosp_averted,1212786.3204640928,1208988,1093827.5,1323611,889546.8500000001,1561183.2500000002,0.1698965715822864,0.16970279570240493,0.15501692677601514,0.18477755002760457,0.12837721694919316,0.21292198004921176,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),cost_rsv_hosp_disc,7057377.618,7049275,6759429,7337352.5,6245526.925,7914730.7,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
