source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,norm_mean,norm_median,norm_CI50_low,norm_CI50_high,norm_CI95_low,norm_CI95_high,price,source_num,country_iso,intervention,plot_variable,country_plot,burden_interv,vartype,vec,orig_burden_round
new data (hospital-based + HUS),hosp_med_att_YLD,1949,1947,1910,1987,1833,2069,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,YLD medically attended cases,Kenya,burden,hosp_med_att_YLD,NA,NA
new data (hospital-based + HUS),hosp_med_att_YLD_averted,100,100,91,110,74,129,0.052,0.051,0.047,0.056,0.039,0.066,5,NA,KEN,mAb,YLD medically attended cases,Kenya,averted burden,hosp_med_att_YLD,1945,1945
new data (hospital-based + HUS),hosp_YLD,177,176,170,182,158,198,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,YLD hospitalised cases,Kenya,burden,hosp_YLD,NA,NA
new data (hospital-based + HUS),hosp_YLD_averted,30,30,27,33,22,41,0.17,0.17,0.154,0.186,0.126,0.22,5,NA,KEN,mAb,YLD hospitalised cases,Kenya,averted burden,hosp_YLD,176,176
new data (hospital-based + HUS),non_hosp_YLD,2490,2489,2441,2537,2349,2632,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,YLD non-hospitalised cases,Kenya,burden,non_hosp_YLD,NA,NA
new data (hospital-based + HUS),non_hosp_YLD_averted,170,170,156,184,129,214,0.068,0.068,0.063,0.074,0.053,0.084,5,NA,KEN,mAb,YLD non-hospitalised cases,Kenya,averted burden,non_hosp_YLD,2492,2492
new data (hospital-based + HUS),total_DALY,100293,100240,97189,103187,91805,109225,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,total DALY,Kenya,burden,total_DALY,NA,NA
new data (hospital-based + HUS),total_DALY_averted,13908,13821,12468,15270,10079,18158,0.139,0.138,0.125,0.151,0.103,0.177,5,NA,KEN,mAb,total DALY,Kenya,averted burden,total_DALY,100100,",100,100"
new data (hospital-based + HUS),total_YLD,4439,4435,4358,4519,4202,4677,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,total YLD,Kenya,burden,total_YLD,NA,NA
new data (hospital-based + HUS),total_YLD_averted,200,200,184,216,152,252,0.045,0.045,0.041,0.049,0.035,0.056,5,NA,KEN,mAb,total YLD,Kenya,averted burden,total_YLD,4445,4445
new data (hospital-based + HUS),total_YLL,95855,95796,92747,98730,87408,104795,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,total YLL,Kenya,burden,total_YLL,NA,NA
new data (hospital-based + HUS),total_YLL_averted,13708,13623,12274,15059,9904,17946,0.143,0.142,0.129,0.156,0.106,0.183,5,NA,KEN,mAb,total YLL,Kenya,averted burden,total_YLL,95710,"95,710"
new data (hospital-based + HUS),hosp_med_att_YLD,1949,1947,1910,1987,1833,2069,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,MV,YLD medically attended cases,Kenya,burden,hosp_med_att_YLD,NA,NA
new data (hospital-based + HUS),hosp_med_att_YLD_averted,42,42,38,46,31,56,0.022,0.022,0.019,0.024,0.016,0.029,2.5,NA,KEN,MV,YLD medically attended cases,Kenya,averted burden,hosp_med_att_YLD,1947,1947
new data (hospital-based + HUS),hosp_YLD,177,176,170,182,158,198,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,MV,YLD hospitalised cases,Kenya,burden,hosp_YLD,NA,NA
new data (hospital-based + HUS),hosp_YLD_averted,23,22,19,25,14,33,0.127,0.126,0.111,0.142,0.085,0.178,2.5,NA,KEN,MV,YLD hospitalised cases,Kenya,averted burden,hosp_YLD,175,175
new data (hospital-based + HUS),non_hosp_YLD,2490,2489,2441,2537,2349,2632,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,MV,YLD non-hospitalised cases,Kenya,burden,non_hosp_YLD,NA,NA
new data (hospital-based + HUS),non_hosp_YLD_averted,91,90,80,101,65,125,0.037,0.036,0.032,0.04,0.026,0.05,2.5,NA,KEN,MV,YLD non-hospitalised cases,Kenya,averted burden,non_hosp_YLD,2482,2482
new data (hospital-based + HUS),total_DALY,100293,100240,97189,103187,91805,109225,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,MV,total DALY,Kenya,burden,total_DALY,NA,NA
new data (hospital-based + HUS),total_DALY_averted,10287,10170,8981,11487,6933,14258,0.102,0.102,0.09,0.114,0.071,0.139,2.5,NA,KEN,MV,total DALY,Kenya,averted burden,total_DALY,100100,",100,100"
new data (hospital-based + HUS),total_YLD,4439,4435,4358,4519,4202,4677,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,MV,total YLD,Kenya,burden,total_YLD,NA,NA
new data (hospital-based + HUS),total_YLD_averted,114,112,100,126,80,156,0.026,0.025,0.023,0.028,0.018,0.035,2.5,NA,KEN,MV,total YLD,Kenya,averted burden,total_YLD,4413,4413
new data (hospital-based + HUS),total_YLL,95855,95796,92747,98730,87408,104795,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,MV,total YLL,Kenya,burden,total_YLL,NA,NA
new data (hospital-based + HUS),total_YLL_averted,10173,10054,8870,11375,6824,14154,0.106,0.105,0.093,0.118,0.073,0.144,2.5,NA,KEN,MV,total YLL,Kenya,averted burden,total_YLL,95630,"95,630"
new data (hospital-based + HUS),hosp_med_att_YLD,660,658,638,680,601,734,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb,YLD medically attended cases,South Africa,burden,hosp_med_att_YLD,NA,NA
new data (hospital-based + HUS),hosp_med_att_YLD_averted,92,91,83,99,69,120,0.139,0.138,0.128,0.149,0.108,0.172,5,NA,ZAF,mAb,YLD medically attended cases,South Africa,averted burden,hosp_med_att_YLD,659,659
new data (hospital-based + HUS),hosp_YLD,269,267,257,280,237,306,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb,YLD hospitalised cases,South Africa,burden,hosp_YLD,NA,NA
new data (hospital-based + HUS),hosp_YLD_averted,59,58,52,64,42,79,0.218,0.218,0.198,0.237,0.163,0.277,5,NA,ZAF,mAb,YLD hospitalised cases,South Africa,averted burden,hosp_YLD,266,266
new data (hospital-based + HUS),non_hosp_YLD,1669,1660,1600,1729,1498,1885,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb,YLD non-hospitalised cases,South Africa,burden,non_hosp_YLD,NA,NA
new data (hospital-based + HUS),non_hosp_YLD_averted,173,169,150,191,121,251,0.103,0.102,0.092,0.113,0.076,0.139,5,NA,ZAF,mAb,YLD non-hospitalised cases,South Africa,averted burden,non_hosp_YLD,1660,1660
new data (hospital-based + HUS),total_DALY,39328,39276,38406,40256,36697,42143,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb,total DALY,South Africa,burden,total_DALY,NA,NA
new data (hospital-based + HUS),total_DALY_averted,9354,9326,8509,10161,7047,11854,0.238,0.237,0.218,0.257,0.183,0.294,5,NA,ZAF,mAb,total DALY,South Africa,averted burden,total_DALY,39280,"39,280"
new data (hospital-based + HUS),total_YLD,2329,2321,2252,2398,2126,2574,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb,total YLD,South Africa,burden,total_YLD,NA,NA
new data (hospital-based + HUS),total_YLD_averted,232,228,206,253,170,315,0.099,0.098,0.09,0.108,0.076,0.128,5,NA,ZAF,mAb,total YLD,South Africa,averted burden,total_YLD,2320,2320
new data (hospital-based + HUS),total_YLL,36999,36952,36072,37932,34354,39805,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb,total YLL,South Africa,burden,total_YLL,NA,NA
new data (hospital-based + HUS),total_YLL_averted,9122,9097,8291,9920,6849,11585,0.246,0.246,0.225,0.267,0.188,0.306,5,NA,ZAF,mAb,total YLL,South Africa,averted burden,total_YLL,36960,"36,960"
new data (hospital-based + HUS),hosp_med_att_YLD,660,658,638,680,601,734,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,MV,YLD medically attended cases,South Africa,burden,hosp_med_att_YLD,NA,NA
new data (hospital-based + HUS),hosp_med_att_YLD_averted,60,59,52,66,41,87,0.091,0.089,0.08,0.1,0.063,0.124,2.5,NA,ZAF,MV,YLD medically attended cases,South Africa,averted burden,hosp_med_att_YLD,662,662
new data (hospital-based + HUS),hosp_YLD,269,267,257,280,237,306,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,MV,YLD hospitalised cases,South Africa,burden,hosp_YLD,NA,NA
new data (hospital-based + HUS),hosp_YLD_averted,41,40,35,46,26,59,0.151,0.15,0.132,0.169,0.101,0.21,2.5,NA,ZAF,MV,YLD hospitalised cases,South Africa,averted burden,hosp_YLD,267,267
new data (hospital-based + HUS),non_hosp_YLD,1669,1660,1600,1729,1498,1885,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,MV,YLD non-hospitalised cases,South Africa,burden,non_hosp_YLD,NA,NA
new data (hospital-based + HUS),non_hosp_YLD_averted,114,108,93,128,70,189,0.068,0.065,0.057,0.076,0.044,0.105,2.5,NA,ZAF,MV,YLD non-hospitalised cases,South Africa,averted burden,non_hosp_YLD,1655,1655
new data (hospital-based + HUS),total_DALY,39328,39276,38406,40256,36697,42143,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,MV,total DALY,South Africa,burden,total_DALY,NA,NA
new data (hospital-based + HUS),total_DALY_averted,6410,6365,5693,7074,4532,8519,0.163,0.162,0.145,0.179,0.116,0.214,2.5,NA,ZAF,MV,total DALY,South Africa,averted burden,total_DALY,39280,"39,280"
new data (hospital-based + HUS),total_YLD,2329,2321,2252,2398,2126,2574,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,MV,total YLD,South Africa,burden,total_YLD,NA,NA
new data (hospital-based + HUS),total_YLD_averted,154,149,131,171,101,237,0.066,0.065,0.057,0.073,0.045,0.096,2.5,NA,ZAF,MV,total YLD,South Africa,averted burden,total_YLD,2309,2309
new data (hospital-based + HUS),total_YLL,36999,36952,36072,37932,34354,39805,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,MV,total YLL,South Africa,burden,total_YLL,NA,NA
new data (hospital-based + HUS),total_YLL_averted,6255,6207,5540,6927,4379,8365,0.169,0.168,0.151,0.186,0.12,0.223,2.5,NA,ZAF,MV,total YLL,South Africa,averted burden,total_YLL,36950,"36,950"
new data (hospital-based + HUS),hosp_cases,27393,27387,26991,27791,26232,28562,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,hospitalised cases,Kenya,burden,hosp_cases,NA,NA
new data (hospital-based + HUS),hosp_cases_averted,4655,4645,4234,5063,3494,5871,0.17,0.17,0.155,0.185,0.128,0.213,5,NA,KEN,mAb,hospitalised cases,Kenya,averted burden,hosp_cases,27370,"27,370"
new data (hospital-based + HUS),hosp_SARI,27393,27387,26991,27791,26232,28562,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,hospitalised SARI,Kenya,burden,hosp_SARI,NA,NA
new data (hospital-based + HUS),non_hosp_cases,2382477,2382455,2363969,2400481,2328704,2437856,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,non-hospitalised cases,Kenya,burden,non_hosp_cases,NA,NA
new data (hospital-based + HUS),non_hosp_cases_averted,105569,105097,94820,116077,76643,136357,0.044,0.044,0.04,0.049,0.032,0.057,5,NA,KEN,mAb,non-hospitalised cases,Kenya,averted burden,non_hosp_cases,2384000,"2,384,000"
new data (hospital-based + HUS),non_hosp_SARI,84571,84504,83377,85822,80944,88267,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,non-hospitalised SARI,Kenya,burden,non_hosp_SARI,NA,NA
new data (hospital-based + HUS),rsv_deaths,1432,1431,1386,1475,1306,1566,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,deaths,Kenya,burden,rsv_deaths,NA,NA
new data (hospital-based + HUS),rsv_deaths_averted,206,204,184,226,148,269,0.143,0.143,0.13,0.157,0.107,0.183,5,NA,KEN,mAb,deaths,Kenya,averted burden,rsv_deaths,1428,1428
new data (hospital-based + HUS),hosp_cases,27393,27387,26991,27791,26232,28562,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,MV,hospitalised cases,Kenya,burden,hosp_cases,NA,NA
new data (hospital-based + HUS),hosp_cases_averted,3467,3458,3065,3842,2399,4617,0.127,0.126,0.112,0.14,0.088,0.168,2.5,NA,KEN,MV,hospitalised cases,Kenya,averted burden,hosp_cases,27390,"27,390"
new data (hospital-based + HUS),hosp_SARI,27393,27387,26991,27791,26232,28562,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,MV,hospitalised SARI,Kenya,burden,hosp_SARI,NA,NA
new data (hospital-based + HUS),non_hosp_cases,2382477,2382455,2363969,2400481,2328704,2437856,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,MV,non-hospitalised cases,Kenya,burden,non_hosp_cases,NA,NA
new data (hospital-based + HUS),non_hosp_cases_averted,36252,36061,31834,40525,24345,49449,0.015,0.015,0.013,0.017,0.01,0.021,2.5,NA,KEN,MV,non-hospitalised cases,Kenya,averted burden,non_hosp_cases,2383000,"2,383,000"
new data (hospital-based + HUS),non_hosp_SARI,84571,84504,83377,85822,80944,88267,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,MV,non-hospitalised SARI,Kenya,burden,non_hosp_SARI,NA,NA
new data (hospital-based + HUS),rsv_deaths,1432,1431,1386,1475,1306,1566,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,MV,deaths,Kenya,burden,rsv_deaths,NA,NA
new data (hospital-based + HUS),rsv_deaths_averted,153,151,133,171,102,212,0.106,0.106,0.094,0.118,0.073,0.145,2.5,NA,KEN,MV,deaths,Kenya,averted burden,rsv_deaths,1430,1430
new data (hospital-based + HUS),hosp_cases,41649,41618,40699,42581,38986,44415,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb,hospitalised cases,South Africa,burden,hosp_cases,NA,NA
new data (hospital-based + HUS),hosp_cases_averted,9065,9050,8242,9840,6846,11440,0.218,0.217,0.199,0.236,0.166,0.271,5,NA,ZAF,mAb,hospitalised cases,South Africa,averted burden,hosp_cases,41680,"41,680"
new data (hospital-based + HUS),hosp_SARI,41649,41618,40699,42581,38986,44415,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb,hospitalised SARI,South Africa,burden,hosp_SARI,NA,NA
new data (hospital-based + HUS),non_hosp_cases,1123778,1118421,1086374,1154919,1032349,1245162,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb,non-hospitalised cases,South Africa,burden,non_hosp_cases,NA,NA
new data (hospital-based + HUS),non_hosp_cases_averted,94878,92143,80148,106547,61502,144690,0.084,0.083,0.072,0.094,0.057,0.12,5,NA,ZAF,mAb,non-hospitalised cases,South Africa,averted burden,non_hosp_cases,1116000,"1,116,000"
new data (hospital-based + HUS),non_hosp_SARI,49473,49461,47702,51168,44639,54549,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb,non-hospitalised SARI,South Africa,burden,non_hosp_SARI,NA,NA
new data (hospital-based + HUS),rsv_deaths,590,589,575,605,548,635,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb,deaths,South Africa,burden,rsv_deaths,NA,NA
new data (hospital-based + HUS),rsv_deaths_averted,146,145,132,158,109,185,0.247,0.246,0.226,0.267,0.189,0.306,5,NA,ZAF,mAb,deaths,South Africa,averted burden,rsv_deaths,589,589
new data (hospital-based + HUS),hosp_cases,41649,41618,40699,42581,38986,44415,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,MV,hospitalised cases,South Africa,burden,hosp_cases,NA,NA
new data (hospital-based + HUS),hosp_cases_averted,6253,6204,5513,6942,4333,8361,0.15,0.149,0.133,0.167,0.105,0.199,2.5,NA,ZAF,MV,hospitalised cases,South Africa,averted burden,hosp_cases,41540,"41,540"
new data (hospital-based + HUS),hosp_SARI,41649,41618,40699,42581,38986,44415,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,MV,hospitalised SARI,South Africa,burden,hosp_SARI,NA,NA
new data (hospital-based + HUS),non_hosp_cases,1123778,1118421,1086374,1154919,1032349,1245162,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,MV,non-hospitalised cases,South Africa,burden,non_hosp_cases,NA,NA
