source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,norm_mean,norm_median,norm_CI50_low,norm_CI50_high,norm_CI95_low,norm_CI95_high,price,source_num,country_iso,intervention
new data (hospital-based + HUS),admin_cost,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_0to1y_averted,76910.23804760953,72485,60418.5,87266,43229.45,137956.05000000002,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_0to1y_disc_averted,76910.23804760953,72485,60418.5,87266,43229.45,137956.05000000002,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_0to1y_YLD_averted,125.65773154630926,117,96,146,65,232.05000000000018,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_0to1y_YLD_disc_averted,125.65773154630926,117,96,146,65,232.05000000000018,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_1to5y_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_1to5y_disc_averted,76910.23804760953,72485,60418.5,87266,43229.45,137956.05000000002,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_1to5y_YLD_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_1to5y_YLD_disc_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_averted,76910.23804760953,72485,60418.5,87266,43229.45,137956.05000000002,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_disc_averted,76910.23804760953,72485,60418.5,87266,43229.45,137956.05000000002,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_YLD_averted,125.65773154630926,117,96,146,65,232.05000000000018,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_YLD_disc_averted,125.65773154630926,117,96,146,65,232.05000000000018,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),comm_CFR_adj,2.10117144,2.0972,1.77915,2.43705,1.449,2.764929999999998,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp,34675488.2686,34595143.5,33361644.75,35897883.25,31142547.875,38592717.3,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_0to1y,28528831.9864,28454468,27256447.25,29736501.5,25163890.1,32405116.15,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_averted,9187460.223444689,9139308,8243807.5,10034833,6692178.149999999,11993666.600000001,0.3215435846312561,0.32126531321562873,0.2954757385624792,0.3475164533823286,0.24728187797418033,0.39592092365930903,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_disc,28528831.9864,28454468,27256447.25,29736501.5,25163890.1,32405116.15,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_disc_averted,9187460.223444689,9139308,8243807.5,10034833,6692178.149999999,11993666.600000001,0.3215435846312561,0.32126531321562873,0.2954757385624792,0.3475164533823286,0.24728187797418033,0.39592092365930903,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_1to5y,6146656.2816,6128968,5897943.75,6379906.5,5480214.75,6907201.9,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_1to5y_averted,0,0,0,0,0,0,0,0,0,0,0,0,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_1to5y_disc,5886299.4924,5869521.5,5646041.75,6112368.25,5239348.425,6620423.899999999,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_1to5y_disc_averted,0,0,0,0,0,0,0,0,0,0,0,0,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_averted,9187460.223444689,9139308,8243807.5,10034833,6692178.149999999,11993666.600000001,0.2644843535077335,0.2642566632681022,0.24230925187561236,0.28651521779374306,0.20208984714741351,0.32867093498046407,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_disc,34415131.4826,34333539.5,33104642.75,35632490.75,30884470.925,38326095.1,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_disc_averted,9187460.223444689,9139308,8243807.5,10034833,6692178.149999999,11993666.600000001,0.2664858319790144,0.26630532845371707,0.2442196520257887,0.2886036546421298,0.20381875788763326,0.33100175400076004,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_outpatient,9198957.5954,9142172,8819314.25,9507809,8266527.5,10458346.224999998,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_outpatient_0to1y,3423819.072,3350385,3124370.5,3629238,2762025,4568674.499999996,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_outpatient_0to1y_averted,620166.0882176436,570288,458666,714677,306622.35,1251153.85,0.1769880757793279,0.17214461170626869,0.144474722837431,0.20262919076794367,0.10230194450662837,0.28581561647948917,2.5,NA,ZAF,maternal
