source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,norm_mean,norm_median,norm_CI50_low,norm_CI50_high,norm_CI95_low,norm_CI95_high,price,source_num,country_iso,intervention
new data (hospital-based + HUS),admin_cost,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,maternal
new data (hospital-based + HUS),ARI_0to1y_averted,50482.5468,50521.5,47399.25,53681.5,40923.725,59795.25,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,maternal
new data (hospital-based + HUS),ARI_0to1y_disc_averted,50482.5468,50521.5,47399.25,53681.5,40923.725,59795.25,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,maternal
new data (hospital-based + HUS),ARI_0to1y_YLD_averted,82.4566,82,73,91,59,110,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,maternal
new data (hospital-based + HUS),ARI_0to1y_YLD_disc_averted,82.4566,82,73,91,59,110,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,maternal
new data (hospital-based + HUS),ARI_1to5y_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,maternal
new data (hospital-based + HUS),ARI_1to5y_disc_averted,50482.5468,50521.5,47399.25,53681.5,40923.725,59795.25,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,maternal
new data (hospital-based + HUS),ARI_1to5y_YLD_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,maternal
new data (hospital-based + HUS),ARI_1to5y_YLD_disc_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,maternal
new data (hospital-based + HUS),ARI_averted,50482.5468,50521.5,47399.25,53681.5,40923.725,59795.25,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,maternal
new data (hospital-based + HUS),ARI_disc_averted,50482.5468,50521.5,47399.25,53681.5,40923.725,59795.25,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,maternal
new data (hospital-based + HUS),ARI_YLD_averted,82.4566,82,73,91,59,110,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,maternal
new data (hospital-based + HUS),ARI_YLD_disc_averted,82.4566,82,73,91,59,110,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,maternal
new data (hospital-based + HUS),comm_CFR_adj,2.10117144,2.0972,1.77915,2.43705,1.449,2.764929999999998,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,maternal
new data (hospital-based + HUS),cost_rsv_hosp,7137702.1112,7130920.5,6828233.75,7416288.75,6325209.75,8053423.899999999,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,maternal
new data (hospital-based + HUS),cost_rsv_hosp_0to1y,5359815.8014,5352143.5,5118953.5,5580018.75,4725883.225,6071568.199999998,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,maternal
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_averted,1798896.1868,1794630,1674823.25,1919061.5,1453988.6500000001,2156259.225,0.33551683173990965,0.33686330071203663,0.3196045880937141,0.35253553232837986,0.28444439462897975,0.37975446810422464,2.5,NA,KEN,maternal
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_disc,5359815.8014,5352143.5,5118953.5,5580018.75,4725883.225,6071568.199999998,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,maternal
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_disc_averted,1798896.1868,1794630,1674823.25,1919061.5,1453988.6500000001,2156259.225,0.33551683173990965,0.33686330071203663,0.3196045880937141,0.35253553232837986,0.28444439462897975,0.37975446810422464,2.5,NA,KEN,maternal
new data (hospital-based + HUS),cost_rsv_hosp_1to5y,1777886.2982,1772710,1703583.75,1847536.25,1575576.175,1999375.7999999996,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,maternal
new data (hospital-based + HUS),cost_rsv_hosp_1to5y_averted,0,0,0,0,0,0,0,0,0,0,0,0,2.5,NA,KEN,maternal
new data (hospital-based + HUS),cost_rsv_hosp_1to5y_disc,1697829.9818,1692598,1626684.5,1764781.5,1504223.35,1909997.15,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,maternal
