source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,norm_mean,norm_median,norm_CI50_low,norm_CI50_high,norm_CI95_low,norm_CI95_high,price,source_num,country_iso,intervention
new data (hospital-based + HUS),admin_cost,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_0to1y_averted,161461.866,156280.5,140596.25,174985,115079.47499999999,240113.64999999997,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_0to1y_disc_averted,161461.866,156280.5,140596.25,174985,115079.47499999999,240113.64999999997,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_0to1y_YLD_averted,264.5554,256,225,293,177,409,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_0to1y_YLD_disc_averted,264.5554,256,225,293,177,409,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_1to5y_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_1to5y_disc_averted,161461.866,156280.5,140596.25,174985,115079.47499999999,240113.64999999997,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_1to5y_YLD_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_1to5y_YLD_disc_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_averted,161461.866,156280.5,140596.25,174985,115079.47499999999,240113.64999999997,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_disc_averted,161461.866,156280.5,140596.25,174985,115079.47499999999,240113.64999999997,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_YLD_averted,264.5554,256,225,293,177,409,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),ARI_YLD_disc_averted,264.5554,256,225,293,177,409,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),comm_CFR_adj,2.09733434,2.1018,1.7594500000000002,2.4273,1.44,2.7720349999999994,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp,34683521.461,34606167.5,33376173.25,35914940.75,31167724.650000002,38675827.724999994,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp_0to1y,28537545.1288,28470349.5,27261519.25,29726742.25,25118525.049999997,32463696.249999996,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_averted,10213339.995,10236125,7622958.75,12926539.5,2382889.675,17187960.92499999,0.3575349570221787,0.3612640581609534,0.27110755615045284,0.4520319364707655,0.08564542821366779,0.5854189309850417,5,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_disc,28537545.1288,28470349.5,27261519.25,29726742.25,25118525.049999997,32463696.249999996,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_disc_averted,10213339.995,10236125,7622958.75,12926539.5,2382889.675,17187960.92499999,0.3575349570221787,0.3612640581609534,0.27110755615045284,0.4520319364707655,0.08564542821366779,0.5854189309850417,5,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp_1to5y,6145976.331,6133706,5903545.5,6376104.75,5478852.75,6874367.375,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp_1to5y_averted,0,0,0,0,0,0,0,0,0,0,0,0,5,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp_1to5y_disc,5885587.5802,5873546,5650700.5,6108390.75,5240331.35,6593007.124999999,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp_1to5y_disc_averted,0,0,0,0,0,0,0,0,0,0,0,0,5,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp_averted,10213339.995,10236125,7622958.75,12926539.5,2382889.675,17187960.92499999,0.29407498183104086,0.29591591975828546,0.2226493320703503,0.3713136829143812,0.07054341239652494,0.4819131249415286,5,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp_disc,34423132.709,34348140.5,33116878.5,35650109,30911481.95,38430206.075,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_hosp_disc_averted,10213339.995,10236125,7622958.75,12926539.5,2382889.675,17187960.92499999,0.2963014689953357,0.2982466502051925,0.22435058602660776,0.37410884338207073,0.071081326998153,0.4855457965052501,5,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_outpatient,9201369.6474,9149205,8830797,9511307.5,8295521.05,10436384.1,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_outpatient_0to1y,3432138.9688,3361209,3129458.75,3633291.25,2784325.85,4594733.774999999,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_outpatient_0to1y_averted,1395236.7352,1333760.5,1188424.25,1526726,960388.225,2277738.275,0.4030853008551623,0.4004523656899662,0.3717693710299514,0.4311041649915602,0.3205243084832742,0.5054359691721679,5,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_outpatient_0to1y_disc,3432138.9688,3361209,3129458.75,3633291.25,2784325.85,4594733.774999999,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_outpatient_0to1y_disc_averted,1395236.7352,1333760.5,1188424.25,1526726,960388.225,2277738.275,0.4030853008551623,0.4004523656899662,0.3717693710299514,0.4311041649915602,0.3205243084832742,0.5054359691721679,5,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_outpatient_1to5y,5769230.67,5758727,5545315.75,5973587,5202600.2,6425474.0249999985,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_outpatient_1to5y_averted,0,0,0,0,0,0,0,0,0,0,0,0,5,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_outpatient_1to5y_disc,5493370.9364,5482494,5277416.5,5691100,4946027.35,6128031.649999999,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_outpatient_1to5y_disc_averted,0,0,0,0,0,0,0,0,0,0,0,0,5,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_outpatient_averted,1395236.7352,1333760.5,1188424.25,1526726,960388.225,2277738.275,0.15070124356305267,0.1466846072335522,0.13259546267216404,0.16402749471180872,0.10896961727508428,0.21906458017633093,5,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_outpatient_disc,8925509.9048,8872382,8559321,9230673.25,8032156.9,10150069.325,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),cost_rsv_outpatient_disc_averted,1395236.7352,1333760.5,1188424.25,1526726,960388.225,2277738.275,0.15533627435060454,0.1511986247956845,0.1367945483861123,0.16905546573624114,0.11253889246933384,0.22520371106512346,5,NA,ZAF,mAb
new data (hospital-based + HUS),duration_illness,0.030679071142943784,0.03065855871231958,0.029639475904055915,0.03168357675181634,0.02773789702703699,0.03371063326344761,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),efficacy_maternal_cfr,0.915,0.915,0.915,0.915,0.915,0.915,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),efficacy_maternal_hospital,0.847,0.847,0.847,0.847,0.847,0.847,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),efficacy_maternal_primary,0.847,0.847,0.847,0.847,0.847,0.847,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),efficacy_total_num_na,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),FVP_mAb,1023353.8263,1023353.8263,1023353.8263,1023353.8263,1023353.8263,1023353.8263,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),FVP_maternal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),hosp_cases,41667.7466,41648.5,40697.5,42617,39017.95,44541.22499999999,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),hosp_cases_0to1y,34183.4984,34160,33226.75,35088,31614.95,36921.024999999994,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),hosp_cases_0to1y_averted,11520.5218,11583,8879,14369.25,3310.4000000000005,18743.075,0.33702552625478954,0.33797228850543704,0.2616262630898419,0.42138693557385554,0.09649067601068653,0.5472080195919894,5,NA,ZAF,mAb
new data (hospital-based + HUS),hosp_cases_0to1y_disc_averted,11520.5218,11583,8879,14369.25,3310.4000000000005,18743.075,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),hosp_cases_1to5y,7484.2378,7477,7262,7702,6850.975,8155.074999999999,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),hosp_cases_1to5y_averted,0,0,0,0,0,0,0,0,0,0,0,0,5,NA,ZAF,mAb
new data (hospital-based + HUS),hosp_cases_1to5y_disc_averted,11520.5218,11583,8879,14369.25,3310.4000000000005,18743.075,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),hosp_cases_averted,11520.5218,11583,8879,14369.25,3310.4000000000005,18743.075,0.2764451033116944,0.2769839464452847,0.21426650837277944,0.34587021565686443,0.07988390882601552,0.44926585271851066,5,NA,ZAF,mAb
new data (hospital-based + HUS),hosp_cases_disc_averted,11520.5218,11583,8879,14369.25,3310.4000000000005,18743.075,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),hosp_CFR,0.5852326825131257,0.5720186927864478,0.46993784861279325,0.6752447014399602,0.3362394689993919,0.9435623314148721,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),hosp_comm_CFR,1.22912607696908,1.1634090927210834,0.9275881437102433,1.4635478103920574,0.6051782497612049,2.197532710628466,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),hosp_cost,1055.2618846357702,1047.9943827168008,959.3848575017455,1144.4006127378846,806.2055900110392,1344.3787399818812,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),hosp_med_att_YLD,662.4202,661,639,683,602,734,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
new data (hospital-based + HUS),hosp_med_att_YLD_0to1y,363.2954,361,343,381,310,428,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb
