source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,norm_mean,norm_median,norm_CI50_low,norm_CI50_high,norm_CI95_low,norm_CI95_high,price,source_num,country_iso,intervention,plot_variable,country_plot
new data (hospital-based + HUS),admin_cost,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),ARI_0to1y_averted,176052.5312,176130,168175.75,184476.75,151492.725,198894.15,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),ARI_0to1y_disc_averted,176052.5312,176130,168175.75,184476.75,151492.725,198894.15,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),ARI_0to1y_YLD_averted,291.029,289,266,315,219,371,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),ARI_0to1y_YLD_disc_averted,291.029,289,266,315,219,371,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),ARI_1to5y_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),ARI_1to5y_disc_averted,176052.5312,176130,168175.75,184476.75,151492.725,198894.15,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),ARI_1to5y_YLD_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),ARI_1to5y_YLD_disc_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),ARI_averted,176052.5312,176130,168175.75,184476.75,151492.725,198894.15,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),ARI_disc_averted,176052.5312,176130,168175.75,184476.75,151492.725,198894.15,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),ARI_YLD_averted,291.029,289,266,315,219,371,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),ARI_YLD_disc_averted,291.029,289,266,315,219,371,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),comm_CFR_adj,2.09733434,2.1018,1.7594500000000002,2.4273,1.44,2.7720349999999994,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),cost_rsv_hosp,7153503.3948,7135619.5,6850914,7438498.75,6337541.025,8068338.624999999,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),cost_rsv_hosp_0to1y,5371277.0458,5360470.5,5137558.5,5590228.5,4732072.575,6097641.45,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_averted,1545766.9218,1562635.5,1181055.75,1954561.75,413475.725,2533116.2499999995,0.28784207417245633,0.29232406877942485,0.22045253336928688,0.36376479063941936,0.0778139011769601,0.4659470947390651,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_disc,5371277.0458,5360470.5,5137558.5,5590228.5,4732072.575,6097641.45,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_disc_averted,1545766.9218,1562635.5,1181055.75,1954561.75,413475.725,2533116.2499999995,0.28784207417245633,0.29232406877942485,0.22045253336928688,0.36376479063941936,0.0778139011769601,0.4659470947390651,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),cost_rsv_hosp_1to5y,1782226.3518,1778074,1705738.5,1855114,1578659.55,2002168.175,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),cost_rsv_hosp_1to5y_averted,0,0,0,0,0,0,0,0,0,0,0,0,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),cost_rsv_hosp_1to5y_disc,1701983.4464,1698060,1628990.5,1771707.25,1506753.6,1912446.125,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),cost_rsv_hosp_1to5y_disc_averted,0,0,0,0,0,0,0,0,0,0,0,0,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),cost_rsv_hosp_averted,1545766.9218,1562635.5,1181055.75,1954561.75,413475.725,2533116.2499999995,0.21610601886506556,0.21969023620582984,0.16529249796298456,0.27288142415641437,0.05827197969426393,0.3499833454986828,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),cost_rsv_hosp_disc,7073260.4948,7056423.5,6773525.75,7356490,6265194.75,7978761.175,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),cost_rsv_hosp_disc_averted,1545766.9218,1562635.5,1181055.75,1954561.75,413475.725,2533116.2499999995,0.2185580746980037,0.2222112574100092,0.16712872615077512,0.2760090097278972,0.05896660354085462,0.35396828357017057,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),cost_rsv_outpatient,23738549.9758,23745987.5,23481223.5,23994865,22990860.85,24478504.85,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),cost_rsv_outpatient_0to1y,8450248.2214,8445189,8273627,8626357.25,7951100.275,8967168.174999999,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),cost_rsv_outpatient_0to1y_averted,1754607.3746,1752590,1664351.5,1846203.75,1485665.975,2023674.125,0.20766042039191623,0.20789002168822673,0.19747914717924828,0.217751927818292,0.1777363790840465,0.2371037255733002,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),cost_rsv_outpatient_0to1y_disc,8450248.2214,8445189,8273627,8626357.25,7951100.275,8967168.174999999,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),cost_rsv_outpatient_0to1y_disc_averted,1754607.3746,1752590,1664351.5,1846203.75,1485665.975,2023674.125,0.20766042039191623,0.20789002168822673,0.19747914717924828,0.217751927818292,0.1777363790840465,0.2371037255733002,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),cost_rsv_outpatient_1to5y,15288301.7428,15277572,15098791.5,15475447.5,14748070.7,15827706.825,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),cost_rsv_outpatient_1to5y_averted,0,0,0,0,0,0,0,0,0,0,0,0,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),cost_rsv_outpatient_1to5y_disc,14364685.843,14355077.5,14187140,14539790.75,13853101.65,14870255.475,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),cost_rsv_outpatient_1to5y_disc_averted,0,0,0,0,0,0,0,0,0,0,0,0,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),cost_rsv_outpatient_averted,1754607.3746,1752590,1664351.5,1846203.75,1485665.975,2023674.125,0.07391131571472541,0.07387808058681625,0.07017077588050011,0.07769131799832216,0.0627836136213838,0.08477927564745953,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),cost_rsv_outpatient_disc,22814934.0676,22822890,22563843.75,23062941.75,22086656.85,23537847.125,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),cost_rsv_outpatient_disc_averted,1754607.3746,1752590,1664351.5,1846203.75,1485665.975,2023674.125,0.07690293901083047,0.07686500214940388,0.0730234877965823,0.08083133421912833,0.06534839652845255,0.0881799687750254,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),duration_illness,0.03067907114294378,0.03065855871231958,0.02963947590405591,0.03168357675181634,0.02773789702703699,0.03371063326344761,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),efficacy_maternal_cfr,0.915,0.915,0.915,0.915,0.915,0.915,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),efficacy_maternal_hospital,0.847,0.847,0.847,0.847,0.847,0.847,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
new data (hospital-based + HUS),efficacy_maternal_primary,0.847,0.847,0.847,0.847,0.847,0.847,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,NA,Kenya
