source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,norm_mean,norm_median,norm_CI50_low,norm_CI50_high,norm_CI95_low,norm_CI95_high,price,source_num,country_iso,intervention,plot_variable,country_plot,burden_interv,vartype,vec,orig_burden_round
new data (hospital-based + HUS),hosp_med_att_YLD,1963,1962,1922,2002,1838,2092,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,YLD medically attended cases,Kenya,burden,hosp_med_att_YLD,NA,NA
new data (hospital-based + HUS),hosp_med_att_YLD_averted,177,176,161,194,130,224,0.09,0.09,0.082,0.098,0.068,0.113,5,NA,KEN,mAb,YLD medically attended cases,Kenya,averted burden,hosp_med_att_YLD,1962,1962
new data (hospital-based + HUS),hosp_YLD,177,176,170,184,155,198,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,YLD hospitalised cases,Kenya,burden,hosp_YLD,NA,NA
new data (hospital-based + HUS),hosp_YLD_averted,38,38,29,48,9,65,0.215,0.216,0.165,0.273,0.054,0.351,5,NA,KEN,mAb,YLD hospitalised cases,Kenya,averted burden,hosp_YLD,176,176
new data (hospital-based + HUS),non_hosp_YLD,2507,2505,2455,2556,2357,2665,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,YLD non-hospitalised cases,Kenya,burden,non_hosp_YLD,NA,NA
new data (hospital-based + HUS),non_hosp_YLD_averted,270,271,236,305,174,362,0.108,0.108,0.094,0.122,0.07,0.144,5,NA,KEN,mAb,YLD non-hospitalised cases,Kenya,averted burden,non_hosp_YLD,2511,2511
new data (hospital-based + HUS),total_DALY,100219,100212,97216,103192,91772,109100,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,total DALY,Kenya,burden,total_DALY,NA,NA
new data (hospital-based + HUS),total_DALY_averted,17699,17915,13434,22260,4619,29310,0.177,0.179,0.135,0.221,0.046,0.288,5,NA,KEN,mAb,total DALY,Kenya,averted burden,total_DALY,99920,"99,920"
new data (hospital-based + HUS),total_YLD,4470,4467,4388,4550,4212,4746,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,total YLD,Kenya,burden,total_YLD,NA,NA
new data (hospital-based + HUS),total_YLD_averted,308,309,264,353,185,424,0.069,0.069,0.059,0.079,0.042,0.095,5,NA,KEN,mAb,total YLD,Kenya,averted burden,total_YLD,4472,4472
new data (hospital-based + HUS),total_YLL,95749,95722,92780,98723,87223,104606,NA,NA,NA,NA,NA,NA,5,NA,KEN,mAb,total YLL,Kenya,burden,total_YLL,NA,NA
new data (hospital-based + HUS),total_YLL_averted,17391,17602,13166,21908,4431,28918,0.182,0.184,0.138,0.228,0.046,0.297,5,NA,KEN,mAb,total YLL,Kenya,averted burden,total_YLL,95520,"95,520"
new data (hospital-based + HUS),hosp_med_att_YLD,1963,1962,1922,2002,1838,2092,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,MV,YLD medically attended cases,Kenya,burden,hosp_med_att_YLD,NA,NA
new data (hospital-based + HUS),hosp_med_att_YLD_averted,89,89,80,98,63,116,0.046,0.045,0.041,0.05,0.032,0.059,2.5,NA,KEN,MV,YLD medically attended cases,Kenya,averted burden,hosp_med_att_YLD,1962,1962
new data (hospital-based + HUS),hosp_YLD,177,176,170,184,155,198,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,MV,YLD hospitalised cases,Kenya,burden,hosp_YLD,NA,NA
new data (hospital-based + HUS),hosp_YLD_averted,48,48,41,54,28,66,0.269,0.274,0.238,0.303,0.164,0.35,2.5,NA,KEN,MV,YLD hospitalised cases,Kenya,averted burden,hosp_YLD,175,175
new data (hospital-based + HUS),non_hosp_YLD,2507,2505,2455,2556,2357,2665,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,MV,YLD non-hospitalised cases,Kenya,burden,non_hosp_YLD,NA,NA
new data (hospital-based + HUS),non_hosp_YLD_averted,193,192,171,214,129,254,0.077,0.077,0.069,0.085,0.052,0.1,2.5,NA,KEN,MV,YLD non-hospitalised cases,Kenya,averted burden,non_hosp_YLD,2493,2493
new data (hospital-based + HUS),total_DALY,100219,100212,97216,103192,91772,109100,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,MV,total DALY,Kenya,burden,total_DALY,NA,NA
new data (hospital-based + HUS),total_DALY_averted,23463,24356,21122,26760,12671,30623,0.234,0.246,0.216,0.264,0.129,0.293,2.5,NA,KEN,MV,total DALY,Kenya,averted burden,total_DALY,99050,"99,050"
new data (hospital-based + HUS),total_YLD,4470,4467,4388,4550,4212,4746,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,MV,total YLD,Kenya,burden,total_YLD,NA,NA
new data (hospital-based + HUS),total_YLD_averted,240,241,213,268,159,318,0.054,0.054,0.048,0.06,0.035,0.07,2.5,NA,KEN,MV,total YLD,Kenya,averted burden,total_YLD,4470,4470
new data (hospital-based + HUS),total_YLL,95749,95722,92780,98723,87223,104606,NA,NA,NA,NA,NA,NA,2.5,NA,KEN,MV,total YLL,Kenya,burden,total_YLL,NA,NA
new data (hospital-based + HUS),total_YLL_averted,23222,24111,20896,26531,12419,30379,0.242,0.255,0.223,0.274,0.133,0.304,2.5,NA,KEN,MV,total YLL,Kenya,averted burden,total_YLL,94560,"94,560"
new data (hospital-based + HUS),hosp_med_att_YLD,662,661,639,683,602,734,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb,YLD medically attended cases,South Africa,burden,hosp_med_att_YLD,NA,NA
new data (hospital-based + HUS),hosp_med_att_YLD_averted,139,138,117,159,78,202,0.209,0.209,0.179,0.239,0.121,0.29,5,NA,ZAF,mAb,YLD medically attended cases,South Africa,averted burden,hosp_med_att_YLD,661,661
new data (hospital-based + HUS),hosp_YLD,269,268,256,281,231,308,NA,NA,NA,NA,NA,NA,5,NA,ZAF,mAb,YLD hospitalised cases,South Africa,burden,hosp_YLD,NA,NA
new data (hospital-based + HUS),hosp_YLD_averted,74,74,56,94,20,126,0.275,0.274,0.214,0.345,0.074,0.447,5,NA,ZAF,mAb,YLD hospitalised cases,South Africa,averted burden,hosp_YLD,270,270
