source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,norm_mean,norm_median,norm_CI50_low,norm_CI50_high,norm_CI95_low,norm_CI95_high,price,source_num,country_iso,intervention
new data (hospital-based + HUS),admin_cost,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_0to1y_averted,50671.38807761552,47968,38790,58931.5,25606.6,90542.70000000003,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_0to1y_disc_averted,50671.38807761552,47968,38790,58931.5,25606.6,90542.70000000003,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_0to1y_YLD_averted,82.45529105821164,77,61,97,39,155.05000000000018,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_0to1y_YLD_disc_averted,82.45529105821164,77,61,97,39,155.05000000000018,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_1to5y_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_1to5y_disc_averted,50671.38807761552,47968,38790,58931.5,25606.6,90542.70000000003,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_1to5y_YLD_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_1to5y_YLD_disc_averted,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_averted,50671.38807761552,47968,38790,58931.5,25606.6,90542.70000000003,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_disc_averted,50671.38807761552,47968,38790,58931.5,25606.6,90542.70000000003,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_YLD_averted,82.45529105821164,77,61,97,39,155.05000000000018,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),ARI_YLD_disc_averted,82.45529105821164,77,61,97,39,155.05000000000018,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),comm_CFR_adj,2.0884625,2.0882,1.746,2.4354,1.4352,2.755,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp,34695774.3442,34628988,33443864.75,35907275.75,31094129.025,38608291.775,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_0to1y,28548360.0558,28481241,27309167.25,29746941.5,25021190.5,32392200.025,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_averted,6819982.869773955,6767972,6019557,7551952.5,4758903,9238922,0.23850194165044866,0.23759271693983272,0.21494203958498287,0.2612361436821299,0.1740154458639075,0.3081474402232097,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_disc,28548360.0558,28481241,27309167.25,29746941.5,25021190.5,32392200.025,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_0to1y_disc_averted,6819982.869773955,6767972,6019557,7551952.5,4758903,9238922,0.23850194165044866,0.23759271693983272,0.21494203958498287,0.2612361436821299,0.1740154458639075,0.3081474402232097,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_1to5y,6147414.2848,6140142,5902423.75,6383807,5466416.350000001,6880316.85,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_1to5y_averted,0,0,0,0,0,0,0,0,0,0,0,0,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_1to5y_disc,5887087.0136,5879574,5651090.75,6116987,5230808.675000001,6600240.95,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_1to5y_disc_averted,0,0,0,0,0,0,0,0,0,0,0,0,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_averted,6819982.869773955,6767972,6019557,7551952.5,4758903,9238922,0.1962025238767321,0.195326244271355,0.17618448226280362,0.2151259134191196,0.1420319172501469,0.25511764183868435,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_disc,34435447.0762,34369989,33183087,35643961,30837136.25,38336253.85,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_hosp_disc_averted,6819982.869773955,6767972,6019557,7551952.5,4758903,9238922,0.19768611511562922,0.19682402806326785,0.17751313468570062,0.21678380375922668,0.14314754425347245,0.25700820027275184,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_outpatient,9208685.856,9149962,8825256.25,9514576.75,8291390.45,10466440.45,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_outpatient_0to1y,3432861.9524,3358213.5,3135148.75,3641814.5,2762401.75,4530086.649999999,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_outpatient_0to1y_averted,413499.35567113425,378155,298617,480037,188073.69999999998,866226.5500000007,0.11765694533934283,0.11341069627781845,0.09231649297977366,0.1369819383953788,0.06120182518014688,0.20078080848645227,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_outpatient_0to1y_disc,3432861.9524,3358213.5,3135148.75,3641814.5,2762401.75,4530086.649999999,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_outpatient_0to1y_disc_averted,413499.35567113425,378155,298617,480037,188073.69999999998,866226.5500000007,0.11765694533934283,0.11341069627781845,0.09231649297977366,0.1369819383953788,0.06120182518014688,0.20078080848645227,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_outpatient_1to5y,5775823.9084,5764118.5,5554946.75,5986624,5192516.050000001,6426911.75,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_outpatient_1to5y_averted,0,0,0,0,0,0,0,0,0,0,0,0,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_outpatient_1to5y_disc,5499834.9686,5489422.5,5286300.5,5704219.75,4935013.5,6128602.15,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_outpatient_1to5y_disc_averted,0,0,0,0,0,0,0,0,0,0,0,0,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_outpatient_averted,413499.35567113425,378155,298617,480037,188073.69999999998,866226.5500000007,0.044338277466942896,0.04152986759722696,0.03309246398129071,0.05179238692730809,0.02115399273783198,0.08531199440236269,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_outpatient_disc,8932696.9296,8873673,8554501.5,9233831.5,8024196.85,10181534.625,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),cost_rsv_outpatient_disc_averted,413499.35567113425,378155,298617,480037,188073.69999999998,866226.5500000007,0.04569346167166096,0.042810514372517164,0.03414302847506369,0.053423765309191726,0.02185592541212435,0.08765865785451186,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),duration_illness,0.03070415872357878,0.030666316606386915,0.029682319025577292,0.03171050204185898,0.027819432355225965,0.03383702670148641,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),efficacy_maternal_cfr,0.483,0.483,0.483,0.483,0.483,0.483,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),efficacy_maternal_hospital,0.444,0.444,0.444,0.444,0.444,0.444,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),efficacy_maternal_primary,0.394,0.394,0.394,0.394,0.394,0.394,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),efficacy_total_num_na,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),FVP_mAb,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),FVP_maternal,1041475.5,1041475.5,1041475.5,1041475.5,1041475.5,1041475.5,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),hosp_cases,41636.294,41621.5,40715.75,42587.25,38947.825,44425.075,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),hosp_cases_0to1y,34159.1852,34138.5,33247,35071.25,31465.85,36825.049999999996,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),hosp_cases_0to1y_averted,6933.514302860572,6891,6215,7599.5,5047,9011.15,0.20292903795406272,0.20235600611655435,0.18379770132297643,0.22151763830315868,0.149324866387292,0.25988859908821815,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),hosp_cases_0to1y_disc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),hosp_cases_0to1y_disc_averted,6933.514302860572,6891,6215,7599.5,5047,9011.15,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),hosp_cases_1to5y,7477.117,7475,7246,7697,6852.975,8140.025,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),hosp_cases_1to5y_averted,0,0,0,0,0,0,0,0,0,0,0,0,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),hosp_cases_1to5y_disc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),hosp_cases_1to5y_disc_averted,6933.514302860572,6891,6215,7599.5,5047,9011.15,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),hosp_cases_averted,6933.514302860572,6891,6215,7599.5,5047,9011.15,0.16646725213489325,0.16582358892313484,0.15053180829885882,0.18188623246825136,0.12235817461091865,0.2142727104929399,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),hosp_cases_disc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),hosp_cases_disc_averted,6933.514302860572,6891,6215,7599.5,5047,9011.15,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),hosp_CFR,0.5892872163867773,0.56705767467364,0.4690419078308196,0.6816543965602436,0.33697610850413273,0.9824510605277569,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),hosp_comm_CFR,1.2308506485825406,1.1632912561761626,0.9205160543798347,1.4738802613658142,0.613544411773332,2.205680152188038,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),hosp_cost,1055.3347885676187,1048.6956230790852,957.553698417116,1142.3138939522278,813.6144340798616,1339.19376536091,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),hosp_med_att_YLD,662.7086,660,640,683,604,737,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),hosp_med_att_YLD_0to1y,362.8278,360,343,379,315,428.02499999999964,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),hosp_med_att_YLD_0to1y_averted,63.47849569913983,62,55,70,44,90,0.17432575951341603,0.17325227963525835,0.15708388035621074,0.19060412849992067,0.12927926295340542,0.22619380154296356,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),hosp_med_att_YLD_0to1y_disc,362.8278,360,343,379,315,428.02499999999964,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),hosp_med_att_YLD_1to5y,299.8706,299,288,311,268,335,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),hosp_med_att_YLD_1to5y_averted,0,0,0,0,0,0,0,0,0,0,0,0,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),hosp_med_att_YLD_1to5y_disc,285.6896,285,274,297,255,319.02499999999964,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),hosp_med_att_YLD_averted,63.47849569913983,62,55,70,44,90,0.09550340283813687,0.09449929478138223,0.08494783904619971,0.10497780189065403,0.0687476145038168,0.12788906009244994,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),hosp_med_att_YLD_disc,648.5132,646,626,669,590,722,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
new data (hospital-based + HUS),hosp_prob,5.239250488936842,4.3780908,2.8361983500000005,6.660114,1.2578058,14.394346799999997,NA,NA,NA,NA,NA,NA,2.5,NA,ZAF,maternal
