source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,norm_mean,norm_median,norm_CI50_low,norm_CI50_high,norm_CI95_low,norm_CI95_high,price,source_num,country_iso,intervention,plot_variable,country_plot,burden_interv,vartype,vec,orig_burden_round
new data (hospital-based + HUS),hosp_med_att_YLD,1954.6414,1951,1908,2001,1832.975,2087,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,YLD medically attended cases,Kenya,burden,hosp_med_att_YLD,NA,NA
new data (hospital-based + HUS),hosp_med_att_YLD_averted,183.1548,182,170,195,150,223.02499999999964,0.09369142668982315,0.09332653408125106,0.08718633110558048,0.0994057036721414,0.0777716629229197,0.11289676907709272,6,2,KEN,mAb,YLD medically attended cases,Kenya,averted burden,hosp_med_att_YLD,1950,1950
new data (hospital-based + HUS),hosp_YLD,176.284,176,170,183,159,198,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,YLD hospitalised cases,Kenya,burden,hosp_YLD,NA,NA
new data (hospital-based + HUS),hosp_YLD_averted,58.5196,58,54,63,46,73,0.33143190961733865,0.3313953488372093,0.3111111111111111,0.35195530726256985,0.27439024390243905,0.3908060563626816,6,2,KEN,mAb,YLD hospitalised cases,Kenya,averted burden,hosp_YLD,175,175
new data (hospital-based + HUS),non_hosp_YLD,2497.413,2494,2442,2550.25,2348,2655,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,YLD non-hospitalised cases,Kenya,burden,non_hosp_YLD,NA,NA
new data (hospital-based + HUS),non_hosp_YLD_averted,317.2222,316,297,337,263,377.02499999999964,0.12699258284037063,0.12659466847170747,0.11950327149966937,0.13407984071807144,0.10663563657068473,0.14951564558814195,6,2,KEN,mAb,YLD non-hospitalised cases,Kenya,averted burden,non_hosp_YLD,2496,2496
new data (hospital-based + HUS),total_DALY,142715.7144,142511.5,138009,147344.25,129272.6,156945.375,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,total DALY,Kenya,burden,total_DALY,NA,NA
new data (hospital-based + HUS),total_DALY_averted,36330.3954,36192.5,33354,39079,28588,44975.125,0.25438581646193004,0.2538398630947618,0.2376433928810474,0.27168060845555053,0.20685198213914646,0.30344228965106385,6,2,KEN,mAb,total DALY,Kenya,averted burden,total_DALY,142600,",142,600"
new data (hospital-based + HUS),total_YLD,4452.047,4447,4357,4546,4199,4728,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,total YLD,Kenya,burden,total_YLD,NA,NA
new data (hospital-based + HUS),total_YLD_averted,375.7342,375,352,398,312,446.02499999999964,0.0843924723689322,0.08412665511689549,0.0793062186982537,0.08900794330477771,0.07072008919332118,0.09957253985015778,6,2,KEN,mAb,total YLD,Kenya,averted burden,total_YLD,4458,4458
new data (hospital-based + HUS),total_YLL,138263.6682,138049.5,133562.5,142827.5,124837.5,152464.175,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,total YLL,Kenya,burden,total_YLL,NA,NA
new data (hospital-based + HUS),total_YLL_averted,35954.661,35808.5,32984,38708.75,28238.825,44569.174999999996,0.25986737888509115,0.25930299668419243,0.2426921372651576,0.2776409777466065,0.2109814851242662,0.3102339861068339,6,2,KEN,mAb,total YLL,Kenya,averted burden,total_YLL,138100,",138,100"
new data (hospital-based + HUS),hosp_med_att_YLD,1954.6414,1951,1908,2001,1832.975,2087,NA,NA,NA,NA,NA,NA,3,2,KEN,MV,YLD medically attended cases,Kenya,burden,hosp_med_att_YLD,NA,NA
new data (hospital-based + HUS),hosp_med_att_YLD_averted,43.69133826765353,43,39,48,33,57,0.022369838662423817,0.02214566929133858,0.020093961717302412,0.02437717495712525,0.016631584631584633,0.029411764705882353,3,2,KEN,MV,YLD medically attended cases,Kenya,averted burden,hosp_med_att_YLD,1942,1942
new data (hospital-based + HUS),hosp_YLD,176.284,176,170,183,159,198,NA,NA,NA,NA,NA,NA,3,2,KEN,MV,YLD hospitalised cases,Kenya,burden,hosp_YLD,NA,NA
new data (hospital-based + HUS),hosp_YLD_averted,24.312062412482497,24,22,27,17,33,0.1376001747009816,0.13714285714285715,0.1242603550295858,0.15,0.10119047619047619,0.1781609195402299,3,2,KEN,MV,YLD hospitalised cases,Kenya,averted burden,hosp_YLD,175,175
new data (hospital-based + HUS),non_hosp_YLD,2497.413,2494,2442,2550.25,2348,2655,NA,NA,NA,NA,NA,NA,3,2,KEN,MV,YLD non-hospitalised cases,Kenya,burden,non_hosp_YLD,NA,NA
new data (hospital-based + HUS),non_hosp_YLD_averted,96.21824364872974,96,87,105,71,125,0.03853226892110235,0.03830109973454683,0.03484527011312427,0.04195222747793797,0.028840486184623246,0.049979066534371785,3,2,KEN,MV,YLD non-hospitalised cases,Kenya,averted burden,non_hosp_YLD,2506,2506
new data (hospital-based + HUS),total_DALY,142715.7144,142511.5,138009,147344.25,129272.6,156945.375,NA,NA,NA,NA,NA,NA,3,2,KEN,MV,total DALY,Kenya,burden,total_DALY,NA,NA
new data (hospital-based + HUS),total_DALY_averted,11120.388477695538,10948,8025.5,14012,2945.9,20473.65,0.07784952050201463,0.07710953298517727,0.05668025009365363,0.09798227603123476,0.020883459752778017,0.14137874002622108,3,2,KEN,MV,total DALY,Kenya,averted burden,total_DALY,142000,",142,000"
new data (hospital-based + HUS),total_YLD,4452.047,4447,4357,4546,4199,4728,NA,NA,NA,NA,NA,NA,3,2,KEN,MV,total YLD,Kenya,burden,total_YLD,NA,NA
new data (hospital-based + HUS),total_YLD_averted,120.53210642128425,120,109,131,89,157,0.027083733017111623,0.026829791800815624,0.024437785657307448,0.029487180671438108,0.02020825041383121,0.03523353656254744,3,2,KEN,MV,total YLD,Kenya,averted burden,total_YLD,4473,4473
new data (hospital-based + HUS),total_YLL,138263.6682,138049.5,133562.5,142827.5,124837.5,152464.175,NA,NA,NA,NA,NA,NA,3,2,KEN,MV,total YLL,Kenya,burden,total_YLL,NA,NA
new data (hospital-based + HUS),total_YLL_averted,10999.861172234447,10832,7902.5,13880.5,2839.15,20357.450000000004,0.07948569591657331,0.07870009754180614,0.05764231485224121,0.1003019859979844,0.0205967584017086,0.14503797739478147,3,2,KEN,MV,total YLL,Kenya,averted burden,total_YLL,137600,",137,600"
new data (hospital-based + HUS),hosp_med_att_YLD,600.5904,598,580,619,547,665,NA,NA,NA,NA,NA,NA,6,2,ZAF,mAb,YLD medically attended cases,South Africa,burden,hosp_med_att_YLD,NA,NA
new data (hospital-based + HUS),hosp_med_att_YLD_averted,158.381,157,145,169,127,200.02499999999964,0.26327810128856893,0.2620232172470978,0.2471682624742241,0.27762192789386436,0.22181784005468216,0.3120022875816993,6,2,ZAF,mAb,YLD medically attended cases,South Africa,averted burden,hosp_med_att_YLD,599,599
new data (hospital-based + HUS),hosp_YLD,267.8916,266,256,279,237,305,NA,NA,NA,NA,NA,NA,6,2,ZAF,mAb,YLD hospitalised cases,South Africa,burden,hosp_YLD,NA,NA
new data (hospital-based + HUS),hosp_YLD_averted,114.0308,113,104,123,89,144,0.42497159102101684,0.42528735632183906,0.4,0.45042972566208117,0.3540838279985231,0.4962135345997286,6,2,ZAF,mAb,YLD hospitalised cases,South Africa,averted burden,hosp_YLD,266,266
new data (hospital-based + HUS),non_hosp_YLD,1472.3396,1466,1412,1525,1318,1666,NA,NA,NA,NA,NA,NA,6,2,ZAF,mAb,YLD non-hospitalised cases,South Africa,burden,non_hosp_YLD,NA,NA
new data (hospital-based + HUS),non_hosp_YLD_averted,284.3796,279,254,307,214,392,0.19255352654951507,0.19062808825605548,0.17666835243875026,0.20573257190027103,0.15202473134207764,0.24480658851426684,6,2,ZAF,mAb,YLD non-hospitalised cases,South Africa,averted burden,non_hosp_YLD,1464,1464
new data (hospital-based + HUS),total_DALY,41896.7884,41849,40902.75,42855.5,39252.675,44742.275,NA,NA,NA,NA,NA,NA,6,2,ZAF,mAb,total DALY,South Africa,burden,total_DALY,NA,NA
new data (hospital-based + HUS),total_DALY_averted,18240.3756,18273,17185.25,19268.5,15260.9,21258.05,0.4352041155129266,0.43688384945916214,0.41408128037649566,0.45659194966427263,0.3720413559657969,0.49287015225590974,6,2,ZAF,mAb,total DALY,South Africa,averted burden,total_DALY,41830,"41,830"
new data (hospital-based + HUS),total_YLD,2072.9394,2068,2004,2134,1890,2289,NA,NA,NA,NA,NA,NA,6,2,ZAF,mAb,total YLD,South Africa,burden,total_YLD,NA,NA
new data (hospital-based + HUS),total_YLD_averted,398.4014,394,363,426.25,314.975,515.0249999999996,0.19184832166812713,0.19063545150501673,0.17857142857142858,0.2033375988832015,0.1567390542075824,0.23435021720077734,6,2,ZAF,mAb,total YLD,South Africa,averted burden,total_YLD,2067,2067
new data (hospital-based + HUS),total_YLL,39823.8538,39771.5,38831,40761,37198,42659.075,NA,NA,NA,NA,NA,NA,6,2,ZAF,mAb,total YLL,South Africa,burden,total_YLL,NA,NA
new data (hospital-based + HUS),total_YLL_averted,17841.9756,17872.5,16793.75,18858,14901.8,20827.225,0.4478614141573766,0.4498818576060455,0.4259337658571766,0.47008126965245867,0.3826367624618124,0.5076984716517039,6,2,ZAF,mAb,total YLL,South Africa,averted burden,total_YLL,39730,"39,730"
new data (hospital-based + HUS),hosp_med_att_YLD,600.5904,598,580,619,547,665,NA,NA,NA,NA,NA,NA,3,2,ZAF,MV,YLD medically attended cases,South Africa,burden,hosp_med_att_YLD,NA,NA
new data (hospital-based + HUS),hosp_med_att_YLD_averted,59.67573514702941,59,53,65,43,83,0.0991234987357093,0.09836065573770492,0.08901772113967987,0.10815307820299501,0.07308218742042272,0.13008253077992205,3,2,ZAF,MV,YLD medically attended cases,South Africa,averted burden,hosp_med_att_YLD,600,600
new data (hospital-based + HUS),hosp_YLD,267.8916,266,256,279,237,305,NA,NA,NA,NA,NA,NA,3,2,ZAF,MV,YLD hospitalised cases,South Africa,burden,hosp_YLD,NA,NA
new data (hospital-based + HUS),hosp_YLD_averted,43.92738547709542,43,39,49,31,60,0.1636195700360569,0.16287878787878787,0.14728682170542637,0.17894736842105263,0.11956521739130435,0.21245421245421245,3,2,ZAF,MV,YLD hospitalised cases,South Africa,averted burden,hosp_YLD,264,264
new data (hospital-based + HUS),non_hosp_YLD,1472.3396,1466,1412,1525,1318,1666,NA,NA,NA,NA,NA,NA,3,2,ZAF,MV,YLD non-hospitalised cases,South Africa,burden,non_hosp_YLD,NA,NA
new data (hospital-based + HUS),non_hosp_YLD_averted,103.96799359871974,100,86,116,67,168,0.070270145496231,0.06824712643678162,0.05989503198589809,0.07833776167602743,0.046983409916855866,0.10487097283638663,3,2,ZAF,MV,YLD non-hospitalised cases,South Africa,averted burden,non_hosp_YLD,1465,1465
new data (hospital-based + HUS),total_DALY,41896.7884,41849,40902.75,42855.5,39252.675,44742.275,NA,NA,NA,NA,NA,NA,3,2,ZAF,MV,total DALY,South Africa,burden,total_DALY,NA,NA
new data (hospital-based + HUS),total_DALY_averted,5373.210642128426,5378,4004,6714,1512.7,9397.400000000001,0.1281818299867857,0.1281324857195504,0.09581279930051295,0.15990550376985002,0.03655155036459975,0.2215607356563588,3,2,ZAF,MV,total DALY,South Africa,averted burden,total_DALY,41970,"41,970"
new data (hospital-based + HUS),total_YLD,2072.9394,2068,2004,2134,1890,2289,NA,NA,NA,NA,NA,NA,3,2,ZAF,MV,total YLD,South Africa,burden,total_YLD,NA,NA
new data (hospital-based + HUS),total_YLD_averted,147.89097819563912,144,128,163,103,216.05000000000018,0.0711519056321552,0.0700144857556736,0.06266702374575969,0.0781586741662949,0.05121697295504891,0.09958745049613806,3,2,ZAF,MV,total YLD,South Africa,averted burden,total_YLD,2057,2057
