source,variable,price,source_num,country_iso,intervention,country_plot,vec,price_interv,orig_burden_round,money_unit,mean,median,CI50_low,CI50_high,CI95_low,CI95_high
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost (million US$),6,0.2,KEN,mAb,Kenya,7227000,6$ (mAb),7.2m,million USD,7.096,7.227,6.891,7.456,5.722,7.695
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY averted (thousand US$),6,0.2,KEN,mAb,Kenya,3069,6$ (mAb),3.1k,USD,4.01,3.069,1.851,5.078,0.688,13.015
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY disc averted (thousand US$),6,0.2,KEN,mAb,Kenya,1342,6$ (mAb),1.3k,USD,1.748,1.342,0.817,2.214,0.314,5.632
projection ([Li 2020] from [Shi 2017] meta-analysis),total medical cost averted (million US$),6,0.2,KEN,mAb,Kenya,638100,6$ (mAb),0.6m,million USD,0.769,0.638,0.409,0.974,0.171,2.144
new data (hospital-based + HUS),incremental cost (million US$),6,2,KEN,mAb,Kenya,5914000,6$ (mAb),5.9m,million USD,5.908,5.914,5.776,6.047,5.497,6.283
new data (hospital-based + HUS),total DALY averted (thousand US$),6,2,KEN,mAb,Kenya,36190,6$ (mAb),36.2k,USD,36.33,36.193,33.354,39.079,28.588,44.975
new data (hospital-based + HUS),total DALY disc averted (thousand US$),6,2,KEN,mAb,Kenya,15780,6$ (mAb),15.8k,USD,15.841,15.785,14.555,17.024,12.511,19.579
new data (hospital-based + HUS),total medical cost averted (million US$),6,2,KEN,mAb,Kenya,1951000,6$ (mAb),2m,million USD,1.957,1.951,1.818,2.089,1.582,2.368
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost (million US$),20,0.2,KEN,mAb,Kenya,25580000,20$ (mAb),25.6m,million USD,25.448,25.579,25.243,25.809,24.074,26.047
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY averted (thousand US$),20,0.2,KEN,mAb,Kenya,3069,20$ (mAb),3.1k,USD,4.01,3.069,1.851,5.078,0.688,13.015
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY disc averted (thousand US$),20,0.2,KEN,mAb,Kenya,1342,20$ (mAb),1.3k,USD,1.748,1.342,0.817,2.214,0.314,5.632
projection ([Li 2020] from [Shi 2017] meta-analysis),total medical cost averted (million US$),20,0.2,KEN,mAb,Kenya,638100,20$ (mAb),0.6m,million USD,0.769,0.638,0.409,0.974,0.171,2.144
new data (hospital-based + HUS),incremental cost (million US$),20,2,KEN,mAb,Kenya,24270000,20$ (mAb),24.3m,million USD,24.26,24.266,24.128,24.399,23.849,24.636
new data (hospital-based + HUS),total DALY averted (thousand US$),20,2,KEN,mAb,Kenya,36190,20$ (mAb),36.2k,USD,36.33,36.193,33.354,39.079,28.588,44.975
new data (hospital-based + HUS),total DALY disc averted (thousand US$),20,2,KEN,mAb,Kenya,15780,20$ (mAb),15.8k,USD,15.841,15.785,14.555,17.024,12.511,19.579
new data (hospital-based + HUS),total medical cost averted (million US$),20,2,KEN,mAb,Kenya,1951000,20$ (mAb),2m,million USD,1.957,1.951,1.818,2.089,1.582,2.368
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost (million US$),60,0.2,KEN,mAb,Kenya,78010000,60$ (mAb),78m,million USD,77.883,78.014,77.678,78.243,76.509,78.482
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY averted (thousand US$),60,0.2,KEN,mAb,Kenya,3069,60$ (mAb),3.1k,USD,4.01,3.069,1.851,5.078,0.688,13.015
projection ([Li 2020] from [Shi 2017] meta-analysis),total DALY disc averted (thousand US$),60,0.2,KEN,mAb,Kenya,1342,60$ (mAb),1.3k,USD,1.748,1.342,0.817,2.214,0.314,5.632
projection ([Li 2020] from [Shi 2017] meta-analysis),total medical cost averted (million US$),60,0.2,KEN,mAb,Kenya,638100,60$ (mAb),0.6m,million USD,0.769,0.638,0.409,0.974,0.171,2.144
new data (hospital-based + HUS),incremental cost (million US$),60,2,KEN,mAb,Kenya,76700000,60$ (mAb),76.7m,million USD,76.695,76.701,76.563,76.834,76.284,77.07
new data (hospital-based + HUS),total DALY averted (thousand US$),60,2,KEN,mAb,Kenya,36190,60$ (mAb),36.2k,USD,36.33,36.193,33.354,39.079,28.588,44.975
new data (hospital-based + HUS),total DALY disc averted (thousand US$),60,2,KEN,mAb,Kenya,15780,60$ (mAb),15.8k,USD,15.841,15.785,14.555,17.024,12.511,19.579
new data (hospital-based + HUS),total medical cost averted (million US$),60,2,KEN,mAb,Kenya,1951000,60$ (mAb),2m,million USD,1.957,1.951,1.818,2.089,1.582,2.368
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost (million US$),3,0.2,KEN,MV,Kenya,3858000,3$ (MV),3.9m,million USD,3.815,3.858,3.761,3.921,3.384,3.982
