source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,price,source_num,country_iso,intervention,country_plot,vec,price_interv,cnt_int
new data (hospital-based + HUS),incremental cost (million US$),3.9,3.9,3.7,4.1,3.4,4.4,6,2,KEN,mAb,Kenya,3900000,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),250.7,246.9,222.5,275.6,184.9,335.2,6,2,KEN,mAb,Kenya,247,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),intervention cost (million US$),7.9,7.9,7.9,7.9,7.9,7.9,6,2,KEN,mAb,Kenya,7865000,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),incremental cost (million US$),22.2,22.2,22.1,22.4,21.7,22.7,20,2,KEN,mAb,Kenya,22250000,20$ (mAb),"KEN
$20
mAb"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),1426.7,1411.1,1304.8,1539.6,1130.7,1807,20,2,KEN,mAb,Kenya,1411,20$ (mAb),"KEN
$20
mAb"
new data (hospital-based + HUS),intervention cost (million US$),26.2,26.2,26.2,26.2,26.2,26.2,20,2,KEN,mAb,Kenya,26220000,20$ (mAb),"KEN
$20
mAb"
new data (hospital-based + HUS),incremental cost (million US$),74.7,74.7,74.5,74.9,74.2,75.2,60,2,KEN,mAb,Kenya,74690000,60$ (mAb),"KEN
$60
mAb"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),4786.7,4736.4,4387.2,5146.9,3822.4,6025.8,60,2,KEN,mAb,Kenya,4736,60$ (mAb),"KEN
$60
mAb"
new data (hospital-based + HUS),intervention cost (million US$),78.7,78.7,78.7,78.7,78.7,78.7,60,2,KEN,mAb,Kenya,78650000,60$ (mAb),"KEN
$60
mAb"
new data (hospital-based + HUS),incremental cost (million US$),2.8,2.8,2.7,2.9,2.5,3,3,2,KEN,MV,Kenya,2776000,3$ (MV),"KEN
$3
MV"
