source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,norm_mean,norm_median,norm_CI50_low,norm_CI50_high,norm_CI95_low,norm_CI95_high,price,source_num,country_iso,intervention,plot_variable,country_plot,burden_interv,vartype,vec,orig_burden_round
new data (hospital-based + HUS),hosp_med_att_YLD,1954.6414,1951,1908,2001,1832.975,2087,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,YLD medically attended cases,Kenya,burden,hosp_med_att_YLD,NA,NA
new data (hospital-based + HUS),hosp_med_att_YLD_averted,170.3892,169,154,186,125,225,0.08714722283275948,0.08657025912428526,0.07903960269981047,0.09473821200580837,0.06489359218864851,0.11356688917194264,6,2,KEN,mAb,YLD medically attended cases,Kenya,averted burden,hosp_med_att_YLD,1952,1952
new data (hospital-based + HUS),hosp_YLD,176.284,176,170,183,159,198,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,YLD hospitalised cases,Kenya,burden,hosp_YLD,NA,NA
new data (hospital-based + HUS),hosp_YLD_averted,38.0662,39,28,48,8,65,0.21566072414322776,0.2197166994854856,0.15950920245398773,0.27380952380952384,0.045714285714285714,0.3611111111111111,6,2,KEN,mAb,YLD hospitalised cases,Kenya,averted burden,hosp_YLD,178,178
new data (hospital-based + HUS),non_hosp_YLD,2497.413,2494,2442,2550.25,2348,2655,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,YLD non-hospitalised cases,Kenya,burden,non_hosp_YLD,NA,NA
new data (hospital-based + HUS),non_hosp_YLD_averted,262.4484,263,228,295.25,165,360,0.10505380145738404,0.10578309088876012,0.09136038335143516,0.11819490004204668,0.06689813133264952,0.14172767398163572,6,2,KEN,mAb,YLD non-hospitalised cases,Kenya,averted burden,non_hosp_YLD,2486,2486
new data (hospital-based + HUS),total_DALY,142715.7144,142511.5,138009,147344.25,129272.6,156945.375,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,total DALY,Kenya,burden,total_DALY,NA,NA
new data (hospital-based + HUS),total_DALY_averted,23691.8286,24070,17418,30133.5,5429.675,40502.399999999994,0.16588273842250098,0.16863411077772544,0.12340348762907241,0.21052529296784556,0.038476080093297914,0.27998904843526734,6,2,KEN,mAb,total DALY,Kenya,averted burden,total_DALY,142700,",142,700"
new data (hospital-based + HUS),total_YLD,4452.047,4447,4357,4546,4199,4728,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,total YLD,Kenya,burden,total_YLD,NA,NA
new data (hospital-based + HUS),total_YLD_averted,300.5174,302,258,342,175,421.02499999999964,0.06748611247649627,0.06810200218785109,0.057871561045741184,0.07677261646198773,0.039919213697137884,0.09343410866543789,6,2,KEN,mAb,total YLD,Kenya,averted burden,total_YLD,4435,4435
new data (hospital-based + HUS),total_YLL,138263.6682,138049.5,133562.5,142827.5,124837.5,152464.175,NA,NA,NA,NA,NA,NA,6,2,KEN,mAb,total YLL,Kenya,burden,total_YLL,NA,NA
new data (hospital-based + HUS),total_YLL_averted,23391.3128,23756.5,17166.25,29796.75,5230.9000000000005,40104.974999999984,0.1690555684331761,0.17189445349657023,0.1256164342053706,0.2147469744273017,0.03838161354581825,0.2861395531625851,6,2,KEN,mAb,total YLL,Kenya,averted burden,total_YLL,138200,",138,200"
new data (hospital-based + HUS),hosp_med_att_YLD,1954.6414,1951,1908,2001,1832.975,2087,NA,NA,NA,NA,NA,NA,3,2,KEN,MV,YLD medically attended cases,Kenya,burden,hosp_med_att_YLD,NA,NA
new data (hospital-based + HUS),hosp_med_att_YLD_averted,87.85334133653461,88,79,97,62,113,0.044972684991125333,0.045,0.04039880623729239,0.0495673946918669,0.03159856242323903,0.05809003204081963,3,2,KEN,MV,YLD medically attended cases,Kenya,averted burden,hosp_med_att_YLD,1956,1956
