source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,price,source_num,country_iso,intervention,country_plot,vec,price_interv,orig_burden_round
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,3188.5,2309.5,1389.2,4003.5,479.3,11214.3,6,0.2,KEN,mAb,Kenya,2310,6$ (mAb),2.3
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,7183.1,5281.4,3188.4,9056.6,1106.9,24705.6,6,0.2,KEN,mAb,Kenya,5281,6$ (mAb),5.3
new data (hospital-based + HUS),incremental cost/DALY averted,109,107.5,97,119.2,80.5,146,6,2,KEN,mAb,Kenya,108,6$ (mAb),0.1
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,249.9,246.5,222.5,273.1,184.7,334.2,6,2,KEN,mAb,Kenya,246,6$ (mAb),0.2
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,11275,8250.6,5064.5,14090.3,1887.9,38912.7,20,0.2,KEN,mAb,Kenya,8251,20$ (mAb),8.3
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,25404.1,18909.5,11626.5,32007.5,4363.2,86403.3,20,0.2,KEN,mAb,Kenya,18910,20$ (mAb),18.9
new data (hospital-based + HUS),incremental cost/DALY averted,621.4,616,569,665.9,491.6,791.8,20,2,KEN,mAb,Kenya,616,20$ (mAb),0.6
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,1424.8,1412.7,1305.5,1525.8,1129.7,1810.3,20,2,KEN,mAb,Kenya,1413,20$ (mAb),1.4
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,34379.3,25237.5,15518.1,43014.7,5842.4,118085.8,60,0.2,KEN,mAb,Kenya,25240,60$ (mAb),25.2
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,77464.1,57719,35693.7,97747.5,13513.3,262247.6,60,0.2,KEN,mAb,Kenya,57720,60$ (mAb),57.7
new data (hospital-based + HUS),incremental cost/DALY averted,2085.3,2070.4,1915.1,2230.8,1660.4,2634.4,60,2,KEN,mAb,Kenya,2070,60$ (mAb),2.1
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,4781.4,4746.7,4395.3,5110.6,3817.5,6022,60,2,KEN,mAb,Kenya,4747,60$ (mAb),4.7
