source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,price,source_num,country_iso,intervention,country_plot,vec,price_interv,orig_burden_round
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,3143.7,2288.5,1368.1,3884.9,514.6,10581.3,6,0.2,KEN,mAb,Kenya,2288,6$ (mAb),2.3
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,7081.4,5242.5,3144.6,8815.1,1187.7,23376.1,6,0.2,KEN,mAb,Kenya,5242,6$ (mAb),5.2
new data (hospital-based + HUS),incremental cost/DALY averted,341.3,192.8,144.7,276.2,97.5,771.9,6,2,KEN,mAb,Kenya,193,6$ (mAb),0.2
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,631.6,440.9,331.6,629.5,223.6,1746.2,6,2,KEN,mAb,Kenya,441,6$ (mAb),0.4
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,11114.5,8226.3,4974.4,13751,1994.9,36937.7,20,0.2,KEN,mAb,Kenya,8226,20$ (mAb),8.2
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,25041.3,18816.5,11436,31203.8,4616,81129.9,20,0.2,KEN,mAb,Kenya,18820,20$ (mAb),18.8
new data (hospital-based + HUS),incremental cost/DALY averted,1554.2,961.8,767,1298.3,573.2,3236,20,2,KEN,mAb,Kenya,962,20$ (mAb),1
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,2951.3,2199.8,1755.7,2962.2,1315,7271.1,20,2,KEN,mAb,Kenya,2200,20$ (mAb),2.2
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,33888.2,25262.9,15250.9,41909.3,6193.1,111839.2,60,0.2,KEN,mAb,Kenya,25260,60$ (mAb),25.3
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,76355.3,57690.9,35030.2,95159,14302.4,246512.9,60,0.2,KEN,mAb,Kenya,57690,60$ (mAb),57.7
new data (hospital-based + HUS),incremental cost/DALY averted,5019.7,3159.7,2543.3,4221.2,1928.5,10280.3,60,2,KEN,mAb,Kenya,3160,60$ (mAb),3.2
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,9579.1,7226.1,5830.5,9629.6,4428.5,23201.1,60,2,KEN,mAb,Kenya,7226,60$ (mAb),7.2
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,5919.9,4148.6,2427.7,7234.7,836.8,21154.7,3,0.2,KEN,MV,Kenya,4149,3$ (MV),4.1
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,13353.3,9500.9,5579.8,16446.3,1928.4,46748.5,3,0.2,KEN,MV,Kenya,9501,3$ (MV),9.5
new data (hospital-based + HUS),incremental cost/DALY averted,54.4,50.4,42.1,62.9,29.9,112.4,3,2,KEN,MV,Kenya,50,3$ (MV),0.1
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,111.2,116,96.7,144.4,68.9,258.6,3,2,KEN,MV,Kenya,116,3$ (MV),0.1
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,20293,14367.2,8469.9,24772.9,3054.6,71560,10,0.2,KEN,MV,Kenya,14370,10$ (MV),14.4
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,45778.8,32830.8,19477,56371.6,7051.9,158876.9,10,0.2,KEN,MV,Kenya,32830,10$ (MV),32.8
new data (hospital-based + HUS),incremental cost/DALY averted,380.4,352.3,318.3,410.5,268.3,702.2,10,2,KEN,MV,Kenya,352,10$ (MV),0.4
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,771.4,810.4,732.5,943,618.2,1600.8,10,2,KEN,MV,Kenya,810,10$ (MV),0.8
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,61359.3,43487.8,25701.8,74823.6,9335.3,215831.2,30,0.2,KEN,MV,Kenya,43490,30$ (MV),43.5
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,138423.1,99517.7,59110.7,170217.9,21556.4,478680.2,30,0.2,KEN,MV,Kenya,99520,30$ (MV),99.5
new data (hospital-based + HUS),incremental cost/DALY averted,1311.6,1214.3,1099.9,1416,932.8,2416.2,30,2,KEN,MV,Kenya,1214,30$ (MV),1.2
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,2657.6,2793.5,2532.1,3251.7,2149.9,5498.1,30,2,KEN,MV,Kenya,2793,30$ (MV),2.8
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,2470.5,1678.3,856,3130.8,59,9539.9,6,0.2,ZAF,mAb,South Africa,1678,6$ (mAb),1.7
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,5330.4,3681,1888.5,6840.7,130.4,20059.1,6,0.2,ZAF,mAb,South Africa,3681,6$ (mAb),3.7
new data (hospital-based + HUS),incremental cost/DALY averted,-288,-404.4,-513.7,-240.6,-678.2,548.4,6,2,ZAF,mAb,South Africa,-404,6$ (mAb),-0.4
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,-657.7,-873.2,-1111.7,-517.8,-1468.6,1147.1,6,2,ZAF,mAb,South Africa,-873,6$ (mAb),-0.9
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,11109.7,8089.4,4809.3,13791.9,1748.3,37770.5,20,0.2,ZAF,mAb,South Africa,8089,20$ (mAb),8.1
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,23995.3,17732.4,10606.6,30066.3,3877.4,79903.2,20,0.2,ZAF,mAb,South Africa,17730,20$ (mAb),17.7
new data (hospital-based + HUS),incremental cost/DALY averted,1291.7,830.7,525,1371.3,199.5,4147,20,2,ZAF,mAb,South Africa,831,20$ (mAb),0.8
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,2634.3,1789.2,1136.9,2933.5,433.2,8710.2,20,2,ZAF,mAb,South Africa,1789,20$ (mAb),1.8
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,35793.2,26546.7,15957.7,44305.9,6316.4,118747.8,60,0.2,ZAF,mAb,South Africa,26550,60$ (mAb),26.5
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,77323.7,58158.4,35138.9,96337.7,14005.3,252282.2,60,0.2,ZAF,mAb,South Africa,58160,60$ (mAb),58.2
new data (hospital-based + HUS),incremental cost/DALY averted,5804.9,4372.9,3469.5,6034.7,2484.5,14744,60,2,ZAF,mAb,South Africa,4373,60$ (mAb),4.4
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,12040,9443.8,7509.2,12951.8,5381.7,30944.9,60,2,ZAF,mAb,South Africa,9444,60$ (mAb),9.4
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,5556,3747.2,2059.1,6844.1,518.5,20951.5,3,0.2,ZAF,MV,South Africa,3747,3$ (MV),3.7
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,12019.4,8221.8,4526.7,14943.5,1146.8,44804.2,3,0.2,ZAF,MV,South Africa,8222,3$ (MV),8.2
new data (hospital-based + HUS),incremental cost/DALY averted,-735.6,-724.2,-871,-604.1,-1416.4,-360.3,3,2,ZAF,MV,South Africa,-724,3$ (MV),-0.7
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,-1718.7,-1572.2,-1889.7,-1314.3,-3038.6,-793.3,3,2,ZAF,MV,South Africa,-1572,3$ (MV),-1.6
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,21053.6,14715.8,8595.4,25760.5,2968.9,75806.3,10,0.2,ZAF,MV,South Africa,14720,10$ (MV),14.7
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,45562.3,32312.1,18907,56217.7,6585.1,159925.4,10,0.2,ZAF,MV,South Africa,32310,10$ (MV),32.3
new data (hospital-based + HUS),incremental cost/DALY averted,-197.9,-210.1,-311.9,-94.9,-573.8,145.6,10,2,ZAF,MV,South Africa,-210,10$ (MV),-0.2
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,-466.1,-457,-677.5,-206.7,-1238.6,314.2,10,2,ZAF,MV,South Africa,-457,10$ (MV),-0.5
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,65332.2,46174.3,27224,79739,9808.3,230952.9,30,0.2,ZAF,MV,South Africa,46170,30$ (MV),46.2
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,141399.2,101384.2,59954.4,173860.2,21772.8,493415.3,30,0.2,ZAF,MV,South Africa,101400,30$ (MV),101.4
new data (hospital-based + HUS),incremental cost/DALY averted,1338.2,1266.4,1124,1502.6,912.1,2395.1,30,2,ZAF,MV,South Africa,1266,30$ (MV),1.3
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,3112.8,2755.9,2444.3,3263.2,1985.7,5203.7,30,2,ZAF,MV,South Africa,2756,30$ (MV),2.8
