source,variable,price,source_num,country_iso,intervention,country_plot,vec,price_interv,cnt_int,mean,median,CI50_low,CI50_high,CI95_low,CI95_high
new data (hospital-based + HUS),incremental cost (million US$),6,2,KEN,mAb,Kenya,3875000,6$(mAb),KEN $6 mAb,3.9,3.9,3.7,4.1,3.3,4.4
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),6,2,KEN,mAb,Kenya,325,6$(mAb),KEN $6 mAb,324.5,326,289.8,366.5,229.1,459.6
new data (hospital-based + HUS),intervention cost (million US$),6,2,KEN,mAb,Kenya,7865000,6$(mAb),KEN $6 mAb,7.9,7.9,7.9,7.9,7.9,7.9
new data (hospital-based + HUS),total DALY averted (US$),6,2,KEN,mAb,Kenya,27160,6$(mAb),KEN $6 mAb,27295.1,27164.5,25266,29255.2,21803.8,33365.2
new data (hospital-based + HUS),total DALY (disc) averted (US$),6,2,KEN,mAb,Kenya,11900,6$(mAb),KEN $6 mAb,11955.1,11900.5,11077,12803.2,9573,14576.1
new data (hospital-based + HUS),total medical cost averted (million US$),6,2,KEN,mAb,Kenya,3990000,6$(mAb),KEN $6 mAb,4,4,3.8,4.2,3.5,4.5
new data (hospital-based + HUS),incremental cost/DALY averted (US$),6,2,KEN,mAb,Kenya,142,6$(mAb),KEN $6 mAb,142.2,142.8,126.8,160.7,100.1,201.8
new data (hospital-based + HUS),incremental cost (million US$),3,2,KEN,MV,Kenya,1527000,3$(MV),KEN $3 MV,1.6,1.5,1.3,1.8,1,2.3
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),3,2,KEN,MV,Kenya,150,3$(MV),KEN $3 MV,153.5,143.8,114.9,193,74.2,428.1
new data (hospital-based + HUS),intervention cost (million US$),3,2,KEN,MV,Kenya,4023000,3$(MV),KEN $3 MV,4,4,4,4,4,4
new data (hospital-based + HUS),total DALY averted (US$),3,2,KEN,MV,Kenya,24240,3$(MV),KEN $3 MV,23290.3,24241,20858.5,26568.5,12204.3,30674
new data (hospital-based + HUS),total DALY (disc) averted (US$),3,2,KEN,MV,Kenya,10570,3$(MV),KEN $3 MV,10160.5,10567,9117,11577.5,5396.2,13334.5
new data (hospital-based + HUS),total medical cost averted (million US$),3,2,KEN,MV,Kenya,2496000,3$(MV),KEN $3 MV,2.5,2.5,2.3,2.7,1.7,3
new data (hospital-based + HUS),incremental cost/DALY averted (US$),3,2,KEN,MV,Kenya,65,3$(MV),KEN $3 MV,67,62.7,50.1,84.4,32.3,189.3
new data (hospital-based + HUS),incremental cost (million US$),6,2,ZAF,mAb,South Africa,10680000,6$(mAb),ZAF $6 mAb,-10.7,-10.7,-11.9,-9.5,-14.2,-7.4
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),6,2,ZAF,mAb,South Africa,1254,6$(mAb),ZAF $6 mAb,-1261.6,-1256.8,-1321.7,-1182.6,-1439,-1044.9
new data (hospital-based + HUS),intervention cost (million US$),6,2,ZAF,mAb,South Africa,6447000,6$(mAb),ZAF $6 mAb,6.4,6.4,6.4,6.4,6.4,6.4
