source,variable,price,source_num,country_iso,intervention,country_plot,vec,price_interv,cnt_int,mean,median,CI50_low,CI50_high,CI95_low,CI95_high
new data (hospital-based + HUS),incremental cost (million US$),6,2,KEN,mAb,Kenya,3880000,6$(mAb),KEN $6 mAb,3.9,3.9,3.7,4.1,3.3,4.4
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),6,2,KEN,mAb,Kenya,325,6$(mAb),KEN $6 mAb,324.5,326.1,289,366.5,228.9,461
new data (hospital-based + HUS),intervention cost (million US$),6,2,KEN,mAb,Kenya,7865000,6$(mAb),KEN $6 mAb,7.9,7.9,7.9,7.9,7.9,7.9
new data (hospital-based + HUS),total DALY averted (US$),6,2,KEN,mAb,Kenya,27160,6$(mAb),KEN $6 mAb,27295.5,27158,25265,29260.2,21775,33337.1
new data (hospital-based + HUS),total DALY (disc) averted (US$),6,2,KEN,mAb,Kenya,11900,6$(mAb),KEN $6 mAb,11955.1,11899,11076.8,12802.5,9566.9,14547.2
new data (hospital-based + HUS),total medical cost averted (million US$),6,2,KEN,mAb,Kenya,3985000,6$(mAb),KEN $6 mAb,4,4,3.8,4.2,3.5,4.5
new data (hospital-based + HUS),incremental cost/DALY averted (US$),6,2,KEN,mAb,Kenya,142,6$(mAb),KEN $6 mAb,142.1,142.9,126.5,160.7,99.9,202.5
new data (hospital-based + HUS),incremental cost (million US$),3,2,KEN,MV,Kenya,2775000,3$(MV),KEN $3 MV,2.8,2.8,2.7,2.9,2.4,3.1
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),3,2,KEN,MV,Kenya,734,3$(MV),KEN $3 MV,729.7,735.5,558.8,1033.2,361.2,2998.6
new data (hospital-based + HUS),intervention cost (million US$),3,2,KEN,MV,Kenya,4023000,3$(MV),KEN $3 MV,4,4,4,4,4,4
new data (hospital-based + HUS),total DALY averted (US$),3,2,KEN,MV,Kenya,8594,3$(MV),KEN $3 MV,8658.2,8594,6315,10897,2224.9,15546.5
new data (hospital-based + HUS),total DALY (disc) averted (US$),3,2,KEN,MV,Kenya,3766,3$(MV),KEN $3 MV,3796,3766,2787.5,4760.5,1023.8,6754.9
new data (hospital-based + HUS),total medical cost averted (million US$),3,2,KEN,MV,Kenya,1248000,3$(MV),KEN $3 MV,1.2,1.2,1.1,1.4,0.9,1.6
new data (hospital-based + HUS),incremental cost/DALY averted (US$),3,2,KEN,MV,Kenya,322,3$(MV),KEN $3 MV,319.9,322.3,244.1,456.1,156.9,1379.8
new data (hospital-based + HUS),incremental cost (million US$),6,2,ZAF,mAb,South Africa,10710000,6$(mAb),ZAF $6 mAb,-10.7,-10.7,-11.9,-9.5,-14.3,-7.3
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),6,2,ZAF,mAb,South Africa,1254,6$(mAb),ZAF $6 mAb,-1263.9,-1258.3,-1326.7,-1186.2,-1455.7,-1034.4
new data (hospital-based + HUS),intervention cost (million US$),6,2,ZAF,mAb,South Africa,6447000,6$(mAb),ZAF $6 mAb,6.4,6.4,6.4,6.4,6.4,6.4
new data (hospital-based + HUS),total DALY averted (US$),6,2,ZAF,mAb,South Africa,18420,6$(mAb),ZAF $6 mAb,18395.7,18425,17340.5,19469,15338,21374.4
new data (hospital-based + HUS),total DALY (disc) averted (US$),6,2,ZAF,mAb,South Africa,8504,6$(mAb),ZAF $6 mAb,8489.4,8503.5,8009,8977.2,7096,9844.2
new data (hospital-based + HUS),total medical cost averted (million US$),6,2,ZAF,mAb,South Africa,17150000,6$(mAb),ZAF $6 mAb,17.2,17.1,15.9,18.4,13.8,20.8
new data (hospital-based + HUS),incremental cost/DALY averted (US$),6,2,ZAF,mAb,South Africa,579,6$(mAb),ZAF $6 mAb,-583.3,-580.7,-611.7,-547.9,-670.4,-478.6
new data (hospital-based + HUS),incremental cost (million US$),3,2,ZAF,MV,South Africa,3930000,3$(MV),ZAF $3 MV,-4,-3.9,-4.7,-3.2,-6.4,-1.9
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),3,2,ZAF,MV,South Africa,1564,3$(MV),ZAF $3 MV,-1576.6,-1562,-1666.2,-1502,-2510.1,-1478.4
new data (hospital-based + HUS),intervention cost (million US$),3,2,ZAF,MV,South Africa,3281000,3$(MV),ZAF $3 MV,3.3,3.3,3.3,3.3,3.3,3.3
new data (hospital-based + HUS),total DALY averted (US$),3,2,ZAF,MV,South Africa,5413,3$(MV),ZAF $3 MV,5427.9,5413,4061,6791,1474.4,9446.1
new data (hospital-based + HUS),total DALY (disc) averted (US$),3,2,ZAF,MV,South Africa,2516,3$(MV),ZAF $3 MV,2524.4,2516,1908.5,3142.5,745,4329.1
new data (hospital-based + HUS),total medical cost averted (million US$),3,2,ZAF,MV,South Africa,7211000,3$(MV),ZAF $3 MV,7.3,7.2,6.5,8,5.2,9.7
new data (hospital-based + HUS),incremental cost/DALY averted (US$),3,2,ZAF,MV,South Africa,726,3$(MV),ZAF $3 MV,-733.2,-726,-783.1,-695,-1268.3,-677.5
