source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,price,source_num,country_iso,intervention,country_plot,vec,price_interv,orig_burden_round
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,1976.2,1502.3,888.6,2473.8,319.2,6515.5,6,0.2,KEN,mAb,Kenya,1502,6$ (mAb),1.5
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,4460,3447.6,2049,5625.7,740.6,14371.1,6,0.2,KEN,mAb,Kenya,3448,6$ (mAb),3.4
new data (hospital-based + HUS),incremental cost/DALY averted,90.3,90.1,85.5,94.8,77.1,104.9,6,2,KEN,mAb,Kenya,90,6$ (mAb),0.1
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,207.9,207.5,197,218.2,177.7,241.3,6,2,KEN,mAb,Kenya,208,6$ (mAb),0.2
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,7313.6,5615.9,3465.5,9092.8,1382.2,23385.5,20,0.2,KEN,mAb,Kenya,5616,20$ (mAb),5.6
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,16511.3,12915.9,8001.9,20671.2,3203.9,51468.4,20,0.2,KEN,mAb,Kenya,12920,20$ (mAb),12.9
new data (hospital-based + HUS),incremental cost/DALY averted,410.6,410.1,390.9,428.9,359.1,468.7,20,2,KEN,mAb,Kenya,410,20$ (mAb),0.4
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,945.5,944.1,900.5,987,827.9,1077.9,20,2,KEN,mAb,Kenya,944,20$ (mAb),0.9
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,22563.1,17376.1,10786.3,28119.8,4362.6,72018.2,60,0.2,KEN,mAb,Kenya,17380,60$ (mAb),17.4
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,50943.6,39923.6,24941.9,63945.5,10099.1,156440.9,60,0.2,KEN,mAb,Kenya,39920,60$ (mAb),39.9
new data (hospital-based + HUS),incremental cost/DALY averted,1325.9,1323.3,1263.7,1384.4,1162,1511.6,60,2,KEN,mAb,Kenya,1323,60$ (mAb),1.3
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,3052.8,3047,2910.9,3186.4,2678.5,3476.7,60,2,KEN,mAb,Kenya,3047,60$ (mAb),3
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,2543,1897.3,1112.6,3192.2,399.6,8475.1,3,0.2,KEN,MV,Kenya,1897,3$ (MV),1.9
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,5730.8,4345.1,2559.9,7228,925.1,18811.6,3,0.2,KEN,MV,Kenya,4345,3$ (MV),4.3
new data (hospital-based + HUS),incremental cost/DALY averted,214.7,213,195,232.3,163.8,278.5,3,2,KEN,MV,Kenya,213,3$ (MV),0.2
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,492.2,488.2,447.5,532.3,376.7,635.9,3,2,KEN,MV,Kenya,488,3$ (MV),0.5
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,9142,6936.6,4145.4,11419.8,1604.4,29836.7,10,0.2,KEN,MV,Kenya,6937,10$ (MV),6.9
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,20607.2,15862.7,9532.5,25915.7,3715.9,66131.3,10,0.2,KEN,MV,Kenya,15860,10$ (MV),15.9
new data (hospital-based + HUS),incremental cost/DALY averted,854.4,847.1,776.9,924.8,657,1100.1,10,2,KEN,MV,Kenya,847,10$ (MV),0.8
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,1958.3,1941.5,1782.9,2118.3,1509.6,2512.9,10,2,KEN,MV,Kenya,1941,10$ (MV),1.9
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,27996.4,21298.3,12815.7,34978.2,5006.1,91828.5,30,0.2,KEN,MV,Kenya,21300,30$ (MV),21.3
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,63111.1,48710,29477.6,79401,11596.3,201985.9,30,0.2,KEN,MV,Kenya,48710,30$ (MV),48.7
new data (hospital-based + HUS),incremental cost/DALY averted,2681.9,2656.8,2438.1,2901.3,2062.7,3447.4,30,2,KEN,MV,Kenya,2657,30$ (MV),2.7
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,6147.3,6094.9,5597.7,6643,4739.4,7879.4,30,2,KEN,MV,Kenya,6095,30$ (MV),6.1
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,1058.1,703.1,228.6,1461.6,-468.5,4824,6,0.2,ZAF,mAb,South Africa,703,6$ (mAb),0.7
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,2280.4,1536.6,505,3189,-1031.6,10157,6,0.2,ZAF,mAb,South Africa,1537,6$ (mAb),1.5
new data (hospital-based + HUS),incremental cost/DALY averted,-565.1,-562.2,-608.9,-518.1,-708.9,-440.1,6,2,ZAF,mAb,South Africa,-562,6$ (mAb),-0.6
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,-1227.1,-1220.5,-1321.8,-1125.2,-1536.8,-956.7,6,2,ZAF,mAb,South Africa,-1221,6$ (mAb),-1.2
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,6843.1,5165.4,3091.5,8610.7,1031.2,22507.6,20,0.2,ZAF,mAb,South Africa,5165,20$ (mAb),5.2
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,14794.4,11351,6830.7,18739.8,2300.2,47493.4,20,0.2,ZAF,mAb,South Africa,11350,20$ (mAb),11.4
new data (hospital-based + HUS),incremental cost/DALY averted,82.5,84.6,40.5,126.4,-51.4,199.1,20,2,ZAF,mAb,South Africa,85,20$ (mAb),0.1
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,179.3,183.7,87.9,274.7,-111.7,432.8,20,2,ZAF,mAb,South Africa,184,20$ (mAb),0.2
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,23371.9,17943.1,11015.3,29206.8,4322.9,74797.8,60,0.2,ZAF,mAb,South Africa,17940,60$ (mAb),17.9
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,50548.9,39442.6,24382.9,63641.7,9606.8,157422,60,0.2,ZAF,mAb,South Africa,39440,60$ (mAb),39.4
new data (hospital-based + HUS),incremental cost/DALY averted,1932.9,1932.4,1858.3,2005.1,1724.5,2149.7,60,2,ZAF,mAb,South Africa,1932,60$ (mAb),1.9
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,4197.6,4196.4,4036.4,4352.5,3745.8,4661.6,60,2,ZAF,mAb,South Africa,4196,60$ (mAb),4.2
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,1748.1,1188.8,543.8,2258.4,-159.9,7118.4,3,0.2,ZAF,MV,South Africa,1189,3$ (MV),1.2
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,3770.2,2604.4,1195.2,4933.2,-353.9,15171,3,0.2,ZAF,MV,South Africa,2604,3$ (MV),2.6
new data (hospital-based + HUS),incremental cost/DALY averted,-522.5,-513.1,-591.3,-443.8,-767.5,-322.9,3,2,ZAF,MV,South Africa,-513,3$ (MV),-0.5
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,-1135.7,-1115.4,-1283.9,-966.1,-1666.1,-704.6,3,2,ZAF,MV,South Africa,-1115,3$ (MV),-1.1
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,8863.5,6570.7,3866.4,11140.9,1336.3,30023,10,0.2,ZAF,MV,South Africa,6571,10$ (MV),6.6
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,19146.2,14409.2,8523.4,24220.3,2960.3,63150.1,10,0.2,ZAF,MV,South Africa,14410,10$ (MV),14.4
new data (hospital-based + HUS),incremental cost/DALY averted,391.7,393.9,319.2,466.2,173.3,598.7,10,2,ZAF,MV,South Africa,394,10$ (MV),0.4
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,851.5,856.4,693.5,1014.3,376.2,1300.7,10,2,ZAF,MV,South Africa,856,10$ (MV),0.9
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY averted,29193.4,22120.7,13241.4,36583.3,5096.6,96757.8,30,0.2,ZAF,MV,South Africa,22120,30$ (MV),22.1
projection ([Li 2020] from [Shi 2017] meta-analysis),incremental cost/DALY (discounted) averted,63077.6,48509.4,29200.1,79551.3,11295.9,204121.9,30,0.2,ZAF,MV,South Africa,48510,30$ (MV),48.5
new data (hospital-based + HUS),incremental cost/DALY averted,3003.7,2995.5,2795.2,3197.8,2445.9,3623.2,30,2,ZAF,MV,South Africa,2996,30$ (MV),3
new data (hospital-based + HUS),incremental cost/DALY (discounted) averted,6529.1,6513.8,6080.2,6940.5,5330.4,7864.4,30,2,ZAF,MV,South Africa,6514,30$ (MV),6.5
