source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,price,source_num,country_iso,intervention,country_plot,vec,price_interv,cnt_int
new data (hospital-based + HUS),incremental cost (million US$),2.2,2.2,2.07,2.32,1.81,2.56,6,2,KEN,mAb,Kenya,2198000,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),116.59,116.12,107.89,125.28,91.76,143.49,6,2,KEN,mAb,Kenya,116,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),intervention cost (million US$),7.87,7.87,7.87,7.87,7.87,7.87,6,2,KEN,mAb,Kenya,7865000,6$ (mAb),"KEN
$6
mAb"
new data (hospital-based + HUS),incremental cost (million US$),20.55,20.55,20.43,20.68,20.17,20.91,20,2,KEN,mAb,Kenya,20550000,20$ (mAb),"KEN
$20
mAb"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),1090.69,1088.82,1037.72,1140.03,947.13,1245.18,20,2,KEN,mAb,Kenya,1089,20$ (mAb),"KEN
$20
mAb"
new data (hospital-based + HUS),intervention cost (million US$),26.22,26.22,26.22,26.22,26.22,26.22,20,2,KEN,mAb,Kenya,26220000,20$ (mAb),"KEN
$20
mAb"
new data (hospital-based + HUS),incremental cost (million US$),72.98,72.99,72.86,73.11,72.6,73.35,60,2,KEN,mAb,Kenya,72990000,60$ (mAb),"KEN
$60
mAb"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),3873.81,3866.14,3686.65,4047.59,NA,NA,60,2,KEN,mAb,Kenya,3866,60$ (mAb),"KEN
$60
mAb"
new data (hospital-based + HUS),intervention cost (million US$),78.65,78.65,78.65,78.65,78.65,78.65,60,2,KEN,mAb,Kenya,78650000,60$ (mAb),"KEN
$60
mAb"
new data (hospital-based + HUS),incremental cost (million US$),-1.68,-1.68,-1.82,-1.54,-2.1,-1.28,3,2,KEN,MV,Kenya,1675000,3$ (MV),"KEN
$3
MV"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),-57.61,-57.29,-62.86,-52.05,-74.19,-42.94,3,2,KEN,MV,Kenya,57,3$ (MV),"KEN
$3
MV"
new data (hospital-based + HUS),intervention cost (million US$),4.02,4.02,4.02,4.02,4.02,4.02,3,2,KEN,MV,Kenya,4023000,3$ (MV),"KEN
$3
MV"
new data (hospital-based + HUS),incremental cost (million US$),7.71,7.71,7.57,7.85,7.28,8.1,10,2,KEN,MV,Kenya,7712000,10$ (MV),"KEN
$10
MV"
new data (hospital-based + HUS),incremental cost/DALY (disc) averted (US$),264.04,263.41,251.56,276.32,230.19,299.44,10,2,KEN,MV,Kenya,263,10$ (MV),"KEN
$10
MV"
new data (hospital-based + HUS),intervention cost (million US$),13.41,13.41,13.41,13.41,13.41,13.41,10,2,KEN,MV,Kenya,13410000,10$ (MV),"KEN
$10
MV"
new data (hospital-based + HUS),incremental cost (million US$),34.53,34.53,34.39,34.67,34.11,34.93,30,2,KEN,MV,Kenya,34530000,30$ (MV),"KEN
$30
MV"
