source,variable,mean,median,CI50_low,CI50_high,CI95_low,CI95_high,norm_mean,norm_median,norm_CI50_low,norm_CI50_high,norm_CI95_low,norm_CI95_high,price,source_num,country_iso,intervention
"projection ([Li 2020] from [Shi 2017] meta-analysis, community-based)",admin_cost,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,6,0.2,KEN,mAb
"projection ([Li 2020] from [Shi 2017] meta-analysis, community-based)",ARI_0to1y_averted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.2,KEN,mAb
"projection ([Li 2020] from [Shi 2017] meta-analysis, community-based)",ARI_0to1y_disc_averted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.2,KEN,mAb
"projection ([Li 2020] from [Shi 2017] meta-analysis, community-based)",ARI_0to1y_YLD_averted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.2,KEN,mAb
"projection ([Li 2020] from [Shi 2017] meta-analysis, community-based)",ARI_0to1y_YLD_disc_averted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.2,KEN,mAb
"projection ([Li 2020] from [Shi 2017] meta-analysis, community-based)",ARI_1to5y_averted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.2,KEN,mAb
"projection ([Li 2020] from [Shi 2017] meta-analysis, community-based)",ARI_1to5y_disc_averted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.2,KEN,mAb
"projection ([Li 2020] from [Shi 2017] meta-analysis, community-based)",ARI_1to5y_YLD_averted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.2,KEN,mAb
"projection ([Li 2020] from [Shi 2017] meta-analysis, community-based)",ARI_1to5y_YLD_disc_averted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.2,KEN,mAb
"projection ([Li 2020] from [Shi 2017] meta-analysis, community-based)",ARI_averted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.2,KEN,mAb
"projection ([Li 2020] from [Shi 2017] meta-analysis, community-based)",ARI_disc_averted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.2,KEN,mAb
"projection ([Li 2020] from [Shi 2017] meta-analysis, community-based)",ARI_YLD_averted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.2,KEN,mAb
"projection ([Li 2020] from [Shi 2017] meta-analysis, community-based)",ARI_YLD_disc_averted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.2,KEN,mAb
"projection ([Li 2020] from [Shi 2017] meta-analysis, community-based)",comm_CFR_adj,2.100795,2.1022499999999997,1.755,2.4400500000000003,1.4496,2.7645,NA,NA,NA,NA,NA,NA,6,0.2,KEN,mAb
"projection ([Li 2020] from [Shi 2017] meta-analysis, community-based)",cost_rsv_hosp,5796444.6516,4735684.5,3049850,7369206.25,1244434.175,16534043.275,NA,NA,NA,NA,NA,NA,6,0.2,KEN,mAb
