variable,source,meanvals,medianval,stdevvals,min_q,max_q,country,age_distrib
cost_rsv_hosp_0to1y,mcmarcel,5782090.5,4242108.5,5346085.9,1030349.9,11958517.6,AGO,ZAF
cost_rsv_hosp_0to1y,own,13274658.9,9903415,11779332.3,2478424.2,27249828.5,AGO,ZAF
hosp_cases,mcmarcel,24467,20622.5,15866,7102.9,44829.1,AGO,ZAF
hosp_cases,own,25171.5,21192,16320.3,7314.9,45999.9,AGO,ZAF
hosp_cases_averted,mcmarcel,934.4,751,692.1,232,1783,AGO,ZAF
hosp_cases_averted,own,5885.2,4955,3815.8,1710,10754.7,AGO,ZAF
incremental_cost_0to1y,mcmarcel,609977.5,934319.5,1175559.1,-1603364.9,1640025,AGO,ZAF
incremental_cost_0to1y,own,-7376447.4,-5644970,6696669.6,-19874554.6,-1189953.3,AGO,ZAF
net_cost/DALY_averted,mcmarcel,801,542.7,1796.5,-747.7,2448.6,AGO,ZAF
net_cost/DALY_averted,own,-731.7,-432.3,1412.7,-2310.1,-105.2,AGO,ZAF
rsv_cases,mcmarcel,284794.1,284798,95.2,284633,284911,AGO,ZAF
rsv_cases,own,293001.7,293037.5,888.4,291492.9,294087,AGO,ZAF
rsv_deaths,mcmarcel,536.7,426.5,402.7,129,1036,AGO,ZAF
rsv_deaths,own,830,656,638.4,199,1583,AGO,ZAF
rsv_deaths_averted,mcmarcel,30.4,23,26.2,6,60.1,AGO,ZAF
rsv_deaths_averted,own,236.3,186,190.1,53,457,AGO,ZAF
total_DALY_0to1y,mcmarcel,15646.3,12327,12166,3770.3,29990.7,AGO,ZAF
total_DALY_0to1y,own,46836.9,37021,36253.5,11311.9,89227.7,AGO,ZAF
total_DALY_0to1y_averted,mcmarcel,1918.5,1459,1642.2,410,3803.8,AGO,ZAF
total_DALY_0to1y_averted,own,14821.7,11662,11820.6,3433.9,28576.2,AGO,ZAF
total_medical_cost_0to1y,mcmarcel,14554470.1,11791454,10637314.5,3803475.6,27409791.4,AGO,ZAF
total_medical_cost_0to1y,own,33459366.9,27357010.5,23601505.3,9125671.6,62145185.4,AGO,ZAF
total_medical_cost_averted,mcmarcel,1507305.4,1182963.5,1175559.1,356825.6,2885410.2,AGO,ZAF
total_medical_cost_averted,own,9493730.3,7762253,6696669.6,2589309.1,17633018,AGO,ZAF
cost_rsv_hosp_0to1y,mcmarcel,291243.4,213308,261790.1,56045.8,596056.2,BEN,ZAF
cost_rsv_hosp_0to1y,own,670148.4,499853.5,575928.1,132440.9,1377874.8,BEN,ZAF
hosp_cases,mcmarcel,8555.9,7211.5,5548.3,2484,15677.3,BEN,ZAF
hosp_cases,own,8817,7422,5716.5,2562.9,16111.2,BEN,ZAF
hosp_cases_averted,mcmarcel,547.6,440,405.6,136,1045,BEN,ZAF
hosp_cases_averted,own,3450.2,2904.5,2237,1003,6305,BEN,ZAF
incremental_cost_0to1y,mcmarcel,1062319.9,1081701.5,78285.7,920469.7,1131942.7,BEN,ZAF
incremental_cost_0to1y,own,511873.2,613414,432482.4,-285647.3,925762.8,BEN,ZAF
net_cost/DALY_averted,mcmarcel,1721.4,1259.9,1539.7,343.2,3512.2,BEN,ZAF
net_cost/DALY_averted,own,116.9,82.8,161.9,-26.5,281.5,BEN,ZAF
rsv_cases,mcmarcel,99590.6,99592,29.5,99540.9,99627,BEN,ZAF
rsv_cases,own,102631.4,102644.5,329.6,102072,103035,BEN,ZAF
rsv_deaths,mcmarcel,187.7,149,140.9,45,362.1,BEN,ZAF
rsv_deaths,own,290.8,230,223.7,70,555,BEN,ZAF
rsv_deaths_averted,mcmarcel,17.8,13,15.4,4,35.1,BEN,ZAF
rsv_deaths_averted,own,138.6,109,111.5,31,268,BEN,ZAF
total_DALY_0to1y,mcmarcel,5428.7,4278,4220.3,1308.8,10403.4,BEN,ZAF
total_DALY_0to1y,own,16251.3,12847,12577.7,3926,30970.4,BEN,ZAF
total_DALY_0to1y_averted,mcmarcel,1113.2,846.5,952.7,238,2206.5,BEN,ZAF
total_DALY_0to1y_averted,own,8600.9,6768.5,6858.7,1993,16584.3,BEN,ZAF
total_medical_cost_0to1y,mcmarcel,597930.7,499708,414870.6,165993.8,1078575.3,BEN,ZAF
total_medical_cost_0to1y,own,1377957,1164037,911126.3,395677.2,2501408.5,BEN,ZAF
total_medical_cost_averted,mcmarcel,103625.3,84244,78285.7,25626.3,191666.7,BEN,ZAF
total_medical_cost_averted,own,654072,552531,432482.4,187815.5,1187339,BEN,ZAF
cost_rsv_hosp_0to1y,mcmarcel,445021.7,324771.5,423983,78829.2,898348.8,BFA,ZAF
cost_rsv_hosp_0to1y,own,1019101.6,753380.5,924298.2,184957.2,2055489.3,BFA,ZAF
hosp_cases,mcmarcel,16542.4,13944,10727.1,4802,30303.5,BFA,ZAF
hosp_cases,own,16947.8,14274,10988.5,4924.9,30973.1,BFA,ZAF
hosp_cases_averted,mcmarcel,1061.4,853,786.3,264,2025.1,BFA,ZAF
hosp_cases_averted,own,6678.8,5625,4330.4,1940.9,12206.3,BFA,ZAF
incremental_cost_0to1y,mcmarcel,1909535.3,1962360,193472.6,1550119.6,2074830.5,BFA,ZAF
incremental_cost_0to1y,own,674573.4,939524.5,1065080.9,-1351896.9,1656857.4,BFA,ZAF
net_cost/DALY_averted,mcmarcel,1598.2,1165.8,1438.5,317.5,3245.3,BFA,ZAF
net_cost/DALY_averted,own,81.8,60.1,157.9,-93.7,240.9,BFA,ZAF
rsv_cases,mcmarcel,192552.5,192556,87.8,192403,192660,BFA,ZAF
rsv_cases,own,197275.4,197297.5,549.5,196341.9,197947,BFA,ZAF
rsv_deaths,mcmarcel,362.7,288,272.1,87,700.1,BFA,ZAF
