variable,source,meanvals,medianval,stdevvals,min_q,max_q,country,age_distrib,intervention
cost_rsv_hosp_0to1y,mcmarcel,5893819.4,4322629.5,5433493.7,1062616.3,11993227,AGO,KEN,monocl_Ab
cost_rsv_hosp_0to1y,own,11499097.5,8620986.5,10257560.9,2122031.9,23258513.7,AGO,KEN,monocl_Ab
hosp_cases,mcmarcel,25059.9,20893,16600.3,7080.9,46281.7,AGO,KEN,monocl_Ab
hosp_cases,own,25590.2,21329,16949.7,7237.8,47248.3,AGO,KEN,monocl_Ab
hosp_cases_averted,mcmarcel,1382.5,1109,1006.9,346,2654.1,AGO,KEN,monocl_Ab
hosp_cases_averted,own,5105,4255,3381.3,1444,9425.3,AGO,KEN,monocl_Ab
incremental_cost_0to1y,mcmarcel,1925390.3,2376215,1695749.8,-1147776.8,3431914.8,AGO,KEN,monocl_Ab
incremental_cost_0to1y,own,-3981773.2,-2567366,5699662.9,-14461358.7,1335692.8,AGO,KEN,monocl_Ab
net_cost/DALY_averted,mcmarcel,1483.7,982.1,2034.9,-329.6,3645.5,AGO,KEN,monocl_Ab
net_cost/DALY_averted,own,-417.3,-217.4,941,-1851.5,198.1,AGO,KEN,monocl_Ab
rsv_cases,mcmarcel,284794.8,284797,96,284634,284914,AGO,KEN,monocl_Ab
rsv_cases,own,290827.8,290852,888.9,289333,291923.1,AGO,KEN,monocl_Ab
rsv_deaths,mcmarcel,553,442,417.5,131,1075.2,AGO,KEN,monocl_Ab
rsv_deaths,own,768,612,581.6,184,1501.1,AGO,KEN,monocl_Ab
rsv_deaths_averted,mcmarcel,43,33,35.8,9,84,AGO,KEN,monocl_Ab
rsv_deaths_averted,own,196.4,154,155.6,45,390,AGO,KEN,monocl_Ab
total_DALY_0to1y,mcmarcel,16042.4,12562.5,12491,3803.7,30962.6,AGO,KEN,monocl_Ab
total_DALY_0to1y,own,39136.7,31056,29980,9467.9,76747.2,AGO,KEN,monocl_Ab
total_DALY_0to1y_averted,mcmarcel,2720.3,2071,2243.2,602,5311,AGO,KEN,monocl_Ab
total_DALY_0to1y_averted,own,12329.8,9712,9688.3,2894.8,24348.2,AGO,KEN,monocl_Ab
total_medical_cost_0to1y,mcmarcel,14641281.9,11876092.5,10745222.3,3643780.2,27636349.3,AGO,KEN,monocl_Ab
total_medical_cost_0to1y,own,28565951.4,23578269.5,20098952.1,7570373.9,52632223.9,AGO,KEN,monocl_Ab
total_medical_cost_averted,mcmarcel,2193571.9,1742747,1695749.8,512081.8,4182518.4,AGO,KEN,monocl_Ab
total_medical_cost_averted,own,8100735.4,6686328,5699662.9,2146807.4,14925451.3,AGO,KEN,monocl_Ab
cost_rsv_hosp_0to1y,mcmarcel,298355.7,220755,272048.5,52930.3,600291.2,BEN,KEN,monocl_Ab
cost_rsv_hosp_0to1y,own,582070,437965.5,511014.3,108174.7,1173910.6,BEN,KEN,monocl_Ab
hosp_cases,mcmarcel,8763.3,7306,5805,2475.9,16182.9,BEN,KEN,monocl_Ab
hosp_cases,own,8959.9,7466.5,5934.5,2534.9,16544.6,BEN,KEN,monocl_Ab
hosp_cases_averted,mcmarcel,810.2,650,590,203,1555.1,BEN,KEN,monocl_Ab
hosp_cases_averted,own,2992.7,2493.5,1982.2,847,5526.2,BEN,KEN,monocl_Ab
incremental_cost_0to1y,mcmarcel,2109874.1,2139273.5,110212.1,1902066.1,2210807.1,BEN,KEN,monocl_Ab
incremental_cost_0to1y,own,1701761.4,1793565,374315.8,1006393,2054973.8,BEN,KEN,monocl_Ab
net_cost/DALY_averted,mcmarcel,2373.8,1761.6,2136.6,487.7,4734.7,BEN,KEN,monocl_Ab
net_cost/DALY_averted,own,418.2,307.2,379.8,69.2,873.6,BEN,KEN,monocl_Ab
rsv_cases,mcmarcel,99590.8,99592,29.8,99541,99627.1,BEN,KEN,monocl_Ab
rsv_cases,own,101827.5,101836,329.6,101274,102234,BEN,KEN,monocl_Ab
rsv_deaths,mcmarcel,193.4,155,146,46,376.1,BEN,KEN,monocl_Ab
rsv_deaths,own,269,214,203.8,64,526,BEN,KEN,monocl_Ab
rsv_deaths_averted,mcmarcel,25.2,19,21,5,49,BEN,KEN,monocl_Ab
rsv_deaths_averted,own,115.1,90,91.2,26,228.1,BEN,KEN,monocl_Ab
total_DALY_0to1y,mcmarcel,5566.1,4359.5,4333.1,1319.9,10741.4,BEN,KEN,monocl_Ab
total_DALY_0to1y,own,13579.5,10774.5,10401.3,3286.9,26626.9,BEN,KEN,monocl_Ab
total_DALY_0to1y_averted,mcmarcel,1578.5,1202,1301.4,349,3081.1,BEN,KEN,monocl_Ab
total_DALY_0to1y_averted,own,7154.9,5636.5,5621.5,1679.9,14129.3,BEN,KEN,monocl_Ab
total_medical_cost_0to1y,mcmarcel,604014.6,495412.5,419886.4,164212.4,1132158.2,BEN,KEN,monocl_Ab
total_medical_cost_0to1y,own,1179283.7,985775.5,789001.1,336627.2,2144612.4,BEN,KEN,monocl_Ab
total_medical_cost_averted,mcmarcel,151360,121960.5,110212.1,38792.2,285325,BEN,KEN,monocl_Ab
total_medical_cost_averted,own,559472.7,467669,374315.8,159701.5,1017441.4,BEN,KEN,monocl_Ab
cost_rsv_hosp_0to1y,mcmarcel,452948.7,322983,424962.1,82700.1,936227.4,BFA,KEN,monocl_Ab
cost_rsv_hosp_0to1y,own,881794.4,639556.5,808024.2,167050.3,1799013.2,BFA,KEN,monocl_Ab
hosp_cases,mcmarcel,16943.3,14127,11223.6,4787.9,31299.1,BFA,KEN,monocl_Ab
hosp_cases,own,17248.6,14379.5,11424.7,4877.9,31842.6,BFA,KEN,monocl_Ab
hosp_cases_averted,mcmarcel,1571.3,1260,1144.5,393,3016.2,BFA,KEN,monocl_Ab
hosp_cases_averted,own,5794.6,4831,3838.1,1639,10697.2,BFA,KEN,monocl_Ab
incremental_cost_0to1y,mcmarcel,3857288.4,3928301,265820.9,3351601.8,4092430.3,BFA,KEN,monocl_Ab
incremental_cost_0to1y,own,2944285.4,3176490.5,903752.6,1217252.2,3775682.8,BFA,KEN,monocl_Ab
net_cost/DALY_averted,mcmarcel,2235.8,1663,2007.1,469.7,4445.8,BFA,KEN,monocl_Ab
net_cost/DALY_averted,own,369.7,271.5,346,53.4,773.2,BFA,KEN,monocl_Ab
rsv_cases,mcmarcel,192553.1,192556,88.5,192404,192662,BFA,KEN,monocl_Ab
rsv_cases,own,196026.5,196042,550.4,195101,196704.2,BFA,KEN,monocl_Ab
rsv_deaths,mcmarcel,373.7,299,282.2,88,727.1,BFA,KEN,monocl_Ab
rsv_deaths,own,517,412.5,391.5,124,1010.1,BFA,KEN,monocl_Ab
rsv_deaths_averted,mcmarcel,48.8,37,40.6,10,96,BFA,KEN,monocl_Ab
rsv_deaths_averted,own,222.9,175,176.6,51,442.1,BFA,KEN,monocl_Ab
total_DALY_0to1y,mcmarcel,10682.9,8363.5,8317.9,2533.8,20621.2,BFA,KEN,monocl_Ab
total_DALY_0to1y,own,26061.9,20682,19962.8,6307,51108.4,BFA,KEN,monocl_Ab
total_DALY_0to1y_averted,mcmarcel,3060.9,2330,2524.2,677.9,5973.5,BFA,KEN,monocl_Ab
total_DALY_0to1y_averted,own,13873.4,10927.5,10900.5,3257.8,27395.6,BFA,KEN,monocl_Ab
total_medical_cost_0to1y,mcmarcel,1344320.4,1085794.5,1001027.2,337869.8,2515927.2,BFA,KEN,monocl_Ab
total_medical_cost_0to1y,own,2617856.1,2132588,1888685.1,676763.7,4802589.7,BFA,KEN,monocl_Ab
total_medical_cost_averted,mcmarcel,339664.5,268651.5,265820.9,80127.9,646580.9,BFA,KEN,monocl_Ab
total_medical_cost_averted,own,1252667.4,1020462.5,903752.6,323837.9,2298081.6,BFA,KEN,monocl_Ab
cost_rsv_hosp_0to1y,mcmarcel,97026.3,69266,92194.2,16446.9,198051.4,BDI,KEN,monocl_Ab
cost_rsv_hosp_0to1y,own,189283.4,137174,172997.1,33445.3,385319.9,BDI,KEN,monocl_Ab
hosp_cases,mcmarcel,9383.5,7824,6215.9,2651,17334.1,BDI,KEN,monocl_Ab
hosp_cases,own,9615.3,8010.5,6368.6,2719.9,17758.1,BDI,KEN,monocl_Ab
hosp_cases_averted,mcmarcel,834.8,669.5,607.7,209,1602.1,BDI,KEN,monocl_Ab
hosp_cases_averted,own,3085.9,2570.5,2043.9,873,5699.4,BDI,KEN,monocl_Ab
incremental_cost_0to1y,mcmarcel,2313013.9,2330220,64686.5,2189420.8,2371231.1,BDI,KEN,monocl_Ab
incremental_cost_0to1y,own,2090360.7,2146138,219815.4,1680351.4,2296797.2,BDI,KEN,monocl_Ab
net_cost/DALY_averted,mcmarcel,2597.3,1940.4,2287.6,565.1,5099.5,BDI,KEN,monocl_Ab
net_cost/DALY_averted,own,498.7,374.2,414.2,109.6,996.2,BDI,KEN,monocl_Ab
rsv_cases,mcmarcel,106640.1,106641,49.5,106557,106701,BDI,KEN,monocl_Ab
rsv_cases,own,109277,109288,407.2,108594,109779.1,BDI,KEN,monocl_Ab
rsv_deaths,mcmarcel,207.2,166,156.4,49,403.1,BDI,KEN,monocl_Ab
rsv_deaths,own,288.9,230,218.8,69,565,BDI,KEN,monocl_Ab
rsv_deaths_averted,mcmarcel,25.9,20,21.6,6,51,BDI,KEN,monocl_Ab
rsv_deaths_averted,own,118.7,93,94.1,27,236,BDI,KEN,monocl_Ab
total_DALY_0to1y,mcmarcel,5752.6,4507,4475.3,1364.9,11097.1,BDI,KEN,monocl_Ab
total_DALY_0to1y,own,14036.2,11136.5,10747,3401.8,27513.4,BDI,KEN,monocl_Ab
total_DALY_0to1y_averted,mcmarcel,1564.2,1191,1288.7,346.9,3050.3,BDI,KEN,monocl_Ab
total_DALY_0to1y_averted,own,7090.7,5584.5,5569.1,1666,14004.3,BDI,KEN,monocl_Ab
total_medical_cost_0to1y,mcmarcel,343140.5,277235,256651.6,82024.2,653785.1,BDI,KEN,monocl_Ab
total_medical_cost_0to1y,own,670539.4,548008.5,482887.8,168172.3,1272466.1,BDI,KEN,monocl_Ab
total_medical_cost_averted,mcmarcel,82583.1,65377,64686.5,18489.6,159316.2,BDI,KEN,monocl_Ab
total_medical_cost_averted,own,305236.3,249459,219815.4,76553.7,579239.5,BDI,KEN,monocl_Ab
